N	2gram	Vygotskiy__6	Problema
1	и в	28	30
2	в своей	2	22
3	то что	28	18
4	не только	16	18
5	том что	19	17
6	в этом	27	17
7	но и	10	13
8	таким образом	18	13
9	потому что	22	13
10	в том	28	12
11	в его	3	12
12	и не	11	12
13	в своем	7	11
14	у него	2	11
15	так что	6	11
16	для нас	2	10
17	точки зрения	13	10
18	в этой	5	10
19	все же	2	9
20	сказать что	13	9
21	но в	5	9
22	и вообще	2	9
23	только в	18	9
24	и все	5	9
25	в конце	2	8
26	хотя и	3	8
27	с точки	10	8
28	никогда не	8	7
29	что он	18	7
30	у нас	2	7
31	как и	6	7
32	связи с	3	7
33	но не	10	7
34	может быть	13	7
35	вместе с	7	7
36	так и	6	7
37	в связи	2	7
38	не в	4	7
39	с другой	2	6
40	прежде всего	2	6
41	можно сказать	6	6
42	и как	6	6
43	несмотря на	2	6
44	как бы	11	6
45	в нем	7	6
46	что и	4	6
47	другой стороны	2	6
48	и что	6	6
49	а в	2	6
50	и его	3	6
51	и на	5	6
52	его в	6	6
53	так как	10	6
54	не менее	2	5
55	с тем	5	5
56	что в	17	5
57	что у	2	5
58	в которой	7	5
59	в силу	17	5
60	так же	15	5
61	в самом	8	5
62	еще в	2	5
63	не может	19	5
64	а не	3	5
65	и то	4	5
66	но он	2	5
67	как раз	6	5
68	того как	5	5
69	мы можем	9	5
70	в частности	4	4
71	тогда когда	6	4
72	ясно что	4	4
73	при этом	3	4
74	того же	7	4
75	было бы	9	4
76	в качестве	4	4
77	и к	6	4
78	нас в	2	4
79	в себе	4	4
80	в то	6	4
81	из этого	2	4
82	он сам	2	3
83	всю свою	2	3
84	все время	3	3
85	именно в	4	3
86	и другие	2	3
87	в отношении	10	3
88	но только	2	3
89	перейти к	2	3
90	что они	2	3
91	то время	6	3
92	только тогда	4	3
93	еще не	8	3
94	для того	8	3
95	он не	7	3
96	и тем	5	3
97	того что	24	3
98	внимание на	2	3
99	в других	2	3
100	время как	5	3
101	от этого	3	3
102	в другом	2	3
103	и другое	2	3
104	этом смысле	2	3
105	с ним	2	3
106	в одном	2	3
107	я не	4	2
108	не могут	5	2
109	и более	2	2
110	в них	3	2
111	как в	3	2
112	это не	5	2
113	во втором	3	2
114	с этой	2	2
115	раз и	2	2
116	один из	3	2
117	если он	2	2
118	была бы	2	2
119	по себе	3	2
120	что именно	2	2
121	на то	4	2
122	к тому	10	2
123	то же	7	2
124	как мы	10	2
125	значительной мере	2	2
126	раз в	3	2
127	по существу	2	2
128	мы и	4	2
129	до сих	3	2
130	в нашей	3	2
131	и человека	2	2
132	в данном	2	2
133	мы имеем	4	2
134	на его	3	2
135	и является	2	2
136	в котором	2	2
137	отношению к	10	2
138	из них	2	2
139	когда он	2	2
140	ее в	2	2
141	отношение к	7	2
142	по отношению	10	2
143	и только	3	2
144	все эти	2	2
145	с помощью	13	2
146	мы не	6	2
147	они не	4	2
148	самом деле	2	2
149	в значительной	2	2
150	того чтобы	10	2
151	можно было	7	2
152	больше чем	3	2
153	тем что	8	2
154	в одной	4	2
155	как с	2	2
156	по своей	3	2
157	есть в	3	2
158	не прямо	2	2
159	в чем	6	2
160	в области	6	2
161	сих пор	3	2
