N	2gram	Bakhtin_KF_1	Marksizm
1	точки зрения	12	34
2	может быть	45	26
3	и не	26	26
4	не может	27	24
5	с точки	9	20
6	и в	24	19
7	и его	17	19
8	в этом	14	16
9	как бы	9	15
10	в процессе	2	14
11	прежде всего	2	13
12	как и	5	12
13	и пр	3	12
14	так и	2	11
15	и для	9	11
16	в нем	28	10
17	ни было	4	10
18	самом деле	3	10
19	для него	8	9
20	лишь в	8	9
21	только в	16	9
22	при этом	4	8
23	в контексте	5	8
24	бы то	2	8
25	но и	9	8
26	то ни	2	8
27	не только	5	8
28	все же	5	8
29	то что	7	8
30	в каждом	3	7
31	все эти	10	7
32	но в	5	7
33	в ее	16	7
34	во всех	11	7
35	бытия в	5	7
36	то же	5	7
37	а не	17	7
38	данного момента	2	6
39	в смысле	6	6
40	в том	6	6
41	и здесь	7	6
42	отнюдь не	6	6
43	в его	40	6
44	и того	2	6
45	мы не	3	6
46	ничего не	3	6
47	именно в	5	5
48	не в	12	5
49	до конца	3	5
50	конечно не	7	5
51	рядом с	3	5
52	и потому	2	5
53	и все	7	5
54	к этому	2	5
55	вовсе не	7	5
56	входит в	3	5
57	того чтобы	2	5
58	хотя бы	4	5
59	ничего общего	2	5
60	ясно что	3	5
61	что в	4	4
62	не менее	3	4
63	вопрос о	2	4
64	в ней	3	4
65	от того	3	4
66	здесь мы	4	4
67	а в	4	4
68	и на	3	4
69	жизни в	5	4
70	по себе	2	4
71	еще не	4	4
72	было бы	8	4
73	нет и	3	4
74	лишь с	2	4
75	не будет	2	4
76	в единство	2	4
77	как в	2	4
78	для того	3	4
79	и эта	2	4
80	в данном	2	4
81	отношении к	2	4
82	место в	5	3
83	и есть	9	3
84	а как	2	3
85	или иной	2	3
86	войти в	2	3
87	и как	2	3
88	же время	2	3
89	не дает	3	3
90	момент в	7	3
91	на язык	3	3
92	в котором	24	3
93	места в	4	3
94	все это	10	3
95	по отношению	26	3
96	не было	8	3
97	того что	3	3
98	не имеет	5	3
99	между тем	4	3
100	в то	3	3
101	его в	5	3
102	в бытии	26	3
103	ее целом	2	3
104	и действительно	6	3
105	сознания и	3	3
106	он может	2	3
107	сознания как	2	3
108	в каком	4	3
109	том что	4	3
110	совершенно не	6	3
111	в корне	2	3
112	он не	6	3
113	не есть	20	3
114	в своей	10	3
115	быть и	3	3
116	это и	2	3
117	на самом	3	3
118	сводится к	2	3
119	но все	5	3
120	и ее	2	3
121	и это	12	3
122	в области	2	3
123	независимо от	3	2
124	должна быть	4	2
125	никогда не	5	2
126	тому что	2	2
127	в своем	16	2
128	переживания как	2	2
129	его к	2	2
130	тем не	2	2
131	ни в	12	2
132	в свою	3	2
133	он ни	2	2
134	в единстве	7	2
135	но для	2	2
136	в виду	3	2
137	себе и	3	2
138	с ее	2	2
139	жизни и	8	2
140	и их	6	2
141	как к	2	2
142	и только	6	2
143	мысль и	2	2
144	и других	2	2
145	в данный	3	2
146	именно на	2	2
147	действительности в	2	2
148	должно быть	6	2
149	в своих	3	2
150	действительно ли	2	2
151	о том	3	2
152	этом смысле	3	2
153	в сознании	2	2
154	от этого	2	2
155	в основе	5	2
156	ни к	2	2
157	если бы	8	2
158	и та	2	2
159	отвлечение от	5	2
160	не как	4	2
161	отсюда следует	2	2
162	быть в	4	2
163	что он	2	2
164	конечно в	2	2
165	в себе	21	2
166	данный момент	3	2
167	этот момент	6	2
168	от него	3	2
169	в качестве	2	2
170	есть лишь	5	2
171	все остальное	2	2
172	этого слова	2	2
173	и этот	3	2
174	что и	7	2
175	отношению к	22	2
176	не остается	2	2
177	бы и	3	2
178	моего сознания	2	2
179	культуры и	5	2
180	что не	3	2
181	из которых	2	2
182	мира и	4	2
183	менее всего	6	2
184	тем что	3	2
185	могут быть	3	2
186	в другом	3	2
187	могла бы	4	2
188	не знает	5	2
189	и т.д	2	2
190	жизни но	3	2
191	как оно	2	2
192	там где	5	2
193	в чем	4	2
194	из него	3	2
