N	2gram	Trubetskoy_1	VelikijI
1	во имя	5	32
2	и не	19	20
3	и в	14	16
4	то что	13	9
5	так как	4	9
6	еще не	3	8
7	к богу	7	8
8	что они	3	7
9	и потому	3	7
10	на земле	4	7
11	а не	2	7
12	не есть	3	6
13	в мире	4	5
14	как бы	4	5
15	но и	10	5
16	все это	6	5
17	того что	3	5
18	на себя	2	5
19	и есть	2	4
20	что все	3	4
21	что он	6	4
22	в нем	5	4
23	как и	4	4
24	все что	4	4
25	они будут	2	4
26	в котором	2	4
27	потому что	5	4
28	в этом	17	4
29	в ней	2	4
30	говорить о	3	4
31	мира от	3	4
32	в его	4	4
33	любовь к	2	3
34	если не	2	3
35	должна быть	2	3
36	что в	4	3
37	по этому	2	3
38	в этих	2	3
39	в конце	3	3
40	не нужна	2	3
41	ни в	2	3
42	в том	17	3
43	не в	4	3
44	но это	2	3
45	всех людей	2	3
46	к тому	7	3
47	во всех	5	3
48	никогда не	5	3
49	то это	3	3
50	что и	3	3
51	жизни и	4	3
52	в своей	5	3
53	тому что	2	3
54	не было	3	3
55	лишь в	3	3
56	и что	2	3
57	за то	2	3
58	к чему	2	3
59	хотя бы	5	3
60	и для	6	3
61	должно быть	3	3
62	их в	2	3
63	все эти	2	3
64	но в	2	3
65	не могут	4	2
66	с тем	6	2
67	его и	2	2
68	прежде всего	8	2
69	для нас	2	2
70	да и	3	2
71	том что	9	2
72	одна из	3	2
73	от него	2	2
74	но не	4	2
75	не к	2	2
76	конечно не	5	2
77	для него	6	2
78	для них	3	2
79	того чтобы	8	2
80	и во	3	2
81	не только	9	2
82	и будут	3	2
83	но мы	3	2
84	и т	3	2
85	не будет	7	2
86	во главе	2	2
87	на том	3	2
88	ее в	2	2
89	и тогда	2	2
90	а с	2	2
91	тем что	3	2
92	уже не	2	2
93	не так	2	2
94	а в	5	2
95	с ним	2	2
96	от своей	2	2
97	можно было	4	2
98	и то	4	2
99	людей и	2	2
100	между тем	5	2
101	раз навсегда	2	2
102	самого себя	7	2
103	только в	5	2
104	во всяком	9	2
105	а между	5	2
