N	2gram	Propp_Russ_2	SlovoVZh
1	не может	5	16
2	может быть	13	14
3	как бы	18	13
4	таким образом	6	12
5	и в	29	12
6	так как	13	9
7	прежде всего	2	8
8	для нас	6	7
9	при этом	6	6
10	в том	22	6
11	то что	5	5
12	никогда не	2	5
13	а не	4	5
14	то же	4	5
15	как и	11	5
16	том что	22	5
17	как в	7	5
18	но в	5	5
19	в виду	2	5
20	все же	2	4
21	с другой	2	4
22	на самом	2	4
23	уже не	4	4
24	не в	4	4
25	в этом	11	4
26	и на	6	4
27	его в	8	4
28	к нему	4	4
29	не только	10	4
30	в котором	3	3
31	в них	4	3
32	не к	2	3
33	не менее	2	3
34	в своей	2	3
35	в некоторых	9	3
36	все это	10	3
37	ее и	2	3
38	и по	3	3
39	все эти	3	3
40	но и	8	3
41	и пр	2	3
42	того что	3	3
43	тем не	2	3
44	так же	4	3
45	мы не	6	3
46	и с	10	3
47	о том	9	3
48	и ее	2	3
49	еще не	6	3
50	и для	2	3
51	из этого	2	3
52	между тем	3	3
53	с этой	2	2
54	что и	2	2
55	что в	22	2
56	данном случае	7	2
57	вместе с	6	2
58	а к	2	2
59	в этих	3	2
60	между собой	2	2
61	в форме	2	2
62	это не	5	2
63	влияние на	2	2
64	мы имеем	6	2
65	и все	4	2
66	и другие	14	2
67	тогда когда	4	2
68	с одной	2	2
69	к этому	5	2
70	связь с	3	2
71	и что	5	2
72	с другими	3	2
73	в данном	6	2
74	и то	2	2
75	в момент	2	2
76	но не	5	2
77	быть только	2	2
78	могут быть	2	2
79	кроме того	2	2
80	до конца	3	2
81	она не	3	2
82	в то	2	2
83	одной стороны	2	2
84	как уже	2	2
85	там где	2	2
86	как это	4	2
