N	2gram	Ircho_Kome_2	Problemy
1	и в	26	35
2	как бы	2	31
3	и не	14	27
4	что он	5	24
5	в его	4	21
6	но в	3	19
7	не может	3	18
8	как и	4	18
9	в нем	6	16
10	то же	3	15
11	и все	2	15
12	но и	10	14
13	может быть	11	14
14	все это	3	14
15	и его	12	14
16	в этом	10	14
17	к нему	3	13
18	он не	2	13
19	прежде всего	4	12
20	и с	5	12
21	и к	2	12
22	в то	6	11
23	не в	2	10
24	же время	3	10
25	не только	7	10
26	то что	6	10
27	так и	12	8
28	с самого	2	8
29	потому что	6	8
30	все же	4	8
31	как мы	4	8
32	и для	4	8
33	и сам	3	7
34	а в	3	7
35	точки зрения	4	7
36	с его	5	7
37	вовсе не	2	7
38	еще не	6	7
39	отношению к	3	7
40	таким образом	6	7
41	что в	9	6
42	в каждом	3	6
43	к тому	12	6
44	и что	2	6
45	отношение к	2	6
46	в самом	4	6
47	что у	4	6
48	и на	7	6
49	в речах	2	6
50	в одном	2	6
51	но не	3	6
52	по отношению	3	6
53	только в	4	6
54	в конце	2	5
55	в том	11	5
56	да и	3	5
57	так что	5	5
58	с ними	2	5
59	во время	6	5
60	даже в	2	5
61	как в	3	5
62	на протяжении	10	5
63	и это	2	5
64	все время	2	4
65	друг другу	3	4
66	с другой	2	4
67	в мире	2	4
68	но все	3	4
69	друг с	2	4
70	всяком случае	2	4
71	рядом с	2	4
72	между тем	4	4
73	теперь в	2	4
74	его в	4	4
75	так как	4	4
76	бы в	2	4
77	у него	4	4
78	в них	4	4
79	это слово	4	4
80	по своему	2	4
81	тот же	2	4
82	с которым	2	4
83	наконец в	2	4
84	еще в	4	4
85	нет и	2	4
86	в своей	3	4
87	в той	2	4
88	и у	2	4
89	во всяком	2	4
90	тем что	3	4
91	как будто	4	4
92	с другом	2	4
93	что это	4	4
94	же не	2	4
95	за собой	2	3
96	уже в	4	3
97	то ни	2	3
98	и от	4	3
99	ни было	2	3
100	тому же	11	3
101	в виду	2	3
102	бы то	2	3
103	в целом	4	3
104	из них	7	3
105	в одной	2	3
106	это не	2	3
107	и во	2	3
108	говорить о	2	3
109	в начале	4	3
110	в котором	3	3
111	с тем	5	3
112	с этим	5	3
113	этом смысле	2	3
114	в ее	2	3
115	том что	9	3
116	к концу	3	3
117	было бы	8	3
118	во всех	3	3
119	что и	7	3
120	не менее	4	2
121	в этих	4	2
122	тому что	4	2
123	столь же	9	2
124	с этой	3	2
125	вопрос о	3	2
126	что на	3	2
127	мы знаем	3	2
128	ни в	5	2
129	что его	3	2
130	из его	2	2
131	в построении	2	2
132	обращает на	5	2
133	на этом	2	2
134	например в	3	2
135	хотя и	4	2
136	время как	2	2
137	в своем	6	2
138	в ней	3	2
139	о том	6	2
140	как он	3	2
141	в первом	2	2
142	с которыми	2	2
143	однако в	2	2
144	того времени	3	2
145	с собой	2	2
146	надо было	3	2
147	а затем	5	2
148	должна была	2	2
149	здесь в	3	2
150	одной из	4	2
151	друг друга	3	2
152	себя в	3	2
153	вместе с	9	2
154	бы и	2	2
155	так в	2	2
156	в отличие	2	2
157	iv в	34	2
158	на этот	4	2
159	хотя бы	2	2
160	в которой	5	2
161	той же	3	2
162	такая же	2	2
163	да еще	2	2
164	или в	3	2
165	можно было	4	2
166	мы можем	3	2
167	из этого	2	2
168	отличие от	2	2
169	этот раз	4	2
170	это было	4	2
