N	2gram	Berdyaev_O_1	Istorich
1	и в	19	22
2	в этом	12	17
3	т е	4	16
4	что в	4	15
5	не только	11	14
6	но и	13	12
7	и не	13	12
8	может быть	11	11
9	в этих	3	11
10	еще не	3	10
11	но в	2	10
12	что он	3	9
13	в нем	10	9
14	что и	2	9
15	в том	5	9
16	что они	2	8
17	том что	2	8
18	к этому	2	7
19	то что	5	7
20	так как	2	7
21	это не	3	6
22	все еще	2	6
23	не все	2	6
24	а в	5	6
25	а не	11	6
26	ничего не	2	6
27	так что	2	5
28	все же	2	5
29	он не	7	5
30	того что	3	5
31	к нему	3	5
32	могут быть	3	5
33	в этой	5	5
34	и там	2	4
35	не в	11	4
36	к ней	2	4
37	отношение к	5	4
38	и его	4	4
39	и на	2	4
40	не может	4	4
41	но он	7	4
42	тем что	2	4
43	все эти	4	4
44	в других	2	4
45	и с	2	4
46	что у	2	3
47	и от	3	3
48	и все	10	3
49	прежде всего	9	3
50	и к	2	3
51	как и	6	3
52	все что	3	3
53	у него	22	3
54	было бы	3	3
55	можно ли	2	3
56	в его	7	3
57	никогда не	9	3
58	ее в	2	3
59	должен был	2	3
60	его не	2	3
61	сказать что	2	3
62	потому что	9	3
63	и ее	3	3
64	в русской	3	3
65	о том	3	3
66	его в	2	3
67	не было	9	2
68	с тем	2	2
69	и есть	3	2
70	вопрос о	10	2
71	от него	7	2
72	и о	2	2
73	хотя и	2	2
74	и потому	2	2
75	и он	8	2
76	в этот	2	2
77	не имеет	2	2
78	нет ничего	7	2
79	так и	2	2
80	в своем	2	2
81	никто не	3	2
82	и вот	3	2
83	что не	4	2
84	и для	2	2
85	и то	2	2
86	в другом	2	2
87	него и	4	2
88	же можно	2	2
