N	2gram	Losev_Vesc_1	FransuaR
1	и в	21	56
2	в его	2	18
3	таким образом	8	17
4	все эти	3	15
5	в этом	4	14
6	в том	8	13
7	так и	3	13
8	и его	2	12
9	в то	3	12
10	вещей и	4	11
11	как бы	12	11
12	то же	6	11
13	еще не	8	10
14	мы уже	3	10
15	только в	14	9
16	в самом	9	9
17	но и	18	9
18	и не	29	9
19	том что	8	8
20	в сущности	4	8
21	не только	36	8
22	в нем	2	8
23	во всех	2	8
24	и их	7	8
25	все это	5	8
26	и даже	6	8
27	и с	8	8
28	у него	2	7
29	как мы	4	7
30	прежде всего	9	6
31	вовсе не	10	6
32	в ее	7	6
33	мы видим	2	6
34	в этой	3	6
35	в той	3	6
36	той же	2	6
37	потому что	16	6
38	точки зрения	5	6
39	и все	5	6
40	но в	5	6
41	но не	5	5
42	никогда не	2	5
43	в отношении	4	5
44	ни с	6	5
45	с ее	6	5
46	как и	8	5
47	есть и	4	5
48	один из	3	5
49	что в	9	5
50	в результате	3	5
51	что все	2	4
52	что это	13	4
53	и ее	18	4
54	в себе	14	4
55	в ней	12	4
56	и потому	5	4
57	с одной	3	4
58	того чтобы	3	4
59	в свете	7	4
60	в основе	3	4
61	их в	3	4
62	вещи и	20	4
63	ту же	2	4
64	о том	6	4
65	по своей	2	4
66	так как	7	4
67	одна из	5	4
68	перед нами	2	3
69	в своем	6	3
70	вещами и	2	3
71	и здесь	4	3
72	так что	5	3
73	кроме того	4	3
74	в первой	2	3
75	может быть	16	3
76	и о	3	3
77	что и	3	3
78	то что	27	3
79	еще и	8	3
80	не просто	19	3
81	мы находим	2	3
82	уже не	9	3
83	не в	5	3
84	сказать что	17	3
85	но он	2	3
86	в другом	2	3
87	слова и	5	3
88	бы в	5	3
89	только не	2	2
90	если бы	5	2
91	с другой	6	2
92	это не	5	2
93	и во	3	2
94	и образ	3	2
95	в одном	2	2
96	бы и	5	2
97	можно сказать	6	2
98	и вещи	3	2
99	и эти	2	2
100	ни было	4	2
101	и еще	2	2
102	и как	8	2
103	но это	10	2
104	момент в	6	2
105	для него	4	2
106	одной стороны	3	2
107	было бы	14	2
108	в действительности	7	2
109	из них	4	2
110	действительности и	5	2
111	а в	4	2
112	и эта	3	2
113	по преимуществу	2	2
114	хотя и	4	2
115	между ними	3	2
116	что на	2	2
117	в котором	3	2
118	все же	4	2
119	в своей	5	2
120	самом деле	4	2
121	дело не	2	2
122	данном случае	2	2
123	что она	15	2
124	только на	3	2
125	другой стороны	2	2
126	как раз	9	2
127	не может	17	2
128	как к	4	2
129	то ни	4	2
130	у всех	3	2
131	а не	19	2
132	с собой	2	2
133	для того	2	2
134	и для	9	2
135	с точки	3	2
136	его в	2	2
137	бы то	4	2
138	в слове	2	2
139	мы не	6	2
140	от всех	4	2
141	между собою	6	2
142	в данном	5	2
143	и то	10	2
144	с этой	4	2
145	также и	6	2
146	ничто не	2	2
147	но с	2	2
148	той или	2	2
149	судить о	4	2
150	что они	6	2
151	дело в	4	2
152	почти все	2	2
153	с тем	5	2
154	с ним	8	2
155	не потому	6	2
