N	2gram	Propp_Isto_2	Problemy
1	и в	15	46
2	и не	11	27
3	может быть	17	23
4	как бы	6	19
5	не может	5	19
6	в нем	7	17
7	в этом	11	16
8	не только	18	14
9	слова в	2	13
10	перед нами	2	12
11	но и	14	12
12	как и	2	12
13	и на	4	11
14	в одном	5	11
15	а не	5	11
16	не в	7	10
17	прежде всего	5	9
18	в том	6	9
19	в его	6	9
20	до сих	6	8
21	сих пор	7	8
22	или в	2	8
23	и с	4	7
24	еще не	9	7
25	в сущности	2	7
26	в себе	4	7
27	никогда не	15	6
28	ни в	2	6
29	но это	4	6
30	в него	2	6
31	к себе	2	6
32	о нем	4	6
33	но в	6	6
34	что он	24	6
35	мы увидим	8	6
36	то же	10	6
37	все это	3	6
38	и его	3	6
39	только в	6	6
40	это не	2	5
41	при этом	4	5
42	в котором	5	5
43	к нему	5	5
44	по отношению	3	5
45	так как	14	5
46	в жизни	2	5
47	у него	4	5
48	о том	3	5
49	отношению к	3	5
50	во всех	2	5
51	так сказать	2	5
52	уже в	2	4
53	что в	12	4
54	в этих	11	4
55	очень часто	4	4
56	да и	2	4
57	кроме того	2	4
58	например в	2	4
59	в виду	2	4
60	по мере	3	4
61	в их	3	4
62	таким образом	7	4
63	все эти	4	4
64	и наконец	5	4
65	потому что	9	4
66	же и	3	4
67	он и	3	4
68	и здесь	9	4
69	мы не	3	4
70	мы можем	8	4
71	не знает	2	4
72	превращается в	2	4
73	как в	5	4
74	том что	7	4
75	но не	2	4
76	он не	8	4
77	все же	9	4
78	то что	12	4
79	так и	5	4
80	приводит к	2	4
81	в себя	3	4
82	самом деле	2	4
83	здесь не	2	4
84	и другие	4	3
85	себя и	2	3
86	с другой	2	3
87	из этих	3	3
88	на то	3	3
89	такой же	2	3
90	но если	3	3
91	здесь нет	2	3
92	то это	6	3
93	и для	2	3
94	и их	2	3
95	другой стороны	2	3
96	так же	13	3
97	и только	2	3
98	но он	4	3
99	имеем в	5	3
100	как он	3	3
101	их в	2	3
102	мы имеем	15	3
103	с ее	2	3
104	по существу	2	3
105	а то	2	3
106	и что	6	3
107	она не	5	3
108	было бы	5	3
109	мы уже	6	3
110	что и	6	3
111	на него	5	3
112	для наших	2	3
113	они должны	4	3
114	той же	2	3
115	тем что	4	3
116	в этой	4	3
117	и это	3	3
118	в одной	4	2
119	вопрос о	4	2
120	к тому	5	2
121	для нас	4	2
122	живет в	2	2
123	так что	6	2
124	но все	5	2
125	оно и	2	2
126	же как	5	2
127	мы здесь	6	2
128	в других	3	2
129	не было	2	2
130	они не	4	2
131	в системе	2	2
132	этих случаях	10	2
133	и по	2	2
134	а в	12	2
135	увидим что	3	2
136	в которых	2	2
137	сказать что	2	2
138	и так	2	2
139	что мы	3	2
140	наших целей	2	2
141	в античности	3	2
142	с этим	5	2
143	но с	2	2
144	одна из	2	2
145	есть и	2	2
146	здесь в	2	2
147	об этом	11	2
148	к ней	2	2
149	и пр	7	2
150	когда он	3	2
151	вместе с	7	2
152	так в	3	2
153	и они	4	2
154	хотя бы	2	2
155	можно было	5	2
156	ничего не	7	2
157	могут быть	2	2
158	в другом	9	2
159	того как	4	2
