N	2gram	Propp_Isto_5	Hudozhes
1	том что	8	16
2	и в	25	14
3	а не	2	12
4	в том	6	12
5	не только	13	12
6	о том	7	12
7	прежде всего	6	11
8	и т	20	11
9	в этом	10	11
10	в своей	2	10
11	у него	2	9
12	что он	22	9
13	как и	7	9
14	в качестве	7	9
15	то же	4	9
16	как в	6	8
17	то что	7	8
18	отношению к	2	8
19	по отношению	2	8
20	в этой	3	8
21	в то	3	8
22	в его	12	8
23	ничего не	2	8
24	это не	6	7
25	уже не	11	7
26	не в	6	7
27	еще не	8	7
28	как бы	2	7
29	не может	6	7
30	а в	3	7
31	никогда не	3	6
32	что в	8	6
33	человека в	3	6
34	не менее	4	5
35	перед нами	2	5
36	в частности	7	5
37	в этих	6	5
38	об этом	2	5
39	может быть	17	5
40	только в	7	5
41	и он	6	5
42	но и	13	5
43	жизни и	2	5
44	самом деле	2	5
45	друг друга	3	5
46	и его	9	5
47	потому что	7	5
48	точки зрения	2	5
49	героя и	3	5
50	связи с	8	4
51	и быть	2	4
52	т е	16	4
53	и все	3	4
54	на то	2	4
55	можно сказать	2	4
56	тем не	4	4
57	то в	2	4
58	мы узнаем	2	4
59	она не	2	4
60	несмотря на	2	4
61	мы уже	4	4
62	в ней	5	4
63	один из	2	4
64	себя в	6	4
65	из них	2	4
66	того что	2	4
67	он не	4	4
68	в русской	3	4
69	и это	4	4
70	с ним	4	4
71	и с	3	4
72	но не	5	3
73	если бы	2	3
74	что у	4	3
75	превращается в	7	3
76	но он	2	3
77	с этим	5	3
78	же в	2	3
79	как мы	5	3
80	в ее	4	3
81	на этом	3	3
82	на тех	2	3
83	что при	3	3
84	в пределах	4	3
85	о нем	3	3
86	еще в	2	3
87	даже в	2	3
88	в нем	7	3
89	все же	10	3
90	со стороны	2	3
91	в связи	4	3
92	т д	18	3
93	и для	2	3
94	все эти	8	3
95	того чтобы	3	3
96	и по	2	3
97	тем что	10	3
98	такой же	2	3
99	и на	8	3
100	его в	9	3
101	том как	2	3
102	если в	3	2
103	все еще	4	2
104	так в	2	2
105	в море	5	2
106	и потому	2	2
107	в себя	3	2
108	ясно что	5	2
109	вопрос о	2	2
110	по себе	2	2
111	мы знаем	8	2
112	живет в	5	2
113	так что	2	2
114	же как	4	2
115	одна из	2	2
116	и что	8	2
117	в целом	3	2
118	в землю	2	2
119	например в	5	2
120	в него	5	2
121	не знаем	3	2
122	на том	3	2
123	сих пор	2	2
124	на него	8	2
125	в форме	3	2
126	все это	4	2
127	особенно в	2	2
128	и не	11	2
129	от себя	2	2
130	они не	3	2
131	героя в	9	2
132	и герой	2	2
133	в это	2	2
134	с этой	2	2
135	за ним	4	2
136	представляют собой	3	2
137	мы не	5	2
138	до сих	2	2
