N	2gram	Losev_Vlad_3	Myslijsy
1	потому что	11	49
2	для нас	5	31
3	то есть	24	30
4	и в	40	24
5	может быть	8	23
6	то что	28	20
7	и не	25	19
8	а не	8	18
9	в том	18	18
10	что в	17	16
11	по себе	6	15
12	не только	25	15
13	того же	2	14
14	при этом	3	13
15	было бы	4	13
16	не в	3	13
17	но не	4	12
18	не может	14	12
19	то же	4	12
20	если бы	3	11
21	что мы	2	11
22	что и	7	11
23	вместе с	7	11
24	мы не	2	11
25	только в	13	11
26	таким образом	11	11
27	для него	8	10
28	в себе	9	10
29	так что	14	10
30	так как	7	10
31	независимо от	3	9
32	точно так	4	9
33	вовсе не	13	9
34	в нем	3	9
35	как бы	3	9
36	но и	18	9
37	то и	2	9
38	а только	7	8
39	а в	7	8
40	том что	18	8
41	более или	5	8
42	или менее	5	8
43	в одно	2	8
44	и на	6	8
45	в этом	16	8
46	не могут	2	7
47	прежде всего	10	7
48	во всяком	3	7
49	всяком случае	3	7
50	как и	7	7
51	того что	7	7
52	тем что	5	7
53	с этим	2	7
54	в чем	3	7
55	что если	4	6
56	связи с	2	6
57	с другой	5	6
58	в одном	5	6
59	не есть	10	6
60	и как	7	6
61	не можем	2	6
62	тем не	10	6
63	не было	5	6
64	не имеет	4	6
65	есть только	9	6
66	в то	7	6
67	и только	3	6
68	заметить что	2	6
69	уже в	3	5
70	не менее	9	5
71	есть не	2	5
72	же в	3	5
73	на то	4	5
74	о том	11	5
75	так и	6	5
76	а и	2	5
77	от того	4	5
78	для того	2	5
79	или не	3	5
80	из них	2	5
81	все же	4	5
82	в которой	2	5
83	сам по	2	4
84	это последнее	2	4
85	никогда не	11	4
86	из этих	3	4
87	и вместе	2	4
88	что он	5	4
89	уже не	9	4
90	такой же	4	4
91	еще не	4	4
92	и если	7	4
93	в самом	4	4
94	между прочим	5	4
95	время как	2	4
96	в котором	4	4
97	с одной	3	4
98	если не	6	4
99	и что	8	4
100	тем самым	2	4
101	в таком	3	4
102	то время	4	4
103	с тем	7	4
104	но в	4	4
105	при таких	2	3
106	что это	9	3
107	но даже	4	3
108	это не	3	3
109	оно не	3	3
110	не как	2	3
111	и от	6	3
112	и все	4	3
113	человека и	3	3
114	но мы	2	3
115	хотя и	7	3
116	то это	10	3
117	этого последнего	2	3
118	что на	2	3
119	о которых	2	3
120	одной стороны	3	3
121	но это	6	3
122	мог бы	4	3
123	в ней	5	3
124	оно должно	4	3
125	его в	2	3
126	с таким	2	3
127	и тем	3	3
128	не с	4	3
129	в целом	2	3
130	как не	2	3
131	себе в	2	3
132	на него	2	3
133	со стороны	2	3
134	что она	2	3
135	находится в	3	3
136	только что	2	3
137	что его	2	3
138	которых мы	2	3
139	и притом	3	3
140	если мы	4	3
141	и у	3	3
142	не так	3	3
143	и для	3	3
144	как на	3	3
145	и то	9	3
146	в каком	4	3
147	как например	2	3
148	и вообще	3	3
149	далеко не	3	3
150	в этих	2	3
151	то не	2	3
152	которые не	2	3
153	этого не	3	2
154	но на	2	2
155	таком случае	2	2
156	этом смысле	3	2
157	а то	2	2
158	в нашем	2	2
159	и его	10	2
160	в какой	2	2
161	хотя бы	6	2
162	не столько	3	2
163	и это	6	2
164	в жизни	2	2
165	что все	7	2
166	к этому	2	2
167	вопрос о	4	2
168	есть прежде	2	2
169	с его	2	2
170	мы знаем	3	2
171	бы в	2	2
172	у нас	5	2
173	за пределы	3	2
174	но все	3	2
175	в сравнении	2	2
176	все эти	5	2
177	совсем не	5	2
178	так же	8	2
179	у него	24	2
180	же время	2	2
181	но что	2	2
182	одно и	2	2
183	в нашей	2	2
184	а скорее	2	2
185	общего с	2	2
186	но если	5	2
187	в его	14	2
188	и потому	10	2
189	как именно	3	2
190	не все	3	2
191	ни с	3	2
192	не имеют	2	2
193	другой стороны	2	2
194	что есть	3	2
195	в связи	3	2
196	а с	4	2
197	точке зрения	2	2
198	на самом	3	2
199	мы находим	2	2
200	но только	2	2
201	того чтобы	3	2
202	и по	2	2
203	должно быть	5	2
204	друг друга	2	2
205	отношения к	5	2
206	как это	4	2
207	сравнении с	2	2
208	и здесь	6	2
209	ни по	2	2
210	сказать что	12	2
211	тому что	4	2
212	в обществе	2	2
213	не на	2	2
214	само по	3	2
215	даже и	12	2
216	на более	2	2
217	без которой	2	2
218	в другом	2	2
219	во всем	6	2
220	мы должны	4	2
221	можно думать	2	2
222	с каким	3	2
223	это было	3	2
224	мы бы	7	2
