N	2gram	Vinokur_Vv_1	Komedia
1	iv в	2	34
2	и в	27	26
3	в г	5	17
4	и не	13	14
5	к тому	4	12
6	и его	5	12
7	в том	31	11
8	может быть	24	11
9	но и	5	10
10	на протяжении	2	10
11	в этом	34	10
12	что в	11	9
13	том что	26	9
14	если бы	2	9
15	вместе с	6	9
16	ясно что	9	8
17	было бы	5	8
18	и на	3	7
19	из них	3	7
20	н э	6	7
21	не только	21	7
22	что и	3	7
23	в своем	3	6
24	то что	17	6
25	еще не	4	6
26	наряду с	2	6
27	в нем	13	6
28	того чтобы	21	6
29	потому что	14	6
30	в то	5	6
31	о том	15	6
32	таким образом	19	6
33	с тем	6	5
34	независимо от	3	5
35	к этому	3	5
36	что он	4	5
37	в качестве	7	5
38	один из	6	5
39	в истории	9	5
40	на основании	5	5
41	с этим	2	5
42	для того	21	5
43	так что	5	5
44	и с	2	5
45	уже в	5	4
46	не менее	8	4
47	в частности	3	4
48	в этих	3	4
49	тому что	2	4
50	в них	4	4
51	прежде всего	8	4
52	из этих	5	4
53	как мы	9	4
54	как и	5	4
55	в целом	5	4
56	как будто	3	4
57	с их	5	4
58	одной из	3	4
59	хотя и	3	4
60	в его	10	4
61	все же	8	4
62	в самом	12	4
63	до нас	3	4
64	и для	4	4
65	в в	3	4
66	можно было	7	4
67	точки зрения	7	4
68	в начале	3	4
69	только в	13	4
70	что это	3	4
71	так как	13	4
72	на этот	4	4
73	как это	5	4
74	его в	6	4
75	между тем	8	4
76	о чем	4	3
77	так или	4	3
78	представить себе	5	3
79	с этой	4	3
80	в каждом	4	3
81	так называемой	3	3
82	вопрос о	8	3
83	надо было	2	3
84	в тех	2	3
85	но если	3	3
86	жизни и	2	3
87	отношению к	4	3
88	но все	3	3
89	связи с	3	3
90	но не	7	3
91	того же	3	3
92	во всех	2	3
93	же время	5	3
94	и сам	2	3
95	из которых	2	3
96	например в	2	3
97	из числа	2	3
98	в обоих	2	3
99	да и	4	3
100	в ней	3	3
101	в котором	4	3
102	речь идет	2	3
103	не имеет	4	3
104	себя в	2	3
105	в своей	4	3
106	в их	11	3
107	все это	6	3
108	по отношению	4	3
109	дело с	6	3
110	в связи	2	3
111	того как	3	3
112	той же	4	3
113	то же	8	3
114	ответ на	3	3
115	к нему	2	3
116	а в	5	3
117	ко времени	2	3
118	или иначе	4	3
119	тем что	6	3
120	не может	13	3
121	как он	6	3
122	в этой	3	3
123	но в	10	3
124	мы можем	2	3
125	за собой	3	2
126	и есть	3	2
127	однако в	3	2
128	в какой	4	2
129	так называемых	4	2
130	с другой	8	2
131	это не	8	2
132	в конце	3	2
133	в одном	4	2
134	этом смысле	11	2
135	и был	2	2
136	вовсе не	6	2
137	что именно	2	2
138	то это	3	2
139	об этом	5	2
140	в ее	11	2
141	не в	8	2
142	из его	2	2
143	до сих	5	2
144	в силу	3	2
145	должна была	2	2
146	философии и	2	2
147	одна из	2	2
148	чем в	3	2
149	на этом	3	2
150	по своему	5	2
151	после того	2	2
152	одной стороны	4	2
153	каждой из	3	2
154	ни одна	2	2
155	одним из	5	2
156	от того	3	2
157	как бы	5	2
158	не вполне	4	2
159	всяком случае	3	2
160	говоря уже	2	2
161	хотя бы	5	2
162	и т	43	2
163	и это	6	2
164	после этого	2	2
165	отношение к	3	2
166	не говоря	2	2
167	сих пор	5	2
168	в до	2	2
169	со стороны	12	2
170	что она	3	2
171	в отличие	3	2
172	т п	5	2
173	с одной	4	2
174	в течение	5	2
175	в той	7	2
176	и что	4	2
177	в принципе	2	2
178	времени в	3	2
179	бы и	2	2
180	рядом с	2	2
181	отличие от	3	2
182	мы не	2	2
183	не следует	2	2
184	во всяком	3	2
185	от этого	5	2
186	одно из	5	2
187	и ее	4	2
188	этому времени	2	2
189	говорить о	3	2
190	второй половины	3	2
191	в первом	5	2
192	мы имеем	3	2
193	по содержанию	2	2
194	в виду	4	2
