N	2gram	Bakhtin_Pr_3	FransuaR
1	и в	53	41
2	то есть	48	24
3	и т.п	31	19
4	мы уже	5	18
5	во всех	12	17
6	таким образом	6	17
7	в нем	10	16
8	и с	6	16
9	и его	10	13
10	но и	7	13
11	как мы	5	12
12	в этом	8	12
13	все это	8	11
14	уже говорили	2	11
15	все эти	9	11
16	прежде всего	15	10
17	в самом	2	10
18	не только	4	10
19	и др	14	10
20	у рабле	3	10
21	так как	7	10
22	то что	9	10
23	здесь в	10	9
24	кроме того	3	9
25	и на	18	9
26	и все	10	9
27	о том	2	9
28	никогда не	2	8
29	в сущности	10	8
30	здесь и	4	8
31	но в	5	8
32	в них	2	7
33	вовсе не	3	7
34	том что	5	7
35	как бы	14	7
36	и до	5	7
37	в особенности	2	7
38	как и	11	7
39	что в	2	7
40	рабле и	2	7
41	в его	8	7
42	связаны с	3	7
43	в образе	3	6
44	что он	4	6
45	мы видим	2	6
46	например в	5	6
47	один из	6	6
48	вместе с	2	6
49	в эпоху	10	6
50	также и	4	6
51	сказать что	10	6
52	в то	5	6
53	то же	6	5
54	с его	2	5
55	есть здесь	2	5
56	в литературе	5	5
57	в ее	3	5
58	же время	5	5
59	а также	4	5
60	из них	4	5
61	так и	6	5
62	до нас	2	5
63	большинстве случаев	4	5
64	в той	2	5
65	той же	5	5
66	тем что	2	5
67	но он	2	5
68	образов и	4	5
69	в себе	5	5
70	во всем	2	5
71	все то	3	5
72	что это	2	5
73	подчеркнуть что	3	5
74	уже в	2	4
75	средние века	11	4
76	с другой	2	4
77	но они	4	4
78	нового времени	8	4
79	и от	3	4
80	а затем	4	4
81	именно в	2	4
82	не в	2	4
83	в средние	10	4
84	и вообще	3	4
85	большей или	3	4
86	в большинстве	4	4
87	тот же	2	4
88	в большей	2	4
89	меньшей степени	2	4
90	в ней	7	4
91	не может	2	4
92	в преисподнюю	3	4
93	как в	7	4
94	и наконец	2	4
95	и даже	2	4
96	одним из	3	4
97	а в	2	4
98	конечно и	4	4
99	более того	6	4
100	в основе	5	4
101	того же	2	4
102	с ним	2	4
103	перед нами	5	3
104	он сам	4	3
105	пор еще	2	3
106	существенное значение	3	3
107	в одной	2	3
108	с этим	2	3
109	или меньшей	3	3
110	в духе	8	3
111	на все	2	3
112	и смерти	2	3
113	одной из	4	3
114	но это	3	3
115	есть в	3	3
116	как у	5	3
117	они и	2	3
118	до сих	5	3
119	было бы	5	3
120	в начале	2	3
121	конечно не	4	3
122	и их	2	3
123	и особенно	3	3
124	жизни и	9	3
125	сих пор	5	3
126	и самый	5	3
127	и для	4	3
128	при этом	3	3
129	и не	15	3
130	они не	3	3
131	между ними	2	3
132	с другими	3	3
133	только в	4	3
134	потому что	5	3
135	времени и	2	2
136	отчасти и	2	2
137	мы еще	3	2
138	связана с	2	2
139	в этих	5	2
140	значение в	4	2
141	характерно что	2	2
142	и во	4	2
143	в конце	3	2
144	почти вовсе	4	2
145	человека и	7	2
146	конечно в	2	2
147	что именно	2	2
148	из самых	2	2
149	в том	14	2
150	в дальнейшем	7	2
151	несколько слов	3	2
152	тем более	2	2
153	через все	2	2
154	литературы и	2	2
155	от него	3	2
156	но не	5	2
157	есть и	2	2
158	и тот	3	2
159	со всеми	8	2
160	может быть	12	2
161	в своей	3	2
162	смерть тебе	2	2
163	xvii века	3	2
164	хотя и	4	2
165	нужно сказать	2	2
166	он не	3	2
167	и потому	5	2
168	если б	7	2
169	в развитии	3	2
170	мы видели	2	2
171	и отчасти	2	2
172	из ведущих	5	2
173	в другие	4	2
174	не будем	3	2
175	в форме	6	2
176	почти во	3	2
177	и прежде	6	2
178	и другие	9	2
179	еще более	5	2
180	как это	2	2
181	мы находим	2	2
182	в истории	3	2
183	а не	11	2
184	и у	7	2
185	с точки	2	2
186	мы не	4	2
187	к себе	6	2
188	их в	2	2
189	между тем	2	2
190	образом в	2	2
191	он в	2	2
192	точки зрения	4	2
193	на его	3	2
194	говорить о	2	2
195	второй половины	2	2
196	начиная с	3	2
197	как он	2	2
198	последующие эпохи	2	2
199	уже отмечали	2	2
200	так сказать	5	2
201	но здесь	2	2
202	мира и	2	2
203	отметить что	2	2
204	в области	3	2
205	в последующие	2	2
206	в эту	3	2
207	это было	3	2
208	а для	2	2
