N	2gram	Tiupa_Disk_2	SlovoVZh
1	не может	9	16
2	точки зрения	4	14
3	может быть	16	14
4	и его	3	13
5	как бы	4	13
6	и в	16	12
7	отношению к	4	11
8	по отношению	4	11
9	и не	15	10
10	прежде всего	7	8
11	в нем	7	6
12	при этом	17	6
13	в том	8	6
14	только в	3	6
15	в ней	2	6
16	то что	5	5
17	должна быть	2	5
18	никогда не	2	5
19	а не	14	5
20	можно сказать	3	5
21	то же	6	5
22	как и	16	5
23	том что	10	5
24	отнюдь не	6	5
25	как в	8	5
26	но в	11	5
27	все же	6	4
28	отношение к	2	4
29	жизни и	3	4
30	так и	9	4
31	с другой	5	4
32	уже не	3	4
33	не в	3	4
34	в этом	16	4
35	и на	5	4
36	его в	3	4
37	дело в	2	4
38	не только	10	4
39	в котором	3	3
40	в них	3	3
41	не к	2	3
42	не менее	7	3
43	в своей	6	3
44	все это	2	3
45	все эти	3	3
46	но и	11	3
47	и наконец	3	3
48	ни в	7	3
49	и с	2	3
50	о том	4	3
51	и ее	3	3
52	в себе	19	3
53	для него	5	3
54	в пределах	4	3
55	еще не	6	3
56	и для	2	3
57	внутренней речи	3	3
58	здесь не	2	3
59	в творчестве	3	3
60	между тем	2	3
61	место в	2	2
62	частной жизни	2	2
63	с его	6	2
64	что и	2	2
65	что в	5	2
66	лежит на	2	2
67	данном случае	6	2
68	вместе с	2	2
69	а к	2	2
70	в этих	3	2
71	в своем	5	2
72	другой стороны	2	2
73	это не	3	2
74	мы имеем	2	2
75	и все	3	2
76	жизнью и	2	2
77	речи в	2	2
78	по природе	2	2
79	с одной	4	2
80	к этому	4	2
81	в себя	2	2
82	с точки	2	2
83	как на	3	2
84	стороны и	2	2
85	но это	3	2
86	такой же	2	2
87	в данном	7	2
88	и то	4	2
89	но не	7	2
90	могут быть	3	2
91	одно и	2	2
92	в формах	2	2
93	в то	5	2
94	одной стороны	4	2
95	общения и	2	2
96	на примере	2	2
97	как уже	2	2
98	к его	4	2
99	совпадает с	2	2
100	он не	3	2
101	в его	3	2
