N	2gram	Vinokur_Vv_1	Vladivir
1	и в	27	40
2	то что	17	28
3	и не	13	25
4	не только	21	25
5	учение о	2	24
6	но и	5	18
7	в том	31	18
8	том что	26	18
9	еще и	3	18
10	что в	11	17
11	также и	16	17
12	в этом	34	16
13	так что	5	14
14	в его	10	14
15	не может	13	14
16	точки зрения	7	13
17	вовсе не	6	13
18	в виде	4	13
19	только в	13	13
20	а именно	6	12
21	сказать что	5	12
22	даже и	3	12
23	в конце	3	12
24	никогда не	3	11
25	таким образом	19	11
26	потому что	14	11
27	о том	15	11
28	прежде всего	8	10
29	тем не	8	10
30	это есть	2	10
31	то это	3	10
32	не просто	4	10
33	не есть	4	10
34	как раз	4	10
35	и его	5	10
36	не менее	8	9
37	что это	3	9
38	уже не	5	9
39	есть только	2	9
40	и с	2	9
41	и то	5	9
42	в своей	4	9
43	что же	3	9
44	в себе	4	9
45	философии и	2	9
46	в своем	3	8
47	в этой	3	8
48	может быть	24	8
49	так же	3	8
50	и что	4	8
51	а также	3	8
52	как мы	9	8
53	а не	3	8
54	к тому	4	7
55	а только	8	7
56	и как	9	7
57	несмотря на	2	7
58	хотя и	3	7
59	а в	5	7
60	в своих	2	7
61	так как	13	7
62	с тем	6	7
63	того что	12	7
64	в то	5	7
65	что и	3	7
66	вместе с	6	7
67	как и	5	7
68	да и	4	6
69	смысле слова	7	6
70	и даже	5	6
71	не мог	2	6
72	и на	3	6
73	по себе	9	6
74	об этом	5	6
75	во всем	2	6
76	иной раз	2	6
77	хотя бы	5	6
78	с точки	2	6
79	и это	6	6
80	с другой	8	5
81	совсем не	3	5
82	но если	3	5
83	должно быть	2	5
84	в отношении	2	5
85	все эти	3	5
86	в ней	3	5
87	в истории	9	5
88	же касается	2	5
89	в одном	4	5
90	что он	4	5
91	у нас	2	5
92	только на	3	5
93	можно было	7	5
94	конце концов	2	5
95	в данном	11	5
96	тем что	6	5
97	дело в	3	5
98	ничего не	2	5
99	тому что	2	4
100	точно так	2	4
101	вопрос о	8	4
102	в дальнейшем	2	4
103	что если	2	4
104	до конца	3	4
105	мог бы	2	4
106	такого рода	2	4
107	в самом	12	4
108	возникает вопрос	2	4
109	в котором	4	4
110	от того	3	4
111	она была	2	4
112	не имеет	4	4
113	бы и	2	4
114	в результате	3	4
115	при помощи	2	4
116	как это	5	4
117	не с	2	4
118	по существу	2	4
119	чем в	3	4
120	но не	7	4
121	есть и	4	4
122	еще не	4	4
123	было бы	5	4
124	говорит о	3	4
125	него в	2	4
126	то же	8	4
127	в течение	5	4
128	все же	8	4
129	но в	10	4
130	или как	3	4
131	уже в	5	3
132	же как	3	3
133	независимо от	3	3
134	в качестве	7	3
135	это не	8	3
136	само собой	2	3
137	из этих	5	3
138	и был	2	3
139	только о	2	3
140	но все	3	3
141	одной стороны	4	3
142	при этом	3	3
143	как бы	5	3
144	в виду	4	3
145	всяком случае	3	3
146	и тем	5	3
147	в нем	13	3
148	к нему	2	3
149	мы видели	2	3
150	ни с	2	3
151	в связи	2	3
152	с одной	4	3
153	именно в	8	3
154	как на	11	3
155	не столько	2	3
156	что здесь	2	3
157	же самое	2	3
158	мы имеем	3	3
159	этого не	2	3
160	нисколько не	3	3
161	если бы	2	3
162	само по	3	3
163	по этому	2	3
164	этом смысле	11	3
165	с их	5	3
166	как нечто	8	3
167	в отличие	3	3
168	он мог	3	3
169	того чтобы	21	3
170	не в	8	3
171	и для	4	3
172	во всяком	3	3
173	которое в	2	3
174	и вообще	3	3
175	здесь не	2	3
176	в чем	4	3
177	отличие от	3	3
178	он сам	3	2
179	не могут	5	2
180	ни к	2	2
181	должна быть	2	2
182	в этих	3	2
183	в какой	4	2
184	с этой	4	2
185	же это	2	2
186	что несмотря	2	2
187	имеет свою	2	2
188	же время	5	2
189	но что	3	2
190	должен был	4	2
191	истории в	2	2
192	которые были	2	2
193	не иначе	2	2
194	себе и	2	2
195	так или	4	2
196	здесь нет	4	2
197	в целом	5	2
198	что она	3	2
199	в их	11	2
200	другой стороны	5	2
201	в разных	5	2
202	можно только	2	2
203	в существенном	2	2
204	по его	2	2
205	свое существование	2	2
206	знания и	3	2
207	этом отношении	3	2
208	но как	2	2
209	в начале	3	2
210	что даже	2	2
211	что мы	2	2
212	его в	6	2
213	не вполне	4	2
214	только с	3	2
215	не существует	2	2
216	не как	3	2
217	с этим	2	2
218	к этому	3	2
219	быть в	4	2
220	стороны и	3	2
221	есть не	3	2
222	существенном смысле	2	2
223	о которых	2	2
224	в силу	3	2
225	того же	3	2
226	не к	2	2
227	не нужно	2	2
228	из них	3	2
229	одной из	3	2
230	наряду с	2	2
231	в сущности	3	2
232	отчет в	3	2
233	сам же	2	2
234	в этот	2	2
235	на почве	5	2
236	со стороны	12	2
237	но уже	2	2
238	данном случае	5	2
239	быть и	2	2
240	только что	4	2
241	но с	4	2
242	и сейчас	2	2
243	для того	21	2
244	мы не	2	2
245	или иначе	4	2
246	от этого	5	2
247	как например	5	2
248	греков и	3	2
249	в другом	3	2
250	связи с	3	2
251	об отношении	2	2
252	в в	3	2
253	а если	2	2
