N	3gram	Bakhtin_sl_1	Marksizm
1	с точки зрения	8	13
2	то же время	12	8
3	в то же	12	8
4	в свою очередь	2	5
5	в большинстве случаев	6	5
6	но в то	4	5
7	той или иной	9	4
8	в отношении к	6	4
9	к тому что	2	3
10	в той или	9	3
11	как мы сказали	4	3
12	одно и то	2	3
13	с одной стороны	4	3
14	как мы уже	2	3
15	и то же	2	3
16	и не может	2	3
17	до сих пор	2	3
18	точки зрения самого	2	2
19	или иной степени	9	2
20	в узком смысле	10	2
21	более или менее	3	2
22	того или иного	2	2
23	в зависимости от	3	2
24	во всяком случае	5	2
25	то же слово	2	2
