N	3gram	Vygotskiy__5	Analitik
1	не может быть	2	16
2	в том что	14	9
3	в том чтобы	2	7
4	в отличие от	2	6
5	той или иной	2	6
6	что иное как	2	5
7	не что иное	2	4
8	с точки зрения	2	4
9	из того что	3	3
10	состоит в том	2	3
11	с одной стороны	12	3
12	для того чтобы	19	3
13	о том что	6	3
14	и т п	3	3
15	сами по себе	2	2
16	в данном случае	2	2
17	в самом деле	5	2
18	в качестве своего	2	2
19	в этом отношении	3	2
20	одного и того	2	2
21	то же самое	3	2
22	в том и	2	2
23	и того же	2	2
24	с другой стороны	5	2
