N	2gram	Berdyaev_V_1	Myshleni
1	в этом	4	29
2	и в	16	26
3	не только	2	24
4	то что	9	24
5	того чтобы	2	19
6	в том	3	18
7	и не	20	18
8	том что	2	17
9	потому что	4	16
10	как и	4	15
11	того что	5	14
12	так как	9	14
13	что в	3	12
14	но и	5	11
15	что они	7	10
16	тому что	3	9
17	что мы	4	9
18	тем что	2	9
19	что он	4	8
20	ее в	2	8
21	только в	2	8
22	к тому	3	7
23	прежде всего	2	7
24	мы не	2	7
25	и то	2	7
26	как бы	5	6
27	все что	4	6
28	и что	3	6
29	во всех	3	6
30	все эти	3	6
31	а не	7	6
32	с тем	2	5
33	и для	3	5
34	является в	2	5
35	не могут	2	4
36	никогда не	3	4
37	в конце	3	4
38	в котором	4	4
39	и во	2	4
40	в его	4	4
41	но в	3	4
42	по этому	3	4
43	еще не	8	4
44	не есть	6	4
45	не в	3	4
46	все это	5	3
47	это не	2	3
48	но это	3	3
49	для него	2	3
50	в ней	4	3
51	но мы	2	3
52	значения и	2	3
53	с ним	2	3
54	но не	2	3
55	и потому	7	3
56	нет и	2	3
57	что и	3	3
58	в своей	3	3
59	так и	4	3
60	в чем	3	3
61	в этих	3	2
62	его и	2	2
63	что все	4	2
64	его к	2	2
65	для нас	2	2
66	ни в	3	2
67	мы и	2	2
68	один из	2	2
69	в нем	4	2
70	и против	3	2
71	всего в	2	2
72	в старой	2	2
73	это мы	2	2
74	лишь в	3	2
75	не имеет	3	2
76	должно быть	3	2
77	а в	2	2
78	нас и	3	2
79	и есть	4	2
80	что было	2	2
81	на этих	2	2
82	что не	4	2
83	чтобы сделать	2	2
84	можно было	2	2
85	во всяком	2	2
86	могут быть	2	2
