N	2gram	Berdyaev_M_2	StatiiOP
1	и в	46	25
2	в этом	20	24
3	в том	3	20
4	что в	4	19
5	что он	7	19
6	может быть	21	19
7	тем что	3	19
8	что это	6	16
9	том что	4	15
10	в этой	7	14
11	в его	5	12
12	то что	5	12
13	не только	18	12
14	в этих	2	11
15	так что	2	11
16	прежде всего	12	10
17	и не	18	10
18	у него	22	9
19	но и	15	9
20	т е	4	8
21	в своих	3	8
22	о том	3	8
23	это не	5	7
24	не может	15	7
25	точки зрения	2	7
26	место в	2	6
27	в конце	5	6
28	не в	9	6
29	только в	3	6
30	как бы	8	6
31	как в	7	6
32	а в	2	6
33	и на	3	6
34	в трагедии	3	6
35	в русской	6	6
36	в россии	3	6
37	между тем	2	6
38	то же	5	5
39	в них	3	5
40	потому что	12	5
41	ни в	3	5
42	говорит что	2	5
43	такого рода	2	5
44	на почве	3	5
45	связано с	3	5
46	и это	5	5
47	а не	13	5
48	того что	6	5
49	он не	10	5
50	так и	4	5
51	но в	10	5
52	связана с	7	4
53	в жизни	4	4
54	в каждом	3	4
55	у нас	11	4
56	как и	13	4
57	мы видим	2	4
58	это есть	2	4
59	но это	8	4
60	то в	2	4
61	если бы	3	4
62	и к	7	4
63	на его	2	4
64	в ней	11	4
65	к ней	2	4
66	в своей	5	4
67	отношение к	8	4
68	в центре	2	4
69	не было	11	4
70	лишь в	2	4
71	в чем	3	4
72	к нему	2	4
73	и для	7	4
74	и с	3	4
75	сказать что	3	4
76	в которой	2	4
77	ничего не	2	4
78	что все	5	3
79	уже в	2	3
80	с его	4	3
81	тому что	4	3
82	с которым	3	3
83	и здесь	6	3
84	он был	9	3
85	для него	18	3
86	и что	2	3
87	на этом	2	3
88	до конца	4	3
89	нет в	4	3
90	и если	2	3
91	уже не	4	3
92	не так	3	3
93	и его	5	3
94	но он	11	3
95	связи с	2	3
96	так как	8	3
97	в творчестве	3	3
98	к которому	3	3
99	я и	2	3
100	он хочет	3	2
101	сам он	2	2
102	не был	2	2
103	все время	2	2
104	о русском	2	2
105	никогда не	18	2
106	себя и	3	2
107	для этого	4	2
108	что у	4	2
109	и во	3	2
110	тогда когда	2	2
111	в духе	5	2
112	в такой	3	2
113	или иной	2	2
114	к тому	5	2
115	что они	3	2
116	есть в	3	2
117	в свою	4	2
118	до сих	3	2
119	быть назван	2	2
120	он считает	2	2
121	соединение с	2	2
122	в самом	5	2
123	в сущности	2	2
124	во всех	2	2
125	что русский	2	2
126	его отношение	4	2
127	народ в	3	2
128	один из	5	2
129	должен быть	4	2
130	и за	2	2
131	вместе с	2	2
132	сих пор	3	2
133	ее в	2	2
134	и тогда	3	2
135	нас не	2	2
136	русской истории	3	2
137	в отношении	5	2
138	россии и	2	2
139	и других	2	2
140	от того	3	2
141	не мог	3	2
142	для того	5	2
143	что не	2	2
144	и всегда	3	2
145	его не	2	2
146	той же	3	2
147	то он	2	2
148	в русском	4	2
149	которые в	2	2
150	не имеет	4	2
151	если я	2	2
152	и тот	2	2
