N	2gram	Trubetskoy_1	Komedia
1	и в	26	26
2	и не	8	14
3	к тому	6	12
4	так и	6	12
5	в том	11	11
6	тому же	5	11
7	может быть	10	11
8	но и	9	10
9	в этом	15	10
10	что в	9	9
11	том что	7	9
12	если бы	3	9
13	вместе с	15	9
14	ясно что	3	8
15	и на	2	7
16	из них	7	7
17	не только	10	7
18	что и	6	7
19	в своем	3	6
20	во время	4	6
21	то что	7	6
22	еще не	2	6
23	в нем	4	6
24	того чтобы	5	6
25	потому что	7	6
26	и здесь	2	6
27	в то	4	6
28	о том	6	6
29	таким образом	22	6
30	с его	2	5
31	с тем	18	5
32	в которой	3	5
33	к этому	3	5
34	что он	4	5
35	в качестве	3	5
36	один из	2	5
37	для того	5	5
38	так что	3	5
39	и с	10	5
40	больше чем	2	5
41	уже в	2	4
42	не менее	3	4
43	в этих	4	4
44	в них	2	4
45	и от	4	4
46	прежде всего	2	4
47	из этих	10	4
48	одной из	5	4
49	в его	5	4
50	все же	6	4
51	в самом	4	4
52	и для	5	4
53	точки зрения	13	4
54	в начале	2	4
55	только в	4	4
56	что это	3	4
57	так как	9	4
58	на этот	4	4
59	между тем	2	4
60	том числе	5	3
61	для всех	2	3
62	так или	3	3
63	с этой	3	3
64	после смерти	10	3
65	в образе	2	3
66	так называемой	2	3
67	надо было	2	3
68	но если	2	3
69	жизни и	2	3
70	отношению к	3	3
71	но все	7	3
72	связи с	9	3
73	к концу	3	3
74	но не	8	3
75	того же	6	3
76	во всех	2	3
77	же время	2	3
78	из которых	4	3
79	в котором	4	3
80	не имеет	5	3
81	и особенно	2	3
82	тех пор	2	3
83	все это	6	3
84	в связи	3	3
85	то же	4	3
86	не было	2	3
87	в самой	2	3
88	к нему	7	3
89	а в	4	3
90	или иначе	3	3
91	не может	4	3
92	в этой	4	3
93	но в	7	3
94	мы можем	2	3
95	за собой	3	2
96	ни было	2	2
97	если в	3	2
98	и другие	3	2
99	не всегда	2	2
100	то ни	2	2
101	с другой	8	2
102	признать что	2	2
103	в так	4	2
104	в конце	6	2
105	в одном	3	2
106	представление о	6	2
107	что именно	2	2
108	в народном	3	2
109	и к	5	2
110	в пользу	2	2
111	не в	2	2
112	до сих	5	2
113	в силу	5	2
114	должна была	2	2
115	тот же	2	2
116	бы то	2	2
117	по своему	2	2
118	похож на	2	2
119	связанных с	2	2
120	одной стороны	7	2
121	и если	3	2
122	вслед за	2	2
123	одним из	2	2
124	наконец в	2	2
125	он не	4	2
126	друг с	5	2
127	как бы	12	2
128	которые в	2	2
129	не вполне	3	2
130	всяком случае	6	2
131	хотя бы	3	2
132	и это	2	2
133	в мире	5	2
134	отношение к	5	2
135	сих пор	5	2
136	целый ряд	4	2
137	если не	2	2
138	с одной	7	2
139	в течение	4	2
140	и что	4	2
141	с самого	3	2
142	и у	8	2
143	в других	3	2
144	в глазах	2	2
145	на пути	2	2
146	во всяком	6	2
147	одно из	2	2
148	к его	2	2
149	с другом	5	2
150	и все	2	2
151	из этого	2	2
152	пути к	2	2
153	мы имеем	2	2
154	в виду	2	2
155	и после	2	2
