N	2gram	Propp_Isto_2	Analitik
1	не только	18	22
2	и в	15	18
3	как и	2	14
4	так и	5	14
5	в этом	11	14
6	но и	14	13
7	и его	3	13
8	том что	7	12
9	в качестве	3	12
10	и не	11	12
11	при этом	4	11
12	а в	12	10
13	как бы	6	10
14	может быть	17	9
15	что в	12	9
16	а не	5	9
17	в том	6	9
18	с другой	2	7
19	но не	2	7
20	в его	6	7
21	в русской	5	7
22	отношению к	3	7
23	по отношению	3	7
24	к тому	5	6
25	не в	7	6
26	еще не	9	6
27	в этой	4	6
28	он не	8	6
29	в их	3	6
30	о том	3	6
31	никогда не	15	5
32	прежде всего	5	5
33	что и	6	5
34	другой стороны	2	5
35	в сущности	2	5
36	той же	2	5
37	мы имеем	15	5
38	представляет собой	5	5
39	перед нами	2	4
40	в одном	5	4
41	состоит в	2	4
42	что он	24	4
43	все же	9	4
44	принадлежит к	2	4
45	приводит к	2	4
46	таким образом	7	4
47	тем самым	2	4
48	и на	4	4
49	уже в	2	3
50	не столько	2	3
51	из этих	3	3
52	ключ к	2	3
53	тому же	2	3
54	что они	10	3
55	было бы	5	3
56	с ее	2	3
57	дело не	4	3
58	как в	5	3
59	все это	3	3
60	так в	3	3
61	то же	10	3
62	не было	2	3
63	именно в	2	3
64	его не	2	3
65	роль в	3	3
66	мы не	3	3
67	ничего не	7	3
68	с этим	5	3
69	подобно тому	3	3
70	он и	3	3
71	его в	10	3
72	здесь не	2	3
73	в особенности	2	3
74	как это	3	3
75	могут быть	2	2
76	власть над	4	2
77	все эти	4	2
78	это не	2	2
79	но они	4	2
80	в жизни	2	2
81	в нем	7	2
82	и ее	2	2
83	в тех	2	2
84	о его	2	2
85	не должен	4	2
86	да и	2	2
87	одна из	2	2
88	с тем	9	2
89	в глаза	2	2
90	одной стороны	3	2
91	например в	2	2
92	на его	2	2
93	в ней	4	2
94	об этом	11	2
95	а также	2	2
96	один из	8	2
97	то что	12	2
98	когда он	3	2
99	во всех	2	2
100	вместе с	7	2
101	что она	5	2
102	связь с	4	2
103	не может	5	2
104	не могла	2	2
105	с одной	4	2
106	но с	2	2
107	в себя	3	2
108	самом деле	2	2
109	не мог	3	2
110	и по	2	2
111	и для	2	2
112	в иной	5	2
113	тому как	3	2
114	сказать что	2	2
115	мы можем	8	2
116	тем что	4	2
117	в себе	4	2
118	и здесь	9	2
119	могла бы	2	2
120	что мы	3	2
121	только в	6	2
122	хотя в	3	2
123	так сказать	2	2
124	своей дочери	2	2
125	когда мы	2	2
126	но в	6	2
127	о своей	2	2
