N	3gram	Losev_Vlad_3	Russkaja
1	то же время	2	10
2	в то же	3	10
3	с точки зрения	6	9
4	в том что	10	7
5	во всяком случае	3	6
6	на то что	2	4
7	бы то ни	3	4
8	в том случае	3	4
9	более или менее	5	4
10	не может быть	6	4
11	в конце концов	5	3
12	в данном случае	2	3
13	что бы то	2	3
14	при таких условиях	2	3
15	и то что	4	3
16	то ни стало	2	3
17	во что бы	2	3
18	вместе с тем	6	3
19	том случае если	2	3
20	и вместе с	2	2
21	только в том	3	2
22	в настоящее время	3	2
23	о том что	8	2
24	и в том	2	2
25	к тому что	2	2
26	в себе и	2	2
27	точно так же	4	2
