N	2gram	Propp_Isto_7	Vladivir
1	и в	24	30
2	то что	7	20
3	в этом	12	20
4	у него	10	19
5	в том	7	18
6	и не	4	18
7	что он	21	13
8	в конце	3	13
9	том что	10	12
10	что в	13	12
11	там же	2	12
12	не только	21	12
13	а в	10	11
14	как мы	3	11
15	сказать что	2	11
16	и даже	3	10
17	не в	9	9
18	кроме того	3	9
19	было бы	2	9
20	все же	9	9
21	потому что	9	9
22	не может	14	9
23	в то	2	9
24	связи с	3	8
25	вместе с	7	8
26	но и	11	8
27	в связи	2	8
28	но в	5	8
29	не менее	5	7
30	никогда не	4	7
31	точки зрения	4	7
32	и все	6	7
33	ни в	2	7
34	может быть	14	7
35	между прочим	3	7
36	для нас	6	7
37	а не	8	7
38	как это	2	7
39	хотя и	3	6
40	к этому	2	6
41	прежде всего	2	6
42	об этом	6	6
43	тем не	4	6
44	то время	2	6
45	только в	6	6
46	а именно	6	6
47	и его	3	6
48	как и	6	5
49	так что	3	5
50	в дальнейшем	3	5
51	при этом	4	5
52	того же	2	5
53	тот же	2	5
54	в основном	2	5
55	как бы	4	5
56	в котором	2	5
57	другими словами	2	5
58	так и	5	5
59	все это	8	5
60	с этим	2	5
61	и что	10	5
62	того что	6	5
63	все эти	2	5
64	так как	8	5
65	с ним	5	5
66	с его	3	4
67	с этой	6	4
68	после смерти	3	4
69	вовсе не	4	4
70	его в	3	4
71	мы знаем	2	4
72	что его	2	4
73	и если	3	4
74	что это	6	4
75	на его	2	4
76	конечно не	2	4
77	и о	2	4
78	он не	6	4
79	в нем	6	4
80	то это	5	4
81	в этих	13	4
82	со стороны	2	4
83	то же	8	4
84	и наконец	3	4
85	на этот	2	4
86	и он	3	4
87	так же	6	4
88	и на	2	4
89	но это	3	4
90	мы должны	4	4
91	о том	9	4
92	здесь не	2	4
93	в которой	2	4
94	отношение к	5	4
95	уже в	3	3
96	всех этих	6	3
97	должен был	2	3
98	в них	3	3
99	из этих	3	3
100	точно так	2	3
101	что и	8	3
102	по существу	4	3
103	тем более	2	3
104	но не	6	3
105	в данном	4	3
106	вплоть до	2	3
107	во всех	7	3
108	как в	12	3
109	им в	2	3
110	таким образом	7	3
111	здесь мы	5	3
112	уже не	2	3
113	не столько	3	3
114	к ней	2	3
115	но он	2	3
116	его на	2	3
117	но вот	2	3
118	и это	2	3
119	ему все	2	2
120	к нему	7	2
121	этого не	2	2
122	здесь можно	2	2
123	но по	2	2
124	очень много	2	2
125	он на	2	2
126	него и	3	2
127	со своей	2	2
128	это не	10	2
129	и от	2	2
130	если не	4	2
131	тогда когда	3	2
132	только после	2	2
133	мы видели	7	2
134	на первый	4	2
135	ли он	4	2
136	без всякого	2	2
137	друг друга	2	2
138	возможно что	3	2
139	есть и	4	2
140	но тем	2	2
141	после того	4	2
142	она не	2	2
143	в каких	2	2
144	кажется что	3	2
145	мы уже	4	2
146	себе и	3	2
147	в самом	2	2
148	во сне	2	2
149	том чтобы	3	2
150	ни с	2	2
151	мы пока	2	2
152	на то	3	2
153	не вполне	3	2
154	время как	2	2
155	еще один	2	2
156	был в	2	2
157	не имеет	4	2
158	с ней	3	2
159	ее на	4	2
160	данном случае	3	2
161	в их	4	2
162	того как	3	2
163	на земле	2	2
164	три года	2	2
165	но все	4	2
166	и она	3	2
167	что не	2	2
168	не говорится	3	2
169	в чем	5	2
170	и по	3	2
171	его не	2	2
172	во многих	2	2
173	приходит к	3	2
174	прочим и	2	2
175	это значит	2	2
176	он дает	3	2
177	которой он	3	2
178	что эти	2	2
179	как он	6	2
180	что вы	2	2
181	ничего не	5	2
182	мы не	4	2
