N	2gram	Medvedev_S_1	Problema
1	в его	3	43
2	и в	3	38
3	может быть	2	26
4	как бы	2	22
5	по отношению	2	21
6	отношению к	2	19
7	в этом	5	15
8	только в	2	13
9	за пределы	2	12
10	таким образом	2	10
11	но и	2	9
12	не только	3	9
13	в том	5	8
14	было бы	2	8
15	то что	2	8
16	что в	2	7
17	не в	3	7
18	еще не	2	7
19	только как	2	6
20	то же	2	5
21	далеко не	2	5
22	должна быть	2	4
23	и только	3	4
24	к которому	2	4
25	как только	2	3
26	все это	7	3
27	она может	2	3
28	том что	2	3
29	в частности	2	2
30	и что	2	2
31	по существу	2	2
