N	2gram	Tiupa_Anal_1	KulturaY
1	и т	3	54
2	т п	3	41
3	и в	18	23
4	точки зрения	6	23
5	в том	27	22
6	не только	15	17
7	было бы	2	16
8	в этом	13	16
9	с точки	4	16
10	в области	4	14
11	может быть	29	14
12	самом деле	2	14
13	что в	5	13
14	в самом	6	13
15	для того	4	12
16	потому что	2	12
17	вопрос о	2	11
18	том что	12	11
19	а не	17	11
20	того что	4	11
21	в его	13	11
22	того чтобы	3	11
23	и не	21	10
24	прежде всего	6	9
25	еще не	3	9
26	хотя бы	3	9
27	таким образом	3	9
28	так как	2	9
29	если бы	3	8
30	лишь в	5	8
31	уже не	4	8
32	в нашем	3	7
33	с другой	4	7
34	или иной	6	7
35	на фоне	2	7
36	должно быть	2	7
37	в данном	2	7
38	все эти	2	7
39	для этого	2	6
40	по себе	4	6
41	что и	3	6
42	что он	3	6
43	в силу	3	6
44	при этом	12	6
45	так и	4	6
46	в их	5	6
47	не может	22	6
48	то же	9	6
49	могут быть	4	6
50	только в	6	6
51	о том	5	6
52	что же	2	5
53	в рамках	3	5
54	не могут	3	5
55	и есть	3	5
56	вовсе не	2	5
57	как и	13	5
58	не в	14	5
59	как бы	5	5
60	все же	4	5
61	как мы	2	5
62	а в	9	5
63	также и	2	5
64	тем более	2	5
65	той или	6	5
66	из этих	2	5
67	далеко не	6	5
68	в первом	2	5
69	один из	2	4
70	этого слова	7	4
71	а также	3	4
72	в целом	5	4
73	того же	4	4
74	одной стороны	3	4
75	не случайно	3	4
76	столь же	4	4
77	в сущности	6	4
78	в своей	6	4
79	том чтобы	7	4
80	и о	2	4
81	язык есть	2	4
82	то что	6	4
83	данном случае	2	4
84	с одной	3	4
85	в той	8	4
86	тем самым	7	4
87	что не	3	4
88	в таком	3	4
89	не столько	2	4
90	между тем	5	4
91	которые в	2	4
92	тогда когда	2	4
93	на вопрос	4	3
94	и более	4	3
95	отнюдь не	15	3
96	вопроса о	3	3
97	это не	6	3
98	на самом	2	3
99	именно в	4	3
100	или иного	3	3
101	есть не	8	3
102	к тому	7	3
103	и к	3	3
104	ни в	4	3
105	то в	2	3
106	что именно	2	3
107	но не	10	3
108	в какой	2	3
109	он не	3	3
110	не есть	8	3
111	отношение к	2	3
112	в процессе	2	3
113	но и	17	3
114	а именно	3	3
115	по отношению	6	3
116	другой стороны	2	3
117	тому же	4	3
118	а с	3	3
119	в ряду	2	3
120	и с	2	3
121	той же	2	3
122	что как	3	3
123	может иметь	2	3
124	то он	2	3
125	в то	9	3
126	я в	3	3
127	того или	3	3
128	бы не	2	3
129	я и	6	3
130	образом не	2	2
131	вопрос об	3	2
132	такой же	2	2
133	том числе	3	2
134	только для	2	2
135	в частности	19	2
136	первом случае	2	2
137	одного и	2	2
138	не более	4	2
139	можно сказать	2	2
140	состоит в	11	2
141	и того	5	2
142	и как	5	2
143	есть вещь	2	2
144	свое время	2	2
145	с целью	2	2
146	в качестве	31	2
147	за пределы	2	2
148	может служить	2	2
149	иначе говоря	9	2
150	она есть	2	2
151	не о	2	2
152	в свое	2	2
153	в котором	3	2
154	однако в	3	2
155	не все	2	2
156	не с	4	2
157	отношению к	5	2
158	в пределах	2	2
159	своего рода	3	2
160	вместе с	4	2
161	не говоря	2	2
162	дело не	3	2
163	отличается от	2	2
164	в текст	3	2
165	в отличие	6	2
166	как к	2	2
167	смысл и	3	2
168	быть не	3	2
169	в двух	2	2
170	не просто	2	2
171	из того	4	2
172	более чем	4	2
173	на себя	2	2
174	с другими	4	2
175	что мы	3	2
176	тому как	3	2
177	на этом	2	2
178	как он	3	2
179	таком случае	3	2
180	здесь не	2	2
181	она может	3	2
182	подхода к	3	2
183	отличие от	6	2
184	мы имеем	6	2
185	но в	8	2
