N	2gram	Vinokur_St_1	KulturaY
1	и т	30	39
2	потому что	6	25
3	т п	9	24
4	и в	44	23
5	т е	15	22
6	не только	18	20
7	в том	36	19
8	в этом	21	18
9	и не	16	16
10	было бы	17	15
11	так как	5	15
12	может быть	15	15
13	т д	21	14
14	точки зрения	11	14
15	если бы	9	12
16	у нас	11	12
17	в самом	7	12
18	все эти	5	12
19	том что	29	11
20	того чтобы	11	11
21	в области	14	11
22	но в	10	11
23	что в	30	10
24	а не	16	10
25	вовсе не	19	9
26	вопрос о	4	9
27	в сущности	2	9
28	то что	18	9
29	самом деле	11	9
30	для того	10	9
31	хотя бы	6	9
32	можно было	13	9
33	не может	8	9
34	с другой	9	8
35	прежде всего	7	8
36	не в	12	8
37	в качестве	4	8
38	и что	4	8
39	с точки	8	8
40	языка и	4	8
41	что это	4	7
42	не менее	5	7
43	все же	8	7
44	но и	10	7
45	другой стороны	7	7
46	то обстоятельство	2	7
47	и с	3	7
48	обстоятельство что	3	7
49	это не	8	6
50	по крайней	2	6
51	крайней мере	2	6
52	да и	3	6
53	в этой	11	6
54	но не	3	6
55	что не	3	6
56	тем не	2	6
57	вопроса о	3	6
58	то же	5	6
59	этот вопрос	4	6
60	между тем	3	6
61	что мы	5	6
62	я не	7	5
63	должна быть	3	5
64	что все	2	5
65	ясно что	10	5
66	что он	10	5
67	об этом	3	5
68	по существу	2	5
69	еще не	3	5
70	несмотря на	2	5
71	в его	9	5
72	всяком случае	6	5
73	этого слова	2	5
74	должен быть	3	5
75	и тем	3	5
76	что же	6	5
77	все это	5	5
78	таким образом	7	5
79	там где	5	5
80	лишь в	3	5
81	целый ряд	2	5
82	как это	4	5
83	и то	5	5
84	во всяком	6	5
85	только в	10	5
86	также и	9	5
87	мы имеем	2	5
88	была бы	5	4
89	можно ли	4	4
90	но также	9	4
91	бы и	4	4
92	на то	4	4
93	что на	2	4
94	для нас	7	4
95	ни в	3	4
96	но все	4	4
97	своего рода	3	4
98	как бы	4	4
99	в нем	5	4
100	со стороны	6	4
101	так же	5	4
102	это слово	4	4
103	не было	4	4
104	этой области	5	4
105	не имеет	4	4
106	русского языка	2	4
107	вряд ли	5	4
108	в данном	14	4
109	в результате	3	4
110	сказать что	7	4
111	могут быть	5	4
112	в каком	3	4
113	говорить о	2	4
114	в то	9	4
115	в конце	3	4
116	ничего не	2	4
117	так и	9	4
118	чем в	3	3
119	уже в	2	3
120	или иное	3	3
121	нисколько не	2	3
122	ни были	2	3
123	не надо	2	3
124	у него	2	3
125	всех этих	2	3
126	для этого	2	3
127	гораздо более	4	3
128	же время	4	3
129	что оно	3	3
130	зрения в	2	3
131	а также	2	3
132	п в	3	3
133	это и	4	3
134	но это	6	3
135	того же	3	3
136	этого вопроса	2	3
137	совершенно не	5	3
138	в статье	7	3
139	но для	2	3
140	в ней	3	3
141	он не	2	3
142	что и	6	3
143	не все	3	3
144	что она	4	3
145	уже о	5	3
146	как в	13	3
147	как раз	4	3
148	с этим	3	3
149	этом отношении	7	3
150	не знает	2	3
151	именно в	6	3
152	того что	9	3
153	и по	5	3
154	то или	3	3
155	или иначе	2	3
156	а в	17	3
157	и его	8	3
158	такие случаи	2	3
159	тем что	5	3
160	и это	2	3
161	есть в	2	3
162	ср например	2	3
163	в отношении	9	2
164	это просто	3	2
165	и более	2	2
166	же как	3	2
167	это в	4	2
168	в частности	4	2
169	никогда не	5	2
170	смысле этого	2	2
171	о котором	2	2
172	что у	4	2
173	с этой	3	2
174	никаких оснований	2	2
175	и все	2	2
176	связанные с	3	2
177	не всегда	2	2
178	как можно	2	2
179	или иного	4	2
180	что они	7	2
181	очень часто	3	2
182	этом случае	2	2
183	данном отношении	5	2
184	думаю что	5	2
185	ли не	2	2
186	в другом	3	2
187	и потому	2	2
188	с одной	3	2
189	мне кажется	5	2
190	а на	3	2
191	как будто	4	2
192	она не	2	2
193	при этом	2	2
194	по поводу	7	2
195	по словам	4	2
196	конечно не	2	2
197	между прочим	2	2
198	что касается	3	2
199	того или	4	2
200	же и	4	2
201	в свое	2	2
202	и даже	5	2
203	речь идет	4	2
204	так или	2	2
205	к нему	2	2
206	превращается в	2	2
207	в своей	6	2
208	дело не	4	2
209	данном случае	6	2
210	не хочет	2	2
211	а именно	3	2
212	в своем	2	2
213	или же	2	2
214	о значении	3	2
215	следовало бы	2	2
216	и для	3	2
217	еще и	2	2
218	на самом	6	2
219	как и	9	2
220	и сейчас	4	2
221	в той	6	2
222	тем самым	2	2
223	свое время	2	2
224	должны быть	3	2
225	и у	2	2
226	на этот	3	2
227	тем же	3	2
228	той же	5	2
229	что для	3	2
230	материал для	3	2
231	конечно и	3	2
232	в которых	5	2
233	языка не	2	2
234	от этого	2	2
235	однако и	2	2
236	ставит себе	3	2
237	даже и	2	2
238	в своих	2	2
239	на который	2	2
240	и вообще	3	2
241	не хочу	3	2
242	достаточно для	2	2
243	ни на	2	2
244	заключается в	4	2
245	будто бы	3	2
246	в иных	2	2
247	что эта	2	2
248	ответ на	3	2
249	то не	2	2
250	а если	2	2
251	отношения к	2	2
