N	2gram	Bakhtin_Fr_2	Poddanst
1	не только	17	17
2	и в	49	14
3	и не	15	12
4	в области	4	11
5	в отношении	2	10
6	в этом	15	10
7	то же	7	9
8	в том	3	9
9	в качестве	2	9
10	но в	4	9
11	в пределах	2	8
12	же время	6	7
13	в то	6	7
14	только в	13	7
15	но и	13	6
16	в ней	2	6
17	в смысле	2	6
18	xix века	2	6
19	было бы	3	6
20	с другой	4	5
21	и о	4	5
22	может быть	5	5
23	же в	3	4
24	то что	6	4
25	что в	2	4
26	в своем	5	4
27	не может	7	4
28	и к	4	4
29	а в	4	4
30	том что	4	4
31	мы должны	2	4
32	как бы	11	4
33	и потому	5	4
34	в нем	9	3
35	и без	2	3
36	с одной	3	3
37	прежде всего	19	3
38	с точки	5	3
39	но не	5	3
40	могут быть	2	3
41	точки зрения	6	3
42	в себе	4	3
43	тот же	5	3
44	одной стороны	3	3
45	хотя и	2	3
46	в мире	2	2
47	для них	2	2
48	именно в	6	2
49	во всех	6	2
50	в них	13	2
51	все это	9	2
52	в xix	3	2
53	отношения к	4	2
54	в жизни	4	2
55	думать что	2	2
56	и других	3	2
57	и вот	3	2
58	в значительной	3	2
59	в ее	3	2
60	как на	4	2
61	духа и	3	2
62	есть в	2	2
63	одна из	4	2
64	по сравнению	2	2
65	не было	4	2
66	в начале	5	2
67	из них	3	2
68	xix веке	3	2
69	и это	3	2
70	да и	3	2
71	в эту	5	2
72	в его	18	2
73	и с	6	2
