N	2gram	Bakhtin_fo_1	FransuaR
1	и в	50	65
2	то есть	33	45
3	и др	9	24
4	как бы	2	22
5	и не	14	22
6	вовсе не	13	18
7	и т.п	4	17
8	в сущности	3	16
9	в том	9	16
10	в этом	25	15
11	но в	10	14
12	в условиях	7	13
13	в нем	24	13
14	мы уже	11	12
15	прежде всего	15	11
16	и на	8	11
17	том числе	4	10
18	и его	16	10
19	и потому	3	10
20	не только	9	10
21	но и	8	10
22	так и	12	10
23	все эти	9	10
24	в его	13	9
25	во всех	6	9
26	все это	4	9
27	в своем	4	8
28	в основе	5	8
29	всех этих	5	8
30	в дальнейшем	6	8
31	здесь в	2	8
32	и другие	5	8
33	и даже	2	8
34	формы и	3	7
35	его в	3	7
36	числе и	2	7
37	уже говорили	3	7
38	жизни и	8	7
39	влияние на	4	7
40	точки зрения	5	7
41	только в	4	7
42	никогда не	2	6
43	не знает	3	6
44	том что	4	6
45	все же	6	6
46	как мы	14	6
47	времени и	10	6
48	в значительной	2	6
49	еще не	5	6
50	при этом	3	6
51	может быть	11	6
52	в ней	4	6
53	в отношении	3	6
54	и у	5	6
55	сказать что	3	6
56	одно из	3	6
57	в литературе	16	6
58	они были	2	6
59	так как	6	6
60	с его	9	5
61	в одном	3	5
62	в частности	6	5
63	еще более	3	5
64	жизни в	8	5
65	в них	4	5
66	почти вовсе	2	5
67	потому что	4	5
68	отличие от	2	5
69	есть в	2	5
70	или иной	2	5
71	рядом с	2	5
72	для него	2	5
73	в своей	2	5
74	той или	2	5
75	еще и	2	5
76	как в	6	5
77	как и	8	5
78	в той	4	5
79	с их	2	5
80	и все	6	5
81	поэтому и	3	4
82	связи с	6	4
83	и к	2	4
84	не в	5	4
85	можно только	2	4
86	отношение к	2	4
87	совершенно не	2	4
88	в самом	8	4
89	xvii века	2	4
90	и до	5	4
91	сих пор	3	4
92	до сих	3	4
93	в их	6	4
94	для нас	2	4
95	в отличие	2	4
96	между ними	3	4
97	здесь и	2	4
98	и еще	2	4
99	входит в	3	4
100	так сказать	7	4
101	в жизни	6	4
102	не могут	3	3
103	мы будем	2	3
104	но на	4	3
105	мир и	2	3
106	что в	5	3
107	не является	2	3
108	в xvii	3	3
109	это не	6	3
110	и во	7	3
111	на фоне	3	3
112	в ее	6	3
113	мировой литературе	2	3
114	но все	5	3
115	мы и	4	3
116	в самой	2	3
117	связаны с	3	3
118	не были	2	3
119	и эта	2	3
120	в новое	3	3
121	но для	2	3
122	уже сказали	2	3
123	с точки	2	3
124	то что	6	3
125	на этой	4	3
126	и их	8	3
127	до нас	5	3
128	и прежде	2	3
129	как раз	13	3
130	не может	6	3
131	мир в	2	3
132	разного рода	2	3
133	этом отношении	3	3
134	и других	3	3
135	в форме	3	3
136	уже не	2	3
137	во всей	3	3
138	с другой	2	3
139	друг друга	3	3
140	в других	9	3
141	конечно и	4	3
142	в более	2	3
143	в себе	3	3
144	и вообще	2	3
145	далеко не	2	3
146	нет ничего	4	3
147	с ним	2	3
148	ничего не	9	3
149	и с	4	3
150	в виду	3	3
151	мира в	3	3
152	ни к	3	2
153	но не	5	2
154	во многом	2	2
155	к тому	3	2
156	и особые	2	2
157	были в	2	2
158	раз и	2	2
159	нем в	2	2
160	всего того	3	2
161	значение и	3	2
162	вполне понятно	4	2
163	ни с	2	2
164	новое и	2	2
165	дальнейшем развитии	2	2
166	же в	3	2
167	его от	2	2
168	да и	3	2
169	в романе	32	2
170	мы видим	3	2
171	это время	7	2
172	более того	3	2
173	др в	2	2
174	кроме того	4	2
175	до конца	4	2
176	одной стороны	2	2
177	в это	2	2
178	здесь на	4	2
179	например в	6	2
180	новый тип	2	2
181	наряду с	5	2
182	хотя и	3	2
183	он не	5	2
184	в основном	5	2
185	его на	2	2
186	нет и	2	2
187	и для	4	2
188	в целом	2	2
189	не к	2	2
190	в некоторых	2	2
191	время в	6	2
192	в процессе	4	2
193	к жизни	2	2
194	характер это	3	2
195	только на	3	2
196	xviii века	3	2
197	отношения к	3	2
198	природной и	2	2
199	с одной	3	2
200	на них	2	2
201	не для	2	2
202	себе самому	4	2
203	понятно что	4	2
204	но эта	3	2
205	очень характерно	2	2
206	не входит	2	2
207	того что	2	2
208	что не	3	2
209	что мы	2	2
210	смысле но	2	2
211	и по	2	2
212	есть только	2	2
213	роль в	9	2
214	в таком	3	2
215	или в	3	2
216	к себе	4	2
217	их в	3	2
218	в этих	3	2
219	быть только	3	2
220	могут быть	5	2
221	совершенно иной	3	2
222	во всем	2	2
223	существенную роль	2	2
224	жизни но	5	2
225	и это	4	2
226	дело в	2	2
227	здесь только	2	2
228	в особенности	9	2
229	в чем	2	2
230	здесь еще	2	2
231	xvii веке	2	2
232	исторического времени	4	2
