N	2gram	Losev_Dial_3	Morfolog
1	может быть	13	52
2	и т	24	49
3	т д	23	47
4	и пр	6	40
5	таким образом	13	20
6	не может	19	17
7	т е	48	16
8	могут быть	2	15
9	с этим	3	14
10	и в	24	13
11	в этом	8	13
12	так как	6	12
13	перед нами	3	11
14	чаще всего	2	11
15	прежде всего	8	9
16	так и	5	9
17	то же	6	9
18	и не	27	9
19	а не	26	9
20	с другой	4	8
21	по существу	2	8
22	что и	6	8
23	при помощи	3	8
24	вопрос о	5	7
25	и этим	3	7
26	но если	6	7
27	все же	3	7
28	или же	3	7
29	это не	4	6
30	не могут	4	6
31	и здесь	2	6
32	в том	5	6
33	но не	2	6
34	а в	2	6
35	подобно тому	4	6
36	не менее	11	5
37	тому как	4	5
38	как бы	3	5
39	то что	14	5
40	или в	2	5
41	потому что	7	5
42	мы не	5	5
43	что в	7	4
44	и как	8	4
45	на котором	2	4
46	вовсе не	13	4
47	об этом	6	4
48	что его	5	4
49	тем не	10	4
50	случае не	3	4
51	было бы	5	4
52	несмотря на	2	4
53	не только	23	4
54	то это	9	4
55	как мы	2	4
56	другой стороны	2	4
57	так же	4	4
58	как и	7	4
59	хотя и	5	4
60	тем что	3	4
61	точки зрения	25	4
62	с точки	14	4
63	на этом	2	4
64	также и	2	4
65	а если	3	4
66	ничего не	17	4
67	только что	4	3
68	если бы	6	3
69	он должен	3	3
70	же в	2	3
71	том что	8	3
72	но это	5	3
73	кроме того	6	3
74	в сущности	10	3
75	как таковое	3	3
76	может существовать	2	3
77	он не	5	3
78	в первом	2	3
79	ни в	9	3
80	но и	9	3
81	от того	4	3
82	целый ряд	2	3
83	требует чтобы	2	3
84	самом деле	6	3
85	из которых	3	3
86	и по	2	3
87	к нему	3	3
88	и для	2	3
89	друг друга	3	3
90	из них	3	3
91	и ее	3	3
92	в то	5	3
93	если же	8	3
94	но в	2	3
95	значит что	24	3
96	ни к	3	2
97	как особого	2	2
98	в виде	8	2
99	в частности	2	2
100	хотя бы	4	2
101	точно так	2	2
102	этого не	2	2
103	что он	13	2
104	утверждать что	6	2
105	от отца	5	2
106	имеется в	3	2
107	и к	5	2
108	на первый	4	2
109	то в	2	2
110	только в	5	2
111	как таковая	3	2
112	есть и	12	2
113	то время	4	2
114	для него	4	2
115	одной стороны	3	2
116	мы уже	3	2
117	никто не	2	2
118	но для	2	2
119	не значит	3	2
120	же можно	2	2
121	себя и	2	2
122	из двух	3	2
123	оно не	6	2
124	не существует	10	2
125	себя в	2	2
126	то как	2	2
127	быть и	3	2
128	есть нечто	23	2
129	и тогда	5	2
130	как например	2	2
131	и только	6	2
132	с одной	3	2
133	все эти	3	2
134	и что	15	2
135	того что	12	2
136	для того	3	2
137	что такое	21	2
138	уже не	5	2
139	не имеет	11	2
140	и его	5	2
141	живое существо	2	2
142	в каком	3	2
143	не знает	3	2
144	или не	5	2
145	что мы	8	2
146	или нет	5	2
147	но вот	2	2
148	о том	6	2
149	ясно что	7	2
150	одна из	3	2
151	сказать что	4	2
152	как это	5	2
153	исходит от	2	2
154	время как	4	2
155	это было	3	2
