N	2gram	Losev_Dial_3	Myshleni
1	в том	5	42
2	том что	8	35
3	таким образом	13	25
4	точки зрения	25	24
5	в этом	8	24
6	и в	24	20
7	что в	7	19
8	в основе	3	17
9	то же	6	16
10	то что	14	15
11	не только	23	15
12	как мы	2	13
13	с другой	4	12
14	при этом	2	12
15	в их	2	12
16	потому что	7	12
17	может быть	13	12
18	так же	4	11
19	в его	2	11
20	с точки	14	11
21	того что	12	10
22	в истории	4	10
23	так как	6	10
24	и то	4	10
25	в себе	2	10
26	только в	5	10
27	и как	8	9
28	одной стороны	3	9
29	но и	9	9
30	другой стороны	2	9
31	с одной	3	9
32	как это	5	9
33	как и	7	9
34	что и	6	9
35	понятия и	2	9
36	и не	27	8
37	и тем	2	8
38	и что	15	8
39	тогда когда	5	8
40	было бы	5	8
41	как бы	3	7
42	что мы	8	7
43	самом деле	6	7
44	тем самым	3	7
45	а не	26	7
46	тем что	3	7
47	могут быть	2	7
48	к тому	4	6
49	тому же	2	6
50	же как	2	6
51	в самом	7	6
52	не может	19	6
53	и на	3	6
54	сказать что	4	6
55	слово в	2	6
56	что он	13	6
57	в силу	3	6
58	одно и	5	6
59	той же	3	6
60	перед нами	3	5
61	в частности	2	5
62	никогда не	7	5
63	целый ряд	2	5
64	это не	4	5
65	на то	3	5
66	что такое	21	5
67	только не	10	5
68	если бы	6	5
69	и его	5	5
70	с этим	3	5
71	и к	5	5
72	все же	3	5
73	о том	6	5
74	мы уже	3	5
75	так и	5	5
76	для того	3	5
77	все эти	3	5
78	все время	3	4
79	тому что	4	4
80	в своем	3	4
81	первый план	4	4
82	для нас	2	4
83	из них	3	4
84	и только	6	4
85	что оно	7	4
86	этой точки	2	4
87	друг друга	3	4
88	с этой	5	4
89	и с	6	4
90	на первый	4	4
91	в смысле	2	4
92	в сущности	10	4
93	только что	4	4
94	не в	3	4
95	и для	2	4
96	во всяком	2	4
97	на этом	2	3
98	не могут	4	3
99	не менее	11	3
100	и от	3	3
101	точно так	2	3
102	что все	14	3
103	так что	8	3
104	но что	7	3
105	к истории	2	3
106	по одному	2	3
107	не имеют	2	3
108	от того	4	3
109	в условиях	2	3
110	и является	2	3
111	в виду	7	3
112	всяком случае	2	3
113	со стороны	2	3
114	именно в	2	3
115	должно быть	3	3
116	и когда	2	3
117	но в	2	3
118	отнюдь не	10	3
119	и во	2	3
120	бы в	2	3
121	по существу	2	3
122	во всем	3	3
123	но не	2	3
124	со всеми	2	3
125	только к	2	3
126	себя в	2	3
127	совершенно не	2	3
128	нас к	2	3
129	нас в	2	3
130	ни в	9	3
131	в виде	8	3
132	в чем	4	3
133	должна быть	6	2
134	прежде всего	8	2
135	который не	2	2
136	мы и	4	2
137	что если	2	2
138	в одинаковой	2	2
139	для него	4	2
140	случае не	3	2
141	что это	12	2
142	и у	2	2
143	но для	2	2
144	в ней	2	2
145	в нем	3	2
146	к нему	3	2
147	другими словами	7	2
148	то как	2	2
149	вопросе о	2	2
150	отличается от	8	2
151	не просто	18	2
152	они не	2	2
153	не имеет	11	2
154	а в	2	2
155	вообще не	2	2
156	не знает	3	2
157	также и	2	2
158	в мысли	2	2
159	в данном	2	2
160	из этих	2	2
161	и здесь	2	2
162	но как	2	2
163	их в	2	2
164	когда мы	2	2
165	но они	2	2
166	уже и	3	2
167	у него	2	2
168	ясно что	7	2
169	показывает что	2	2
170	зависимости от	3	2
171	в вопросе	2	2
172	еще не	2	2
173	и сами	2	2
174	никак не	2	2
175	не есть	54	2
176	только на	7	2
177	и тогда	5	2
178	если не	3	2
179	и он	2	2
180	по которому	2	2
181	в слове	3	2
182	в таком	14	2
183	одинаковой мере	3	2
184	тому как	4	2
185	что этот	2	2
186	это значит	24	2
187	абстрактное понятие	9	2
188	подобно тому	4	2
189	в каком	3	2
190	на котором	2	2
191	и это	4	2
192	значит что	24	2
193	этом вопросе	2	2
