N	2gram	Vygotskiy__3	slovoVRo
1	и в	25	41
2	в нем	2	30
3	могут быть	5	19
4	но и	4	16
5	и не	10	16
6	точки зрения	6	16
7	не только	6	16
8	то же	2	14
9	может быть	13	14
10	не может	6	14
11	и его	2	14
12	и на	6	14
13	в то	4	14
14	в его	15	13
15	слова и	6	13
16	как бы	10	12
17	в этом	14	12
18	так и	5	11
19	или иной	3	9
20	той или	2	9
21	таким образом	17	9
22	все эти	7	9
23	слова в	2	8
24	прежде всего	4	8
25	на его	2	8
26	как в	9	8
27	как мы	8	8
28	или в	2	8
29	все они	2	7
30	не в	6	7
31	зрения на	2	7
32	с ним	4	7
33	в своей	2	7
34	все же	6	7
35	во всяком	4	7
36	в отношении	6	6
37	того же	6	6
38	при этом	5	6
39	а в	4	6
40	в плане	2	6
41	в них	2	6
42	оно не	2	6
43	только в	10	6
44	с другой	6	5
45	в самом	3	5
46	всяком случае	4	5
47	все это	6	5
48	в основе	16	5
49	и к	5	5
50	с другими	2	5
51	перед нами	10	4
52	и от	2	4
53	одной стороны	5	4
54	одним из	5	4
55	один из	6	4
56	с ее	5	4
57	с одной	5	4
58	и все	4	4
59	с его	2	4
60	всех этих	2	4
61	не как	3	4
62	как и	15	4
63	в смысле	4	4
64	еще не	4	4
65	и потому	2	4
66	в процессе	27	4
67	входит в	5	4
68	другой стороны	3	4
69	речи в	4	4
70	и для	2	4
71	там где	4	4
72	не могут	4	3
73	все время	2	3
74	никогда не	4	3
75	из этих	4	3
76	к тому	4	3
77	в том	23	3
78	и сам	3	3
79	в свою	3	3
80	для него	5	3
81	в него	3	3
82	в зависимости	5	3
83	из них	4	3
84	в своем	4	3
85	именно в	5	3
86	и других	2	3
87	того что	10	3
88	речь и	4	3
89	друг друга	4	3
90	с ними	3	3
91	в результате	3	3
92	и здесь	2	3
93	о том	5	3
94	его в	3	3
95	так как	12	3
96	которая не	4	3
97	и во	2	3
98	с этим	4	3
99	связанные с	2	3
100	в себе	2	3
101	с этой	3	3
102	зависимости от	6	3
103	эта форма	3	3
104	в качестве	12	3
105	и может	2	3
106	было бы	10	3
107	он не	4	3
108	в основном	6	3
109	лишь на	2	3
110	внутренней речи	19	3
111	или менее	3	3
112	как оно	3	3
113	которые в	3	3
114	свою очередь	2	2
115	же как	6	2
116	в частности	4	2
117	известном смысле	2	2
118	взаимного понимания	8	2
119	тому что	2	2
120	и одновременно	2	2
121	столь же	7	2
122	одного из	2	2
123	исторического развития	2	2
124	ни было	2	2
125	для нас	2	2
126	так что	2	2
127	мы и	2	2
128	в построении	2	2
129	что они	10	2
130	на которые	2	2
131	на этом	3	2
132	смысле слова	2	2
133	друг с	5	2
134	такого рода	2	2
135	и той	2	2
136	для того	7	2
137	хотя и	2	2
138	между ними	3	2
139	и по	5	2
140	в целом	13	2
141	в этих	2	2
142	на том	3	2
143	где они	2	2
144	уже не	2	2
145	имеет дело	2	2
146	должно быть	2	2
147	так же	17	2
148	время как	4	2
149	сказать что	4	2
150	потому что	6	2
151	того или	2	2
152	с которыми	3	2
153	между тем	3	2
154	в чисто	2	2
155	не является	8	2
156	в известном	4	2
157	а как	2	2
158	в котором	3	2
159	но по	2	2
160	между собой	13	2
161	в одном	2	2
162	к этому	3	2
163	связь с	3	2
164	или иного	2	2
165	и эти	2	2
166	том что	20	2
167	мы видим	3	2
168	то в	3	2
169	одна из	2	2
170	но не	6	2
171	по своему	11	2
172	основе их	4	2
173	то время	4	2
174	слов и	5	2
175	мы уже	5	2
176	которые являются	2	2
177	речи но	2	2
178	а также	2	2
179	в прямой	2	2
180	с ней	3	2
181	и речи	20	2
182	нами в	2	2
183	а с	3	2
184	если мы	3	2
185	и слово	3	2
186	и у	6	2
187	и эта	2	2
188	не есть	3	2
189	речь в	2	2
190	той же	4	2
191	мы не	9	2
192	можно было	6	2
193	и то	2	2
194	от этого	6	2
195	в виде	3	2
196	тем и	4	2
197	связи с	9	2
198	с другом	5	2
199	в эту	2	2
