N	2gram	Berdyaev_N_1	FransuaR
1	и в	16	40
2	прежде всего	4	16
3	в этом	7	15
4	не только	5	13
5	и не	11	13
6	что в	9	12
7	как и	7	11
8	но и	3	11
9	и т.п	2	10
10	в них	4	9
11	и все	4	9
12	может быть	7	9
13	он не	8	9
14	в том	8	8
15	у него	2	8
16	все эти	2	8
17	в эпоху	9	8
18	и с	2	8
19	и на	2	8
20	но в	2	8
21	в духе	3	7
22	культуры и	7	7
23	во всех	3	6
24	в своей	3	6
25	в то	2	6
26	связаны с	2	5
27	в нем	5	5
28	то что	4	5
29	не было	4	5
30	а не	17	5
31	и для	4	5
32	в основе	3	5
33	средневековья и	2	4
34	xix века	5	4
35	том что	2	4
36	смысле слова	3	4
37	в ней	5	4
38	и потому	4	4
39	ни в	6	4
40	в мире	3	4
41	жизни и	8	4
42	века и	2	4
43	все это	5	4
44	роль в	2	4
45	о том	4	4
46	того чтобы	2	4
47	и даже	2	4
48	в мировой	2	4
49	в истории	3	4
50	с его	6	3
51	и от	2	3
52	и к	5	3
53	в ее	3	3
54	но это	6	3
55	для этого	2	3
56	одна из	2	3
57	еще не	3	3
58	и есть	10	3
59	такого рода	2	3
60	вместе с	2	3
61	так и	2	3
62	как в	3	3
63	не может	16	3
64	а в	2	3
65	можно было	2	3
66	сказать что	3	3
67	в себе	2	3
68	на протяжении	2	3
69	не менее	4	2
70	связана с	2	2
71	времени и	2	2
72	средние века	7	2
73	хотя бы	2	2
74	большую роль	4	2
75	с другой	3	2
76	это не	4	2
77	быть в	2	2
78	это и	2	2
79	для нового	2	2
80	это есть	7	2
81	но не	2	2
82	конечно не	3	2
83	думать что	2	2
84	к жизни	3	2
85	не к	2	2
86	от старого	2	2
87	от новой	2	2
88	который в	2	2
89	лишь в	6	2
90	общества и	2	2
91	эпохи и	4	2
92	потому что	4	2
93	нового времени	12	2
94	с этим	2	2
95	этот мир	2	2
96	к новому	7	2
97	и это	2	2
98	мы не	2	2
