N	2gram	Vinokur_St_3	Hudozhes
1	том что	15	16
2	и в	25	14
3	так и	5	13
4	а не	5	12
5	в том	20	12
6	не только	12	12
7	о том	8	12
8	прежде всего	10	11
9	и т	8	11
10	в этом	24	11
11	в рассказе	3	11
12	для него	3	10
13	в своей	4	10
14	у него	9	9
15	что он	19	9
16	как и	4	9
17	в качестве	4	9
18	то же	5	9
19	как в	6	8
20	то что	12	8
21	же время	3	8
22	т п	6	8
23	между тем	6	8
24	в этой	14	8
25	в то	7	8
26	в его	12	8
27	ничего не	4	8
28	это не	7	7
29	к тому	2	7
30	уже не	3	7
31	не в	6	7
32	еще не	2	7
33	своего рода	3	7
34	как бы	6	7
35	не может	7	7
36	а в	6	7
37	никогда не	2	6
38	что в	19	6
39	было бы	7	6
40	не менее	2	5
41	с его	3	5
42	в этих	11	5
43	об этом	5	5
44	может быть	19	5
45	только в	6	5
46	но и	9	5
47	по мнению	3	5
48	самом деле	2	5
49	и его	3	5
50	потому что	5	5
51	ни в	5	5
52	точки зрения	7	5
53	но в	5	5
54	связи с	3	4
55	тому что	3	4
56	т е	8	4
57	в духе	2	4
58	на то	5	4
59	можно сказать	4	4
60	и к	4	4
61	тем не	2	4
62	то в	4	4
63	несмотря на	3	4
64	в самом	2	4
65	в ней	4	4
66	один из	2	4
67	как раз	3	4
68	в центре	4	4
69	не было	4	4
70	того что	5	4
71	только что	2	4
72	он не	5	4
73	в русской	6	4
74	в конце	6	4
75	и это	5	4
76	и с	4	4
77	но не	2	3
78	если бы	4	3
79	что у	2	3
80	но он	3	3
81	с этим	7	3
82	это в	4	3
83	как мы	2	3
84	говорить о	3	3
85	на этом	3	3
86	своего времени	2	3
87	такого рода	5	3
88	речь идет	2	3
89	все же	4	3
90	со стороны	3	3
91	то и	2	3
92	в связи	3	3
93	т д	2	3
94	и для	4	3
95	этом отношении	4	3
96	все эти	3	3
97	лишь в	4	3
98	к этой	2	3
99	с точки	4	3
100	и по	2	3
101	в своих	8	3
102	тем что	19	3
103	такой же	2	3
104	и на	6	3
105	а также	4	3
106	в творчестве	3	3
107	в рамках	2	2
108	если в	2	2
109	себя и	2	2
110	на вопрос	3	2
111	не столько	2	2
112	в одной	2	2
113	в такой	2	2
114	состоит в	4	2
115	так что	11	2
116	в другом	3	2
117	одна из	2	2
118	и что	3	2
119	а то	2	2
120	в целом	4	2
121	до конца	3	2
122	он говорил	5	2
123	одной из	2	2
124	на себе	2	2
125	например в	4	2
126	на его	4	2
127	в начале	4	2
128	в произведениях	2	2
129	слова как	2	2
130	вот тебе	2	2
131	сих пор	2	2
132	xviii в	3	2
133	в форме	2	2
134	в их	3	2
135	все это	8	2
136	внимание на	2	2
137	а а	6	2
138	а с	2	2
139	и не	10	2
140	при всей	2	2
141	в системе	3	2
142	что не	2	2
143	в речи	4	2
144	не имеет	2	2
145	в это	2	2
146	не была	2	2
147	той же	2	2
148	на основе	2	2
149	действующие лица	3	2
150	с этой	3	2
151	в результате	2	2
152	действующих лиц	4	2
153	с ее	2	2
154	что я	3	2
155	отказ от	2	2
156	но как	2	2
157	так сказать	2	2
158	заметить что	2	2
159	я и	3	2
160	мы не	2	2
161	до сих	2	2
