N	2gram	Voloshinov_1	Dialekti
1	и не	8	30
2	может быть	8	20
3	и в	13	19
4	не только	6	19
5	а не	2	16
6	в себе	3	15
7	то что	6	14
8	в том	2	14
9	как бы	6	14
10	так как	3	14
11	вовсе не	2	13
12	но и	3	12
13	то же	4	12
14	точки зрения	7	12
15	и все	3	12
16	как и	3	10
17	в нем	2	10
18	так и	3	10
19	том что	2	10
20	никогда не	3	9
21	не может	8	9
22	прежде всего	9	8
23	мы уже	2	8
24	с точки	5	8
25	не в	3	8
26	в этом	2	8
27	в своей	4	8
28	есть не	2	7
29	и к	2	7
30	что в	3	7
31	и то	3	7
32	в поэзии	5	7
33	да и	3	6
34	что они	2	6
35	и может	2	6
36	сознания и	2	5
37	с другой	2	5
38	и пр	7	5
39	в самом	2	5
40	и следовательно	2	5
41	и его	12	5
42	тела и	3	5
43	говорить о	3	5
44	только в	6	5
45	уже в	2	4
46	в одном	3	4
47	в ее	3	4
48	все же	5	4
49	при этом	2	4
50	одно и	3	4
51	за пределы	3	4
52	хотя бы	5	4
53	все это	4	4
54	во времени	2	4
55	другой стороны	2	4
56	в связи	2	4
57	таким образом	6	4
58	самом деле	3	4
59	а в	2	4
60	могут быть	2	4
61	в другом	2	4
62	не менее	2	3
63	и уже	3	3
64	иное как	2	3
65	не что	2	3
66	что иное	2	3
67	было бы	4	3
68	в целях	2	3
69	тех пор	4	3
70	и их	7	3
71	с этим	3	3
72	между собою	2	3
73	в данном	2	3
74	от этого	2	3
75	может иметь	2	3
76	нуждается в	2	3
77	в чем	2	3
78	что же	3	2
79	связана с	3	2
80	самого начала	2	2
81	в зависимости	2	2
82	понятно что	3	2
83	но мы	4	2
84	в тех	2	2
85	к тому	2	2
86	с самого	2	2
87	мы видим	2	2
88	зависимости от	2	2
89	в общем	2	2
90	несмотря на	2	2
91	в искусстве	3	2
92	в ней	2	2
93	ее в	2	2
94	данном случае	2	2
95	в каждом	4	2
96	в их	3	2
97	так же	2	2
98	не на	2	2
99	собственно говоря	2	2
100	с одной	2	2
101	как в	2	2
102	только и	4	2
103	форм и	2	2
104	с ними	2	2
105	в своих	2	2
106	и при	2	2
107	между тем	2	2
108	не как	3	2
109	тем что	2	2
110	мы должны	6	2
111	того или	2	2
112	но ведь	5	2
113	явлений и	2	2
114	все эти	2	2
115	к сожалению	2	2
116	в которой	3	2
117	и должно	2	2
118	в области	2	2
119	но в	4	2
