N	2gram	Vinokur_Ku_1	Analitik
1	тогда как	2	19
2	в этом	14	18
3	в частности	4	16
4	и в	24	16
5	не только	10	16
6	так и	7	15
7	как и	2	14
8	в том	30	12
9	но и	6	12
10	и не	12	12
11	том что	21	12
12	в качестве	7	11
13	иначе говоря	2	11
14	как бы	7	10
15	при этом	6	10
16	а не	8	10
17	в пределах	4	9
18	лишь в	2	9
19	и даже	3	9
20	в этой	3	9
21	ничего не	2	9
22	в данном	4	8
23	состоит в	3	8
24	в целом	4	8
25	не случайно	6	8
26	к тому	5	7
27	в себе	3	7
28	то что	9	7
29	о том	9	7
30	с другой	7	6
31	в самом	10	6
32	и на	4	6
33	может быть	13	6
34	как это	3	6
35	но в	2	6
36	в сторону	2	5
37	в контексте	2	5
38	на себя	3	5
39	не менее	7	4
40	в своем	3	4
41	можно сказать	3	4
42	этом случае	2	4
43	уже не	8	4
44	не в	11	4
45	но не	5	4
46	того же	4	4
47	тем самым	4	4
48	в сущности	3	4
49	по преимуществу	2	4
50	и является	4	4
51	и тем	2	4
52	не с	3	4
53	отношению к	9	4
54	как в	4	4
55	все это	6	4
56	как раз	8	4
57	по отношению	8	4
58	не может	7	4
59	и его	5	4
60	то же	8	4
61	хотя и	3	4
62	точки зрения	14	4
63	только в	11	4
64	в рамках	4	3
65	казалось бы	3	3
66	никогда не	2	3
67	как о	2	3
68	не столько	2	3
69	по крайней	5	3
70	что касается	2	3
71	прежде всего	9	3
72	или иного	3	3
73	или иной	3	3
74	этого слова	3	3
75	тем не	4	3
76	не мог	2	3
77	так что	4	3
78	есть в	4	3
79	было бы	15	3
80	крайней мере	5	3
81	несмотря на	3	3
82	и если	3	3
83	на себе	6	3
84	мы имеем	6	3
85	на его	3	3
86	в речи	3	3
87	или в	2	3
88	что и	4	3
89	из них	4	3
90	со стороны	4	3
91	в их	3	3
92	если бы	9	3
93	этом отношении	5	3
94	именно в	6	3
95	того или	4	3
96	можно было	6	3
97	а в	5	3
98	с ними	4	3
99	и то	3	3
100	в результате	5	3
101	тем что	8	3
102	сводится к	3	3
103	бы в	7	3
104	и все	2	3
105	в общем	3	2
106	того что	9	2
107	речь идет	2	2
108	уже и	3	2
109	была бы	3	2
110	в состоянии	2	2
111	в одном	3	2
112	что все	2	2
113	этом смысле	3	2
114	вовсе не	10	2
115	не знаю	2	2
116	по себе	2	2
117	на то	4	2
118	к своему	2	2
119	по существу	4	2
120	в соответствии	3	2
121	соответствии с	3	2
122	а то	2	2
123	превращается в	2	2
124	же время	2	2
125	что в	17	2
126	так например	2	2
127	что с	2	2
128	с их	3	2
129	еще не	5	2
130	о чем	2	2
131	в своей	2	2
132	в таких	4	2
133	в котором	3	2
134	даже в	3	2
135	один из	4	2
136	это было	2	2
137	не есть	4	2
138	вместе с	7	2
139	дело не	2	2
140	что она	3	2
141	ли не	3	2
142	другой стороны	6	2
143	внимание на	4	2
144	языка и	8	2
145	таким образом	12	2
146	той же	3	2
147	т е	38	2
148	этих случаях	2	2
149	свидетельствует о	2	2
150	на этот	2	2
151	и он	3	2
152	не имеет	2	2
153	речи в	4	2
154	и для	2	2
155	с точки	9	2
156	так же	4	2
157	роль в	4	2
158	в таком	3	2
159	никак не	2	2
160	между тем	5	2
161	речи и	5	2
162	одно из	2	2
163	он не	2	2
164	этого рода	6	2
165	это только	3	2
166	в то	2	2
167	в его	12	2
168	в этих	4	2
169	с ним	5	2
