N	2gram	Savitsky_P_1	Psycholo
1	то что	4	37
2	и в	14	30
3	в том	9	27
4	что в	4	24
5	потому что	3	23
6	том что	4	21
7	для того	3	20
8	как бы	4	19
9	и мы	2	16
10	не только	17	16
11	в этом	10	14
12	как раз	2	13
13	одной стороны	3	12
14	с одной	3	12
15	если бы	4	11
16	может быть	5	11
17	как на	2	11
18	что мы	3	11
19	с другой	5	9
20	не может	4	9
21	с тем	3	8
22	не в	5	8
23	а не	2	8
24	того что	2	8
25	заключается в	3	8
26	могут быть	3	8
27	и это	2	8
28	по себе	4	7
29	в нем	3	7
30	и как	3	7
31	но не	3	7
32	и т	3	7
33	то же	9	7
34	точки зрения	3	7
35	в своем	4	6
36	именно в	2	6
37	и если	4	6
38	и тем	2	6
39	но и	6	6
40	и не	12	6
41	никак не	2	6
42	и есть	2	5
43	и потому	4	5
44	было бы	6	5
45	сводится к	3	5
46	в себе	3	5
47	но в	9	5
48	только в	7	5
49	в частности	2	4
50	прежде всего	3	4
51	стороны и	2	4
52	есть не	2	4
53	и к	4	4
54	мысль о	2	4
55	в ней	6	4
56	в его	2	4
57	заключает в	2	4
58	в них	2	4
59	по сравнению	2	4
60	а в	4	4
61	хотя бы	8	3
62	это не	3	3
63	для нас	2	3
64	одна из	2	3
65	тот же	3	3
66	в ее	2	3
67	со стороны	2	3
68	есть нечто	2	3
69	и о	5	3
70	мы не	3	3
71	в силу	2	3
72	мы должны	4	3
73	в отношении	10	2
74	с этим	2	2
75	же в	4	2
76	в качестве	9	2
77	в котором	4	2
78	сами по	3	2
79	осуществляется в	2	2
80	из них	2	2
81	во всех	2	2
82	отношения к	2	2
83	все это	2	2
84	которую мы	2	2
85	и вот	2	2
86	с точки	3	2
87	должно быть	2	2
88	в которых	5	2
89	и с	2	2
90	является в	2	2
91	в то	7	2
92	в полной	2	2
