N	2gram	Medvedev_V_1	Myslijsy
1	в слове	3	32
2	в том	15	32
3	и в	26	30
4	может быть	22	28
5	то же	10	23
6	не только	25	21
7	только в	7	21
8	но и	10	19
9	том что	8	18
10	то что	6	18
11	того что	3	18
12	что в	10	17
13	по себе	2	16
14	в себе	6	16
15	в сознании	4	15
16	не в	6	15
17	и не	19	15
18	а не	7	15
19	таким образом	31	14
20	что и	3	13
21	вместе с	7	12
22	а в	3	12
23	если бы	3	12
24	так и	5	11
25	что оно	3	11
26	как и	7	10
27	в этом	26	10
28	в то	6	10
29	из этих	7	9
30	для него	8	9
31	было бы	7	9
32	в нем	6	9
33	между тем	5	9
34	тогда когда	2	9
35	в самом	4	8
36	от того	2	8
37	в ней	2	8
38	что не	3	8
39	только что	4	8
40	что мы	2	8
41	с другой	11	7
42	вовсе не	3	7
43	к тому	4	7
44	с тем	3	7
45	но не	2	7
46	с одной	2	7
47	зависит от	2	6
48	что он	4	6
49	с этим	3	6
50	из них	9	6
51	например в	3	6
52	между собою	2	6
53	то это	2	6
54	художественное произведение	5	6
55	не может	17	6
56	не могут	7	5
57	в них	4	5
58	по крайней	2	5
59	человека и	3	5
60	художественного произведения	6	5
61	и как	3	5
62	же время	5	5
63	в своем	8	5
64	очевидно что	7	5
65	еще не	2	5
66	мысль о	2	5
67	крайней мере	2	5
68	отношению к	7	5
69	не менее	2	5
70	по отношению	7	5
71	должно быть	2	5
72	как на	3	5
73	с другими	2	5
74	тому как	2	5
75	не следует	8	5
76	сказать что	5	5
77	и т	23	5
78	и от	3	4
79	мы видели	3	4
80	все это	10	4
81	что даже	2	4
82	в его	14	4
83	образа в	2	4
84	относится к	2	4
85	в котором	3	4
86	один из	5	4
87	другой стороны	8	4
88	на это	2	4
89	бы не	2	4
90	и его	6	4
91	он не	2	4
92	не было	7	4
93	для того	3	4
94	и по	3	4
95	что для	3	4
96	по поводу	2	4
97	далеко не	2	4
98	и потому	2	4
99	и при	5	4
100	и есть	5	3
101	могут быть	5	3
102	тому что	6	3
103	прежде всего	13	3
104	что все	3	3
105	в образе	2	3
106	к этому	9	3
107	представить себе	2	3
108	именно в	2	3
109	более или	6	3
110	в последнем	2	3
111	что при	2	3
112	можно сказать	4	3
113	одной стороны	2	3
114	и может	2	3
115	что например	2	3
116	вслед за	2	3
117	действительности и	7	3
118	что она	2	3
119	как бы	5	3
120	в целом	4	3
121	каждой из	2	3
122	или менее	6	3
123	художественном произведении	4	3
124	т д	14	3
125	того чтобы	3	3
126	в силу	11	3
127	так же	3	3
128	или в	3	3
129	в каждом	2	3
130	образом в	3	3
131	же и	2	3
132	в искусстве	6	3
133	говорить о	2	3
134	самого себя	2	3
135	его в	3	3
136	в чем	2	3
137	в которой	2	3
138	том как	3	3
139	только не	2	2
140	перед нами	4	2
141	что ни	2	2
142	во время	3	2
143	об этом	9	2
144	из себя	2	2
145	связи с	4	2
146	так например	2	2
147	не подлежит	2	2
148	не столько	2	2
149	произведения не	2	2
150	в одном	4	2
151	с нею	2	2
152	а как	2	2
153	от них	2	2
154	идеи и	6	2
155	художественный образ	5	2
156	в ее	4	2
157	в этой	4	2
158	что они	3	2
159	но как	3	2
160	как о	2	2
161	у него	6	2
162	художника и	7	2
163	она не	3	2
164	в большей	2	2
165	он говорит	5	2
166	том чтобы	2	2
167	том же	6	2
168	даже в	5	2
169	все же	5	2
170	например не	2	2
171	же в	6	2
172	жизни и	3	2
173	в своей	4	2
174	образов и	4	2
175	в их	5	2
176	в форме	3	2
177	т п	9	2
178	этом отношении	13	2
179	это и	6	2
180	в системе	2	2
181	что такое	2	2
182	и наконец	2	2
183	и даже	2	2
184	идеи в	2	2
185	в которых	3	2
186	их в	6	2
187	точки зрения	3	2
188	подобно тому	2	2
189	бы в	3	2
190	явлений и	3	2
191	о том	10	2
192	связанное с	2	2
193	так сказать	2	2
194	иметь в	2	2
195	при создании	3	2
196	которая не	2	2
197	в области	2	2
198	нет ни	2	2
