N	2gram	Bakhtin_Fr_5	Psycholo
1	то что	2	32
2	и в	45	31
3	в том	10	30
4	то есть	25	26
5	что в	12	23
6	может быть	2	22
7	таким образом	8	20
8	при этом	2	19
9	так как	6	18
10	не может	5	17
11	как и	10	16
12	том что	7	16
13	и не	15	16
14	точки зрения	4	15
15	только в	4	14
16	а не	4	13
17	не только	14	13
18	что и	7	13
19	так же	8	12
20	если мы	2	12
21	мы не	4	12
22	в этом	14	12
23	в самом	4	11
24	не в	7	11
25	в сущности	4	10
26	того что	3	10
27	потому что	7	10
28	ни в	3	9
29	как в	3	9
30	самом деле	5	9
31	вместе с	3	8
32	все это	7	8
33	и что	2	8
34	что он	6	7
35	есть в	3	7
36	и его	13	7
37	того чтобы	6	7
38	сказать что	4	7
39	о том	4	7
40	что это	2	6
41	вовсе не	8	6
42	было бы	2	6
43	из этих	3	6
44	а в	4	6
45	что она	3	6
46	для того	6	6
47	и даже	4	6
48	в его	13	6
49	и есть	2	5
50	и все	7	5
51	все же	2	5
52	мы видим	5	5
53	то время	3	5
54	несмотря на	2	5
55	как бы	12	5
56	в целом	2	5
57	и для	3	5
58	то же	11	5
59	в то	11	5
60	к тому	2	4
61	и другие	3	4
62	прежде всего	10	4
63	очень часто	4	4
64	отличие от	2	4
65	по существу	3	4
66	же как	4	4
67	у него	4	4
68	со всеми	5	4
69	и если	2	4
70	и о	4	4
71	один из	2	4
72	к этому	2	4
73	для всех	3	4
74	и у	5	4
75	мы можем	2	4
76	там где	3	4
77	между тем	2	4
78	как это	4	4
79	не могут	2	3
80	как на	4	3
81	с тем	2	3
82	в своем	11	3
83	по тому	2	3
84	точку зрения	2	3
85	что все	2	3
86	в каждом	2	3
87	и к	5	3
88	что на	3	3
89	тому же	4	3
90	это и	5	3
91	но это	5	3
92	но не	4	3
93	из его	2	3
94	до сих	3	3
95	например в	5	3
96	в этой	6	3
97	хотя и	5	3
98	он не	6	3
99	но мы	2	3
100	сих пор	3	3
101	от всех	5	3
102	жизни и	8	3
103	в своей	3	3
104	так и	6	3
105	им в	2	3
106	в отличие	2	3
107	не было	3	3
108	от того	3	3
109	и вот	3	3
110	той же	4	3
111	роль в	2	3
112	почти всегда	3	3
113	в которых	3	3
114	в одной	3	3
115	и только	2	3
116	с этим	4	3
117	нуждается в	3	3
118	самому существу	2	3
119	в конце	7	3
120	и это	4	3
121	что эта	2	3
122	но в	14	3
123	в основе	4	2
124	не менее	3	2
125	такой же	4	2
126	уже и	2	2
127	независимо от	2	2
128	и как	5	2
129	и там	2	2
130	и без	2	2
131	в них	6	2
132	и во	4	2
133	и от	4	2
134	которыми она	2	2
135	это в	2	2
136	с ним	5	2
137	и здесь	4	2
138	себя и	2	2
139	в качестве	2	2
140	того же	3	2
141	по поводу	4	2
142	о чем	3	2
143	образы и	2	2
144	и их	5	2
145	видим что	2	2
146	том же	2	2
147	даже в	2	2
148	в нем	10	2
149	мы видели	7	2
150	когда он	2	2
151	зрения на	4	2
152	но и	10	2
153	мысли и	6	2
154	как мы	8	2
155	как раз	5	2
156	в связи	5	2
157	этом отношении	5	2
158	же самое	2	2
159	на самом	5	2
160	в себя	5	2
161	к нему	2	2
162	с точки	2	2
163	его не	4	2
164	тенденция к	4	2
165	в чем	2	2
166	ничего не	4	2
167	нас в	2	2
168	как они	3	2
169	и с	10	2
170	одно из	2	2
171	бы в	4	2
172	ту же	2	2
173	в поэзии	3	2
174	его в	5	2
175	как он	3	2
176	этих слов	2	2
177	почти все	3	2
178	в одном	3	2
179	оно было	2	2
