N	2gram	Savitsky_P_1	Hudozhes
1	в мире	2	23
2	в качестве	9	19
3	и не	12	16
4	в том	9	15
5	и в	14	15
6	не только	17	15
7	в частности	2	13
8	может быть	5	13
9	а в	4	12
10	но не	3	11
11	в этом	10	11
12	в себе	3	11
13	как бы	4	10
14	но и	6	10
15	то же	9	10
16	а не	2	10
17	в его	2	9
18	точки зрения	3	9
19	сводится к	3	8
20	с другой	5	7
21	в то	7	7
22	но в	9	7
23	я и	3	7
24	что в	4	6
25	в ее	2	6
26	том что	4	6
27	не в	5	6
28	же время	7	6
29	не может	4	6
30	могут быть	3	5
31	а также	4	5
32	только в	7	5
33	тем самым	3	5
34	того что	2	5
35	в нем	3	5
36	то что	4	5
37	не столько	2	4
38	прежде всего	3	4
39	и как	3	4
40	например в	2	4
41	хотя и	3	4
42	и тем	2	4
43	со стороны	2	4
44	отношения к	2	4
45	между тем	3	4
46	говорить о	2	4
47	не менее	2	3
48	если бы	4	3
49	в отношении	10	3
50	это не	3	3
51	и к	4	3
52	в пределах	8	3
53	как раз	2	3
54	с точки	3	3
55	во всей	2	3
56	потому что	3	3
57	в русской	4	3
58	в области	11	3
59	том числе	2	2
60	в порядке	3	2
61	в своем	4	2
62	в них	2	2
63	и весьма	2	2
64	по себе	4	2
65	тем более	2	2
66	есть в	2	2
67	одна из	2	2
68	в значительной	2	2
69	одной стороны	3	2
70	во всех	2	2
71	и о	5	2
72	и потому	4	2
73	хх века	2	2
74	с одной	3	2
75	именно в	2	2
76	для того	3	2
77	культуры в	2	2
78	в силу	2	2
79	отношении к	5	2
80	и это	2	2
