N	2gram	Losev_Prob_3	Komedia
1	и в	44	26
2	и не	35	14
3	едва ли	5	14
4	к тому	3	12
5	так и	10	12
6	и его	5	12
7	в том	21	11
8	может быть	28	11
9	но и	10	10
10	в этом	17	10
11	что в	8	9
12	том что	12	9
13	если бы	3	9
14	вместе с	2	9
15	ясно что	6	8
16	было бы	8	8
17	из них	2	7
18	не только	14	7
19	что и	9	7
20	в своем	5	6
21	то что	23	6
22	еще не	5	6
23	в нем	9	6
24	потому что	25	6
25	и здесь	5	6
26	в то	9	6
27	о том	6	6
28	таким образом	9	6
29	с тем	5	5
30	в которой	2	5
31	что он	9	5
32	в качестве	3	5
33	ни в	8	5
34	на основании	2	5
35	с этим	2	5
36	так что	12	5
37	и с	9	5
38	уже в	3	4
39	не менее	10	4
40	в частности	2	4
41	в этих	2	4
42	тому что	4	4
43	что у	3	4
44	и от	9	4
45	прежде всего	3	4
46	сразу же	2	4
47	о его	2	4
48	как мы	8	4
49	же в	3	4
50	как и	10	4
51	в целом	6	4
52	как будто	3	4
53	с их	2	4
54	хотя и	5	4
55	в его	9	4
56	все же	6	4
57	в самом	3	4
58	и для	2	4
59	что для	3	4
60	можно было	4	4
61	точки зрения	5	4
62	в начале	2	4
63	только в	19	4
64	что это	3	4
65	так как	9	4
66	на этот	4	4
67	как это	2	4
68	его в	3	4
69	этот раз	3	4
70	это было	2	4
71	о чем	2	3
72	с этой	3	3
73	то время	4	3
74	в тех	3	3
75	но если	6	3
76	жизни и	6	3
77	но все	3	3
78	связи с	8	3
79	но не	3	3
80	того же	2	3
81	во всех	2	3
82	ли можно	2	3
83	здесь в	3	3
84	первую очередь	3	3
85	для нас	16	3
86	и сам	5	3
87	по поводу	2	3
88	никто не	2	3
89	из которых	2	3
90	в первую	3	3
91	да и	5	3
92	в ней	5	3
93	в котором	2	3
94	не имеет	9	3
95	и особенно	2	3
96	себя в	2	3
97	в своей	5	3
98	даже не	2	3
99	в их	2	3
100	все это	5	3
101	к их	2	3
102	в связи	7	3
103	то же	13	3
104	не было	5	3
105	как в	5	3
106	в самой	2	3
107	друг друга	2	3
108	а в	5	3
109	или в	4	3
110	тем что	4	3
111	не может	7	3
112	в этой	3	3
113	но в	12	3
114	мы можем	6	3
115	что их	2	2
116	ни было	3	2
117	и другие	3	2
118	и есть	5	2
119	отнюдь не	10	2
120	однако в	2	2
121	бы к	3	2
122	в нашем	5	2
123	у плавта	2	2
124	то ни	6	2
125	с другой	7	2
126	это не	9	2
127	в конце	5	2
128	с собой	3	2
129	вовсе не	37	2
130	то это	10	2
131	и к	6	2
132	об этом	3	2
133	в ее	4	2
134	не в	13	2
135	до сих	2	2
136	является не	2	2
137	бы то	4	2
138	по своему	2	2
139	только потому	2	2
140	когда в	3	2
141	и если	6	2
142	плавта и	2	2
143	от того	2	2
144	он не	8	2
145	как бы	9	2
146	всяком случае	6	2
147	время как	4	2
148	не является	11	2
149	хотя бы	3	2
150	и т	13	2
151	с той	5	2
152	и это	9	2
153	и за	2	2
154	сих пор	2	2
155	в отличие	2	2
156	если не	3	2
157	с одной	2	2
158	мы находим	7	2
159	в той	3	2
160	и что	7	2
161	и у	2	2
162	отличие от	3	2
163	да еще	2	2
164	мы не	7	2
165	тут же	4	2
166	во всяком	9	2
167	и во	2	2
168	и ее	3	2
169	говорить о	3	2
170	и вовсе	4	2
171	и все	3	2
172	из этого	3	2
173	с которыми	2	2
174	бы в	2	2
175	мы имеем	2	2
176	в виду	10	2
177	же не	2	2
178	и после	2	2
