N	2gram	Berdyaev_V_1	FransuaR
1	и в	16	41
2	в этом	4	15
3	и все	4	14
4	как и	4	14
5	все эти	3	13
6	в его	4	12
7	прежде всего	2	11
8	в том	3	11
9	так и	4	10
10	все это	5	10
11	не в	3	9
12	но и	5	9
13	что в	3	9
14	в конце	3	8
15	то что	9	8
16	но в	3	8
17	в них	3	7
18	как бы	5	7
19	в нем	4	7
20	и не	20	7
21	это не	2	6
22	ни в	3	6
23	для него	2	6
24	только в	2	6
25	не только	2	5
26	в ней	4	5
27	что и	3	5
28	всего в	2	5
29	а в	2	5
30	и для	3	5
31	и это	2	5
32	потому что	4	5
33	на земле	7	4
34	хотя и	5	4
35	в образе	4	4
36	том что	2	4
37	одна из	2	4
38	все что	4	4
39	должно быть	3	4
40	мира в	2	4
41	и есть	4	3
42	и потому	7	3
43	его к	2	3
44	в мире	5	3
45	но это	3	3
46	по этому	3	3
47	в своей	3	3
48	земли и	2	3
49	что он	4	3
50	жизни и	3	3
51	во всех	3	3
52	в форме	2	3
53	не было	3	3
54	за то	3	3
55	не имеет	3	3
56	можно было	2	3
57	тем что	2	3
58	так много	2	3
59	так как	9	3
60	от этого	3	3
61	что все	4	2
62	с его	3	2
63	никогда не	3	2
64	в этих	3	2
65	и во	2	2
66	превращаются в	2	2
67	в земной	2	2
68	к тому	3	2
69	они и	2	2
70	в себя	2	2
71	тот же	3	2
72	еще не	8	2
73	того что	5	2
74	они в	3	2
75	на том	2	2
76	оно не	3	2
77	не есть	6	2
78	а не	7	2
79	в силах	4	2
80	уже не	2	2
81	и новые	2	2
82	мы не	2	2
83	и то	2	2
84	их в	3	2
85	во всяком	2	2
86	что есть	5	2
87	в чем	3	2
88	с ним	2	2
