N	2gram	Berdyaev_M_1	Vvedenie
1	т е	2	35
2	и в	28	32
3	в том	6	31
4	в этом	20	30
5	может быть	30	26
6	том что	3	26
7	не только	29	22
8	для того	2	21
9	того чтобы	2	20
10	также и	2	18
11	то что	5	16
12	потому что	16	15
13	так как	3	15
14	не может	28	14
15	в самом	11	13
16	в нем	13	13
17	о том	2	13
18	того что	7	12
19	в их	4	12
20	и не	11	12
21	в его	9	12
22	только в	6	12
23	в ее	3	11
24	что в	10	10
25	но в	7	9
26	и как	2	9
27	в истории	2	9
28	в той	2	9
29	это не	5	8
30	не в	16	8
31	прежде всего	10	7
32	вопрос о	2	7
33	точки зрения	4	7
34	но не	8	7
35	было бы	10	7
36	все же	2	7
37	не могут	5	6
38	до сих	2	6
39	смысле слова	4	6
40	один из	4	6
41	но и	25	6
42	все это	6	6
43	в то	2	6
44	его в	3	6
45	как он	2	6
46	с тем	9	6
47	как и	5	6
48	сих пор	2	6
49	хотя бы	3	6
50	и его	9	6
51	тем что	4	6
52	и это	12	6
53	уже в	4	5
54	на этот	2	5
55	но если	3	5
56	как бы	2	5
57	а как	2	5
58	одним из	2	5
59	с их	2	5
60	в которых	4	5
61	сказать что	2	5
62	в них	4	5
63	по своему	2	5
64	есть и	3	5
65	не есть	9	5
66	вместе с	6	5
67	а не	25	5
68	могут быть	2	5
69	связана с	2	4
70	с этой	4	4
71	о чем	2	4
72	в котором	8	4
73	этот процесс	3	4
74	по отношению	2	4
75	и что	2	4
76	не имеет	3	4
77	а в	4	4
78	одно из	3	4
79	даже и	2	4
80	от этого	2	4
81	должен был	4	4
82	что он	10	4
83	отношению к	2	4
84	по сравнению	2	4
85	в своей	15	4
86	истории и	2	4
87	уже не	4	4
88	и для	2	4
89	в себе	7	4
90	за собой	2	3
91	он сам	6	3
92	и есть	14	3
93	в этих	4	3
94	вообще не	2	3
95	в конце	7	3
96	бы и	3	3
97	к тому	3	3
98	в этой	6	3
99	на этом	3	3
100	до конца	14	3
101	в ней	15	3
102	в виду	2	3
103	к нему	7	3
104	духовной жизни	3	3
105	отношение к	4	3
106	на том	3	3
107	в своем	10	3
108	все эти	2	3
109	и вот	3	3
110	и на	6	3
111	в начале	2	3
112	если бы	2	3
113	не как	4	3
114	к этому	2	3
115	и к	2	3
116	чем в	2	3
117	должен быть	2	3
118	что и	4	3
119	он мог	2	3
120	в центре	2	3
121	в каком	2	3
122	как будто	2	3
123	в идеале	2	2
124	должна быть	6	2
125	никогда не	14	2
126	это есть	3	2
127	истории в	2	2
128	мог бы	4	2
129	не к	4	2
130	не было	18	2
131	не мог	3	2
132	есть только	2	2
133	должно быть	3	2
134	и те	2	2
135	в более	2	2
136	и с	3	2
137	с этим	3	2
138	он и	2	2
139	конце концов	2	2
140	когда мы	2	2
141	бы в	2	2
142	проблемы и	2	2
143	не существует	2	2
144	романов достоевского	3	2
145	для них	3	2
146	своему значению	2	2
147	есть не	4	2
148	у нас	5	2
149	литературы и	2	2
150	учение о	3	2
151	жизни и	2	2
152	себе и	2	2
153	ни с	4	2
154	в этот	2	2
155	был в	4	2
156	с ней	2	2
157	и сама	2	2
158	мысли и	2	2
159	вряд ли	3	2
160	входит в	2	2
161	есть лишь	9	2
162	на протяжении	2	2
163	будто бы	3	2
164	ничего не	3	2
