N	2gram	Losev_Dial_1	Literetu
1	и не	30	22
2	и в	18	16
3	в мире	2	16
4	не только	13	14
5	но и	7	14
6	в этом	12	14
7	а не	14	12
8	то что	13	12
9	может быть	17	12
10	в том	9	12
11	в частности	2	11
12	не в	6	10
13	то же	10	9
14	так и	9	9
15	того что	2	9
16	в то	6	9
17	том что	9	8
18	не может	12	8
19	как бы	11	8
20	в своей	2	7
21	же время	4	7
22	со стороны	2	7
23	точки зрения	17	7
24	я в	2	7
25	только в	3	7
26	с другой	6	6
27	к тому	4	6
28	еще не	2	6
29	в его	3	6
30	в себе	11	6
31	в другом	2	6
32	о том	4	6
33	в качестве	2	5
34	это не	9	5
35	что он	11	5
36	тому же	2	5
37	как и	2	5
38	как в	2	5
39	а в	5	5
40	этом отношении	2	5
41	именно в	2	5
42	в основе	3	5
43	что я	3	5
44	но не	4	4
45	никогда не	9	4
46	даже в	3	4
47	как у	2	4
48	одной стороны	2	4
49	и для	2	4
50	хотя и	4	4
51	из них	2	4
52	с одной	2	4
53	должно быть	3	4
54	в данном	3	4
55	ни к	2	3
56	отнюдь не	9	3
57	прежде всего	10	3
58	и как	7	3
59	то в	7	3
60	о чем	2	3
61	совершенно не	8	3
62	в самом	3	3
63	вслед за	2	3
64	но уже	2	3
65	жизни и	3	3
66	бы и	2	3
67	уже не	2	3
68	самом деле	3	3
69	с точки	12	3
70	потому что	14	3
71	и жизни	4	3
72	как это	4	3
73	отношения к	3	3
74	но в	6	3
75	а лишь	3	2
76	в противоположность	5	2
77	ни было	2	2
78	сознания и	3	2
79	что в	13	2
80	не менее	2	2
81	если бы	12	2
82	быть может	4	2
83	как о	2	2
84	с этой	2	2
85	не как	2	2
86	для своего	2	2
87	в конце	4	2
88	и другого	2	2
89	я не	5	2
90	к этому	2	2
91	вопрос о	2	2
92	по себе	25	2
93	ни с	6	2
94	стороны и	3	2
95	со всей	2	2
96	на то	5	2
97	или иной	3	2
98	в нем	16	2
99	и при	2	2
100	для него	2	2
101	можно сказать	6	2
102	было бы	12	2
103	что не	7	2
104	несмотря на	10	2
105	не могу	4	2
106	вплоть до	3	2
107	той или	7	2
108	один из	3	2
109	не с	5	2
110	то это	4	2
111	что и	3	2
112	все же	5	2
113	отношение к	5	2
114	с ней	2	2
115	и тогда	2	2
116	как мы	4	2
117	так же	4	2
118	как раз	4	2
119	как например	2	2
120	еще и	3	2
121	но с	3	2
122	из того	2	2
123	и вот	6	2
124	объекта и	2	2
125	для того	2	2
126	другой стороны	4	2
127	и даже	13	2
128	с ними	2	2
129	мы и	2	2
130	и с	5	2
131	и об	4	2
132	он и	2	2
133	не знает	2	2
134	и потому	3	2
135	если это	2	2
136	для меня	4	2
