N	2gram	Medvedev_F_2	KFilosof
1	может быть	23	43
2	в его	10	39
3	в нем	13	31
4	не может	14	27
5	и не	20	26
6	и в	38	22
7	в котором	2	21
8	не есть	3	19
9	в ее	2	17
10	а не	6	17
11	и его	21	17
12	только в	6	16
13	точки зрения	8	13
14	в этом	27	13
15	ни в	2	12
16	для него	7	12
17	но не	2	12
18	и это	2	12
19	все эти	6	11
20	в своей	7	11
21	не в	15	11
22	к нему	3	11
23	это не	2	10
24	все это	3	10
25	во всех	5	10
26	с точки	7	10
27	в целом	3	9
28	но и	13	9
29	в их	6	9
30	как бы	4	9
31	и все	3	9
32	для нее	2	9
33	и для	5	9
34	не было	6	8
35	лишь в	7	8
36	если бы	5	8
37	было бы	6	8
38	жизни и	3	8
39	со стороны	2	8
40	и здесь	3	7
41	в единстве	2	7
42	вовсе не	11	7
43	что и	8	7
44	то что	6	7
45	в том	11	6
46	но это	2	6
47	отношение к	2	6
48	смысл и	2	6
49	и только	5	6
50	отнюдь не	8	6
51	совершенно не	4	6
52	и их	3	6
53	он не	6	6
54	уже не	7	6
55	менее всего	3	6
56	никогда не	2	5
57	хотя бы	6	5
58	ее и	2	5
59	то же	6	5
60	его как	2	5
61	но все	3	5
62	от его	2	5
63	именно в	5	5
64	не имеет	2	5
65	должно быть	2	5
66	отвлечение от	2	5
67	в основе	5	5
68	но как	2	5
69	но ведь	3	5
70	его в	3	5
71	с ним	2	5
72	но в	4	5
73	как и	9	5
74	есть лишь	2	5
75	не только	9	5
76	все же	8	5
77	там где	4	5
78	времени и	2	4
79	место в	3	4
80	что в	7	4
81	время и	3	4
82	нем как	2	4
83	входит в	4	4
84	при этом	9	4
85	не по	2	4
86	с ними	2	4
87	между тем	2	4
88	не как	4	4
89	том что	2	4
90	во всей	2	4
91	как его	2	4
92	а в	6	4
93	тем самым	2	4
94	и пространство	2	4
95	в чем	2	4
96	а лишь	3	3
97	независимо от	4	3
98	должна быть	5	3
99	что это	3	3
100	лишь как	4	3
101	из него	2	3
102	предмета в	2	3
103	до конца	2	3
104	и пр	21	3
105	на язык	2	3
106	в виду	2	3
107	и тем	2	3
108	в корне	7	3
109	нигде не	2	3
110	того что	3	3
111	поскольку он	2	3
112	и на	3	3
113	и совершенно	2	3
114	в ней	6	3
115	в то	5	3
116	того или	4	3
117	мы не	3	3
118	всех этих	3	3
119	этом смысле	2	3
120	или иного	5	3
121	от него	2	3
122	а все	2	3
123	быть и	3	3
124	на самом	3	3
125	самом деле	8	3
126	для того	3	3
127	что не	4	3
128	тем что	8	3
129	могут быть	6	3
130	здесь не	4	3
131	и этим	2	3
132	ничего не	4	3
133	слова в	3	2
134	смысла и	2	2
135	смысла в	3	2
136	то ни	2	2
137	та же	2	2
138	прежде всего	15	2
139	все остальное	4	2
140	было и	2	2
141	себе а	2	2
142	и как	3	2
143	совсем не	2	2
144	на нем	2	2
145	же время	5	2
146	не о	4	2
147	постольку поскольку	2	2
148	его с	3	2
149	по себе	7	2
150	тому что	2	2
151	для этого	2	2
152	как к	3	2
153	и других	2	2
154	именно на	3	2
155	все остальные	2	2
156	потому что	2	2
157	он и	3	2
158	говорить о	5	2
159	подхода к	2	2
160	а как	3	2
161	с его	11	2
162	и то	2	2
163	с тем	11	2
164	что эта	2	2
165	раз и	4	2
166	к этому	4	2
167	что он	5	2
168	включая сюда	2	2
169	не будет	2	2
170	в качестве	2	2
171	и может	3	2
172	как предмет	2	2
173	ни одна	2	2
174	оно не	4	2
175	можно и	3	2
176	в процессе	9	2
177	так и	8	2
178	как в	4	2
179	это противопоставление	2	2
180	еще более	5	2
181	это и	5	2
182	сводится к	5	2
183	того чтобы	3	2
184	лишь постольку	3	2
185	от этого	3	2
186	единства и	2	2
187	в этой	6	2
188	стал бы	2	2
189	едва ли	2	2
190	в области	3	2
191	место и	2	2
