N	2gram	Propp_Isto_4	SlovoVZh
1	не может	6	16
2	может быть	14	14
3	и его	10	13
4	как бы	3	13
5	таким образом	10	12
6	и в	26	12
7	и не	9	10
8	если бы	2	9
9	так как	9	9
10	для нас	3	7
11	сказать что	2	7
12	в нем	2	6
13	при этом	3	6
14	с помощью	2	6
15	в том	3	6
16	только в	3	6
17	и др	5	5
18	то что	16	5
19	должна быть	2	5
20	никогда не	2	5
21	а не	6	5
22	то же	8	5
23	хотя бы	2	5
24	как и	7	5
25	том что	3	5
26	как в	7	5
27	что мы	3	5
28	но в	5	5
29	все же	9	4
30	отношение к	2	4
31	так и	10	4
32	от того	2	4
33	с другой	4	4
34	уже не	5	4
35	не в	5	4
36	в этом	7	4
37	и на	2	4
38	его в	9	4
39	к нему	6	4
40	не только	15	4
41	и более	3	3
42	не к	2	3
43	не менее	2	3
44	когда он	6	3
45	в своей	4	3
46	в некоторых	5	3
47	бы мы	2	3
48	сих пор	5	3
49	все это	2	3
50	и по	5	3
51	все эти	3	3
52	по себе	2	3
53	но и	12	3
54	и пр	11	3
55	того что	2	3
56	тем не	2	3
57	ни в	2	3
58	он должен	3	3
59	так же	18	3
60	формы и	2	3
61	и с	5	3
62	о том	4	3
63	в себе	2	3
64	до сих	5	3
65	еще не	6	3
66	конечно не	2	3
67	здесь не	4	3
68	но для	2	3
69	уже в	2	2
70	с этой	2	2
71	но мы	3	2
72	что и	9	2
73	но все	5	2
74	что в	14	2
75	данном случае	3	2
76	вместе с	6	2
77	в этих	7	2
78	на него	3	2
79	в форме	2	2
80	в своем	2	2
81	другой стороны	4	2
82	это не	5	2
83	мы имеем	7	2
84	и все	2	2
85	и другие	3	2
86	в особенности	2	2
87	к этому	5	2
88	связь с	12	2
89	те же	3	2
90	его к	3	2
91	и что	5	2
92	этой стороны	2	2
93	не есть	2	2
94	и здесь	5	2
95	его как	2	2
96	же самое	2	2
97	сливается с	2	2
98	но это	3	2
99	в данном	3	2
100	и то	6	2
101	мы можем	6	2
102	но не	5	2
103	могут быть	6	2
104	имеем в	2	2
105	она не	3	2
106	можно найти	2	2
107	на это	2	2
108	но этот	2	2
109	там где	3	2
110	как это	3	2
111	к ним	2	2
112	ничего не	5	2
113	он не	7	2
114	в его	5	2
115	относится к	3	2
116	между ними	3	2
