N	2gram	Berdyaev_M_2	Psycholo
1	и в	46	38
2	то что	5	35
3	все время	2	30
4	в том	3	25
5	в самом	5	25
6	что в	4	20
7	может быть	21	19
8	и что	2	18
9	что она	5	16
10	точки зрения	2	16
11	в ней	11	15
12	если бы	3	14
13	том что	4	14
14	как бы	8	14
15	потому что	12	14
16	в этой	7	13
17	в этом	20	13
18	мы видим	2	12
19	не только	18	12
20	мы увидим	2	12
21	не в	9	12
22	что он	7	11
23	что это	6	10
24	в сущности	2	10
25	то же	5	10
26	и не	18	10
27	и все	5	10
28	того чтобы	4	9
29	увидим что	2	9
30	как и	13	8
31	так что	2	8
32	говорит что	2	8
33	для того	5	8
34	и это	5	8
35	а не	13	7
36	не может	15	7
37	что у	4	7
38	а в	2	7
39	между тем	2	7
40	и здесь	6	6
41	к тому	5	6
42	до сих	3	6
43	она не	8	6
44	один из	5	6
45	и если	2	6
46	не имеет	4	6
47	тому что	4	6
48	он не	10	6
49	так как	8	6
50	к чему	4	6
51	и его	5	6
52	и на	3	6
53	о том	3	6
54	я не	5	5
55	в своем	8	5
56	на этом	2	5
57	в своей	5	5
58	вместе с	2	5
59	но и	15	5
60	сих пор	3	5
61	в его	5	5
62	в которой	2	5
63	никогда не	18	4
64	если он	2	4
65	мысль что	4	4
66	что они	3	4
67	в свою	4	4
68	и для	7	4
69	во всех	2	4
70	не мог	3	4
71	в нем	22	4
72	что и	4	4
73	ее в	2	4
74	как в	7	4
75	у всех	2	4
76	того что	6	4
77	в своих	3	4
78	сказать что	3	4
79	у него	22	4
80	только в	3	4
81	как будто	2	4
82	в себе	10	4
83	на деле	4	4
84	место в	2	3
85	были бы	2	3
86	в них	3	3
87	та же	10	3
88	что все	5	3
89	в такой	3	3
90	и к	7	3
91	ни в	3	3
92	он был	9	3
93	но это	8	3
94	совсем не	5	3
95	такой степени	2	3
96	тот же	2	3
97	в основе	2	3
98	должен быть	4	3
99	не к	2	3
100	бы не	2	3
101	что не	2	3
102	не так	3	3
103	того как	3	3
104	тем что	3	3
105	бы в	2	3
106	его в	3	3
107	но в	10	3
108	он хочет	3	2
109	к своему	2	2
110	человек который	4	2
111	и та	2	2
112	в этих	2	2
113	на гибель	2	2
114	от этой	2	2
115	хотя бы	7	2
116	и во	3	2
117	до конца	4	2
118	уже не	4	2
119	у нас	11	2
120	это есть	2	2
121	у них	4	2
122	есть в	3	2
123	для него	18	2
124	они не	4	2
125	но он	11	2
126	по преимуществу	5	2
127	и той	2	2
128	к ней	2	2
129	для этого	4	2
130	к самому	2	2
131	что же	2	2
132	не могу	6	2
133	так же	6	2
134	отношения к	2	2
135	что за	2	2
136	одной и	2	2
137	и вот	5	2
138	думать что	4	2
139	и всегда	3	2
140	той же	3	2
141	в конце	5	2
142	не имеют	2	2
143	он в	3	2
144	к себе	2	2
145	как к	2	2
146	в русской	6	2
147	с ним	3	2
148	ничего не	2	2
