N	2gram	Vinokur_Ku_3	DiskursI
1	при этом	6	17
2	состоит в	2	16
3	в качестве	2	16
4	и в	23	16
5	может быть	14	16
6	как и	5	16
7	в этом	16	16
8	и не	10	15
9	а не	11	14
10	в частности	2	12
11	в отличие	2	12
12	отличие от	2	12
13	но и	3	11
14	но в	2	11
15	том что	11	10
16	не только	17	10
17	своего рода	2	10
18	так и	6	9
19	не может	6	9
20	в том	22	8
21	а также	4	8
22	как в	4	8
23	в рамках	5	7
24	не менее	12	7
25	прежде всего	9	7
26	ни в	3	7
27	но не	3	7
28	в данном	7	7
29	отнюдь не	3	6
30	еще не	9	6
31	все же	5	6
32	в своей	4	6
33	данном случае	4	6
34	то же	6	6
35	тем самым	4	6
36	а с	3	5
37	что в	13	5
38	в своем	4	5
39	с другой	7	5
40	то что	4	5
41	в то	3	5
42	я в	3	5
43	в одном	2	4
44	к его	2	4
45	в пределах	2	4
46	одной стороны	4	4
47	как бы	5	4
48	отношению к	2	4
49	по отношению	3	4
50	с одной	4	4
51	потому что	12	4
52	точки зрения	23	4
53	о том	6	4
54	я и	3	4
55	могут быть	6	3
56	в этих	2	3
57	столь же	4	3
58	это не	3	3
59	не столько	4	3
60	из этих	5	3
61	или иной	7	3
62	уже не	8	3
63	и того	2	3
64	и как	2	3
65	не в	5	3
66	можно сказать	2	3
67	он не	3	3
68	той или	5	3
69	в его	11	3
70	в котором	2	3
71	не было	4	3
72	иначе говоря	2	3
73	все эти	7	3
74	также и	5	3
75	как на	8	3
76	но это	5	3
77	одного и	2	3
78	не знает	2	3
79	только в	6	3
80	его в	2	3
81	в целом	4	2
82	это в	2	2
83	или иного	3	2
84	этом случае	4	2
85	на мой	3	2
86	указать на	2	2
87	что на	3	2
88	в той	4	2
89	что он	6	2
90	такой же	2	2
91	того же	4	2
92	должна быть	3	2
93	первую очередь	3	2
94	это еще	2	2
95	отношение к	3	2
96	о чем	2	2
97	в первую	3	2
98	свое время	2	2
99	в ряду	3	2
100	в ней	3	2
101	далеко не	5	2
102	в свое	2	2
103	отношения между	4	2
104	не с	2	2
105	что и	6	2
106	с точки	16	2
107	время в	3	2
108	вместе с	2	2
109	что же	5	2
110	в языке	7	2
111	при котором	2	2
112	именно в	3	2
113	по преимуществу	3	2
114	все это	2	2
115	не более	2	2
116	более чем	2	2
117	другой стороны	3	2
118	речи в	7	2
119	должно быть	7	2
120	а в	5	2
121	той же	3	2
122	что как	3	2
123	тому как	2	2
124	в результате	3	2
125	и с	3	2
126	может иметь	3	2
127	не о	2	2
128	говорить о	6	2
129	здесь не	2	2
130	в области	14	2
131	мы имеем	2	2
132	между тем	4	2
133	мой взгляд	3	2
