N	2gram	Nazirov_Tv_2	Myshleni
1	в процессе	2	27
2	и в	20	25
3	в том	8	23
4	том что	4	20
5	что в	7	17
6	так же	5	17
7	таким образом	10	17
8	в основе	2	16
9	как и	6	15
10	то что	3	15
11	в его	10	15
12	в этом	8	14
13	вместе с	3	14
14	может быть	8	13
15	в целом	6	13
16	так как	3	12
17	что они	4	10
18	как бы	11	10
19	и не	9	10
20	и что	2	10
21	только в	2	10
22	как в	4	9
23	мы не	4	9
24	показывает что	4	8
25	не является	3	8
26	тем что	3	8
27	уже в	2	7
28	все эти	4	7
29	не менее	2	6
30	с другой	2	6
31	не в	4	6
32	же как	3	6
33	и у	2	6
34	один из	3	6
35	не может	7	6
36	и на	5	6
37	потому что	7	6
38	в основном	6	6
39	что он	6	6
40	но не	5	6
41	не только	13	6
42	все же	5	6
43	в отличие	2	6
44	все это	6	6
45	отличие от	2	6
46	так и	6	5
47	именно в	6	5
48	но это	5	5
49	в пользу	3	5
50	для него	3	5
51	при этом	8	5
52	одним из	3	5
53	что она	4	5
54	и по	2	5
55	человека и	3	5
56	если бы	4	5
57	о том	5	5
58	могут быть	2	5
59	в этой	5	5
60	в частности	2	4
61	никогда не	11	4
62	прежде всего	8	4
63	всяком случае	2	4
64	отнюдь не	4	4
65	из них	2	4
66	но и	8	4
67	не столько	2	4
68	друг друга	2	4
69	а в	4	4
70	в то	10	4
71	с ним	3	4
72	еще не	5	4
73	он не	3	4
74	приводит к	2	4
75	во всяком	2	4
76	и это	3	4
77	с этой	3	3
78	и сам	5	3
79	в самом	3	3
80	в котором	3	3
81	другой стороны	2	3
82	по отношению	3	3
83	с ними	2	3
84	в которых	3	3
85	их в	2	3
86	между тем	3	3
87	его в	3	3
88	к которому	2	3
89	к этому	3	3
90	мы видим	4	3
91	наряду с	7	3
92	связь с	2	3
93	а с	3	3
94	когда он	4	3
95	как известно	2	3
96	этот вопрос	3	3
97	в виде	2	3
98	не могли	2	3
99	место в	3	2
100	то же	7	2
101	все время	2	2
102	включает в	2	2
103	и от	4	2
104	так что	2	2
105	так мы	2	2
106	не стоит	2	2
107	хотя и	4	2
108	в нем	3	2
109	в свете	3	2
110	и только	2	2
111	и других	2	2
112	в своих	3	2
113	на его	4	2
114	в начале	3	2
115	в плане	3	2
116	вообще говоря	2	2
117	они имеют	2	2
118	к жизни	2	2
119	в одном	2	2
120	об этом	4	2
121	в таком	3	2
122	этой задачи	2	2
123	одна из	3	2
124	и потому	4	2
125	отношению к	3	2
126	в мире	5	2
127	в своей	6	2
128	уже не	3	2
129	тем самым	4	2
130	на этот	2	2
131	едва ли	2	2
132	и его	9	2
133	с другими	2	2
134	в себе	3	2
135	в чем	4	2
