N	2gram	Vygotskiy__6	Dialekti
1	и не	11	30
2	а не	3	18
3	может быть	13	17
4	то что	28	16
5	и в	28	15
6	как бы	11	14
7	не имеет	6	14
8	так как	10	14
9	точки зрения	13	14
10	это есть	3	13
11	того что	24	13
12	по себе	3	13
13	это не	5	12
14	прежде всего	2	11
15	в том	28	11
16	не может	19	11
17	ясно что	4	11
18	и все	5	11
19	в этом	27	11
20	в основе	3	10
21	потому что	22	10
22	том что	19	10
23	было бы	9	9
24	все это	2	9
25	мы не	6	9
26	и что	6	9
27	это и	3	9
28	то же	7	9
29	с точки	10	9
30	не в	4	8
31	в себе	4	8
32	не только	16	8
33	в чем	6	8
34	что в	17	7
35	что именно	2	7
36	что оно	7	7
37	что мы	11	7
38	что он	18	7
39	как и	6	7
40	и его	3	7
41	и вообще	2	7
42	только в	18	7
43	так что	6	6
44	хотя и	3	6
45	и тем	5	6
46	сказать что	13	6
47	если бы	7	6
48	в то	6	6
49	что и	4	6
50	как только	2	5
51	в меру	2	5
52	я не	4	5
53	так и	6	5
54	в своем	7	5
55	на то	4	5
56	можно сказать	6	5
57	но что	4	5
58	того чтобы	10	5
59	но если	4	5
60	в сфере	12	5
61	в нем	7	5
62	но только	2	5
63	в свете	5	5
64	таким образом	18	5
65	именно в	4	5
66	и на	5	5
67	мы имеем	4	5
68	с его	3	5
69	тогда когда	6	5
70	то в	5	5
71	что я	2	5
72	в сущности	7	5
73	только тогда	4	5
74	в себя	3	5
75	если мы	2	5
76	для того	8	5
77	что такое	3	5
78	той же	4	5
79	что все	5	4
80	и как	6	4
81	но это	2	4
82	в этой	5	4
83	что они	2	4
84	есть в	3	4
85	один из	3	4
86	но и	10	4
87	так же	15	4
88	с ними	2	4
89	мы должны	3	4
90	в одном	2	4
91	с тем	5	4
92	этом смысле	2	4
93	мы видим	7	4
94	она не	2	4
95	еще не	8	4
96	как раз	6	4
97	бы в	3	4
98	в силу	17	4
99	в его	3	4
100	что если	2	3
101	на этом	4	3
102	тем самым	8	3
103	и той	3	3
104	для всех	2	3
105	и следовательно	4	3
106	к жизни	4	3
107	в их	3	3
108	отношения к	3	3
109	все эти	2	3
110	можно только	2	3
111	и наконец	2	3
112	с этим	4	3
113	известно что	2	3
114	с ним	2	3
115	но в	5	3
116	от этого	3	3
117	только не	3	3
118	возможно только	3	3
119	лежит в	3	3
120	у нас	2	3
121	мы уже	2	3
122	в своей	2	3
123	как таковое	2	3
124	когда он	2	3
125	как в	3	3
126	чего не	3	3
127	одной и	3	3
128	вот почему	2	3
129	в данном	2	3
130	и то	4	3
131	мы можем	9	3
132	могут быть	5	3
133	в области	6	3
134	от него	2	3
135	не менее	2	2
136	не могут	5	2
137	по типу	2	2
138	в частности	4	2
139	в отношении	10	2
140	с этой	2	2
141	вещей как	3	2
142	из этих	3	2
143	вопрос о	5	2
144	показывает что	7	2
145	что на	4	2
146	заключается в	7	2
147	в пользу	2	2
148	что с	3	2
149	в нашей	3	2
150	при этом	3	2
151	мог бы	3	2
152	в самом	8	2
153	себе и	2	2
154	дает в	2	2
155	совпадает с	4	2
156	никогда не	8	2
157	в котором	2	2
158	себе что	2	2
159	но мы	3	2
160	из них	2	2
161	не по	3	2
162	другой стороны	2	2
163	для этого	2	2
164	и только	3	2
165	в разных	5	2
166	от того	10	2
167	во внимание	2	2
168	и по	3	2
169	мы всегда	2	2
170	но как	3	2
171	необходимо чтобы	2	2
172	как это	3	2
173	понятие о	2	2
174	том как	2	2
175	нашего исследования	5	2
176	в них	3	2
177	сравнению с	14	2
178	мы нашли	3	2
179	в понятии	4	2
180	что уже	2	2
181	все же	2	2
182	в качестве	4	2
183	видим в	2	2
184	оно не	4	2
185	по сравнению	15	2
186	во всех	4	2
187	вместе с	7	2
188	ее в	2	2
189	и оказывается	2	2
190	того как	5	2
191	мы начинаем	2	2
192	а это	3	2
193	только что	2	2
194	тем что	8	2
195	и другое	2	2
196	отношении к	3	2
197	мы говорим	2	2
198	что эта	2	2
199	в которой	7	2
200	не могли	5	2
