N	3gram	Bakhtin_Pr_5	Freidism
1	с точки зрения	2	11
2	по отношению к	6	8
3	во всяком случае	4	7
4	не может быть	3	7
5	в большинстве случаев	2	5
6	и прежде всего	4	5
7	то же время	10	4
8	в то же	10	4
9	как мы уже	2	4
10	на самом деле	9	4
11	с самого начала	8	3
12	бы то ни	3	3
13	но в общем	2	3
14	к тому чтобы	2	3
15	мы можем сказать	2	3
16	можем сказать что	2	3
17	на всю жизнь	2	2
18	не в силах	2	2
19	так и в	2	2
20	что он сам	2	2
21	в его целом	2	2
22	и не может	2	2
23	его отношение к	4	2
24	то ни было	3	2
25	в отличие от	2	2
26	в конце концов	3	2
27	в высшей степени	3	2
28	в ослабленной форме	2	2
29	но в то	4	2
