N	2gram	Tiupa_Lite_1	Istorich
1	и в	8	22
2	в этом	12	17
3	что в	3	15
4	не только	24	14
5	но и	17	12
6	и не	12	12
7	может быть	13	11
8	еще не	4	10
9	таким образом	3	10
10	но в	3	10
11	что он	5	9
12	в нем	2	9
13	в том	16	9
14	том что	14	8
15	с другой	3	7
16	но не	4	7
17	то что	10	7
18	из них	4	7
19	уже не	7	7
20	связи с	6	6
21	это не	4	6
22	то и	2	6
23	а в	3	6
24	то же	5	6
25	а не	16	6
26	друг друга	4	6
27	не менее	7	5
28	в частности	15	5
29	тем не	2	5
30	один из	3	5
31	все же	4	5
32	того что	6	5
33	могут быть	2	5
34	в этой	4	5
35	на смену	6	4
36	как это	8	4
37	не в	8	4
38	в пределах	3	4
39	только в	8	4
40	на этом	2	4
41	одним из	5	4
42	и его	4	4
43	в данном	5	4
44	не может	5	4
45	тем что	2	4
46	все эти	2	4
47	я не	7	3
48	для них	2	3
49	состоит в	11	3
50	превращается в	2	3
51	о себе	4	3
52	могло быть	2	3
53	прежде всего	11	3
54	к тому	2	3
55	как и	6	3
56	представляет собой	4	3
57	особого рода	2	3
58	у него	3	3
59	было бы	2	3
60	в его	7	3
61	никогда не	4	3
62	в целом	8	3
63	данном случае	4	3
64	со стороны	4	3
65	в связи	4	3
66	на том	2	3
67	следующим образом	2	3
68	потому что	3	3
69	он и	3	3
70	из этих	2	3
71	далеко не	3	3
72	в русской	10	3
73	о том	2	3
74	его в	3	3
75	героя с	2	2
76	не было	3	2
77	и есть	3	2
78	и др	3	2
79	в жизни	6	2
80	не исключают	2	2
81	во всяком	3	2
82	же в	5	2
83	тому же	2	2
84	в силу	4	2
85	одна из	3	2
86	с одной	2	2
87	как в	5	2
88	при этом	19	2
89	в качестве	17	2
90	с миром	4	2
91	на себя	2	2
92	себе в	2	2
93	одной стороны	2	2
94	например в	3	2
95	одного из	3	2
96	не мог	3	2
97	да и	3	2
98	относится к	2	2
99	всяком случае	2	2
100	именно так	2	2
101	для нее	2	2
102	даже в	2	2
103	то это	2	2
104	отношению к	2	2
105	жизни и	3	2
106	нет ничего	2	2
107	так и	4	2
108	только на	2	2
109	по отношению	3	2
110	в своем	11	2
111	той же	3	2
112	из того	2	2
113	что не	2	2
114	и даже	3	2
115	роль в	2	2
116	и то	2	2
117	между тем	2	2
118	точки зрения	6	2
119	в другом	2	2
120	в то	5	2
121	ту же	2	2
122	как будто	2	2
123	как правило	2	2
124	на это	2	2
125	во многих	2	2
126	а также	5	2
127	с собой	4	2
