N	2gram	Propp_Isto_2	Narrotol
1	не только	18	31
2	но и	14	27
3	и не	11	23
4	при этом	4	19
5	может быть	17	15
6	в качестве	3	14
7	как и	2	13
8	а не	5	13
9	а в	12	13
10	только в	6	12
11	в этом	11	12
12	и в	15	11
13	состоит в	2	10
14	и его	3	10
15	то что	12	9
16	то же	10	8
17	в том	6	8
18	не может	5	8
19	представляет собой	5	8
20	у него	4	7
21	том что	7	7
22	но в	6	7
23	к тому	5	6
24	об этом	11	6
25	а также	2	6
26	не в	7	6
27	не мог	3	6
28	как бы	6	6
29	один из	8	6
30	тому же	2	6
31	или в	2	6
32	в себе	4	6
33	в его	6	6
34	в этой	4	6
35	перед нами	2	5
36	на другой	2	5
37	так и	5	5
38	тем самым	2	5
39	и на	4	5
40	потому что	9	5
41	слова в	2	4
42	никогда не	15	4
43	из этих	3	4
44	к себе	2	4
45	все же	9	4
46	но не	2	4
47	прежде всего	5	4
48	еще не	9	4
49	у нее	4	4
50	к нему	5	4
51	в ней	4	4
52	в нем	7	4
53	из них	2	4
54	как в	5	4
55	так в	3	4
56	того что	3	4
57	того чтобы	2	4
58	что у	2	4
59	о том	3	4
60	одна из	2	4
61	в одном	5	4
62	тому как	3	3
63	но они	4	3
64	что в	12	3
65	это не	2	3
66	в жизни	2	3
67	что он	24	3
68	самом деле	2	3
69	он не	8	3
70	о нем	4	3
71	отношению к	3	3
72	по отношению	3	3
73	не было	2	3
74	именно в	2	3
75	к чему	2	3
76	мы не	3	3
77	и то	2	3
78	их в	2	3
79	и с	4	3
80	подобно тому	3	3
81	и ее	2	3
82	как будто	3	3
83	в русской	5	3
84	представляют собой	3	3
85	как это	3	3
86	мы имеем	15	3
87	этого не	5	2
88	зависит от	2	2
89	по мере	3	2
90	о своей	2	2
91	в этих	11	2
92	его и	4	2
93	тот кто	2	2
94	в сущности	2	2
95	на то	3	2
96	о его	2	2
97	да и	2	2
98	с ее	2	2
99	до сих	6	2
100	она не	5	2
101	также не	2	2
102	хотя бы	2	2
103	вместе с	7	2
104	дело не	4	2
105	сих пор	7	2
106	другой стороны	2	2
107	в связи	5	2
108	не могла	2	2
109	и только	2	2
110	в особенности	2	2
111	ключ к	2	2
112	человека в	2	2
113	с другой	2	2
114	и для	2	2
115	роль в	3	2
116	ничего не	7	2
117	с ними	2	2
118	сказать что	2	2
119	мы можем	8	2
120	он и	3	2
121	связи с	8	2
122	что мы	3	2
123	здесь не	2	2
124	так сказать	2	2
125	как она	4	2
