N	2gram	Bakhtin_Fr_3	Literetu
1	а не	5	20
2	и в	40	19
3	может быть	9	17
4	своего рода	2	13
5	то же	7	12
6	и не	13	11
7	и т.п	10	10
8	в том	8	10
9	как и	11	10
10	но и	11	10
11	же время	6	9
12	такого рода	3	9
13	не может	3	9
14	в мире	4	9
15	в этом	15	9
16	в то	6	9
17	с другой	2	8
18	не только	13	8
19	и даже	4	8
20	том что	4	7
21	то что	5	7
22	так и	3	7
23	слова и	2	7
24	не менее	2	6
25	в себе	3	6
26	при этом	3	6
27	и на	8	6
28	у нас	4	5
29	одна из	3	5
30	но не	2	5
31	он не	9	5
32	вместе с	3	5
33	так в	4	5
34	в году	5	5
35	то есть	18	5
36	что в	12	4
37	в частности	3	4
38	прежде всего	16	4
39	того же	2	4
40	для него	5	4
41	в ней	4	4
42	в его	13	4
43	еще в	3	4
44	даже в	4	4
45	один из	4	4
46	жизни и	4	4
47	и других	6	4
48	мы не	2	4
49	по отношению	3	4
50	тем что	3	4
51	точки зрения	2	4
52	в области	4	4
53	что он	2	3
54	в нем	5	3
55	и как	3	3
56	одним из	2	3
57	но это	3	3
58	в начале	3	3
59	в этой	3	3
60	в сущности	9	3
61	во всех	6	3
62	вплоть до	3	3
63	и др	7	3
64	отношению к	2	3
65	в культуре	4	3
66	данном случае	2	3
67	в их	4	3
68	и для	5	3
69	этом отношении	2	3
70	так как	4	3
71	тем же	2	3
72	а в	3	3
73	и его	17	3
74	и с	8	3
75	в данном	4	3
76	в другом	3	3
77	на этом	2	2
78	том числе	3	2
79	уже в	2	2
80	не было	5	2
81	к жизни	2	2
82	у него	8	2
83	в нашем	4	2
84	для этого	3	2
85	в них	9	2
86	в конце	3	2
87	в виду	7	2
88	в одном	7	2
89	вовсе не	12	2
90	что было	2	2
91	и к	3	2
92	а также	4	2
93	в ее	3	2
94	ко всему	2	2
95	все что	2	2
96	до конца	6	2
97	еще не	3	2
98	было бы	4	2
99	и сам	2	2
100	не так	3	2
101	одной из	2	2
102	в образах	6	2
103	свидетельствует о	2	2
104	как бы	3	2
105	что и	3	2
106	как он	2	2
107	все же	2	2
108	в целом	2	2
109	не к	2	2
110	из них	4	2
111	по преимуществу	2	2
112	в истории	4	2
113	и до	8	2
114	как раз	5	2
115	не раз	2	2
116	той же	8	2
117	для того	3	2
118	и наконец	3	2
119	хотя бы	2	2
120	не видит	4	2
121	в своих	5	2
122	потому что	2	2
123	в основе	5	2
124	в веках	2	2
125	одно из	3	2
126	даже и	2	2
127	он и	7	2
128	и еще	2	2
129	но как	2	2
130	о том	4	2
131	к этой	3	2
132	но в	8	2
133	одном из	2	2
