N	2gram	Voloshinov_1	slovoVRo
1	и в	13	41
2	в нем	2	30
3	литературного языка	2	20
4	могут быть	2	19
5	но и	3	16
6	и не	8	16
7	точки зрения	7	16
8	не только	6	16
9	а не	2	15
10	то же	4	14
11	в пределах	3	14
12	может быть	8	14
13	и др	2	14
14	не может	8	14
15	и его	12	14
16	в его	7	13
17	слова и	2	13
18	как бы	6	12
19	языка и	5	12
20	в этом	2	12
21	так и	3	11
22	слово в	3	10
23	таким образом	6	9
24	все эти	2	9
25	прежде всего	9	8
26	но в	4	8
27	как в	2	8
28	с точки	5	8
29	не в	3	7
30	и следовательно	2	7
31	на фоне	4	7
32	вовсе не	2	7
33	в своей	4	7
34	все же	5	7
35	в отношении	2	6
36	при этом	2	6
37	а в	2	6
38	в них	2	6
39	только в	6	6
40	с другой	2	5
41	в самом	2	5
42	все это	4	5
43	и к	2	5
44	не на	2	5
45	в языке	2	5
46	связанных с	2	4
47	в каждом	4	4
48	одной стороны	2	4
49	в ней	2	4
50	в их	3	4
51	за пределы	3	4
52	с одной	2	4
53	лишь в	4	4
54	и наконец	5	4
55	языка но	2	4
56	в которой	3	4
57	в языковом	2	4
58	и все	3	4
59	не как	3	4
60	языка как	3	4
61	как и	3	4
62	к предмету	2	4
63	в процессе	5	4
64	входит в	2	4
65	каждое слово	2	4
66	другой стороны	2	4
67	и для	3	4
68	там где	2	4
69	никогда не	3	3
70	точку зрения	3	3
71	хотя бы	5	3
72	же слово	2	3
73	к тому	2	3
74	в том	2	3
75	для него	2	3
76	в зависимости	2	3
77	данном случае	2	3
78	форм и	2	3
79	поэтического языка	2	3
80	с ними	2	3
81	так как	3	3
82	произведения как	4	3
83	с этим	3	3
84	связанные с	2	3
85	в себе	3	3
86	с этой	2	3
87	зависимости от	2	3
88	и может	2	3
89	было бы	4	3
90	в данном	2	3
91	более того	2	3
92	и ее	2	3
93	в поэзии	5	3
94	связана с	3	2
95	что они	2	2
96	смысле слова	2	2
97	на язык	2	2
98	и тем	2	2
99	в целом	2	2
100	те же	2	2
101	так же	2	2
102	того или	2	2
103	между тем	2	2
104	не является	4	2
105	в сознании	4	2
106	не исчерпывается	2	2
107	а как	2	2
108	в одном	3	2
109	или иного	2	2
110	том что	2	2
111	мы видим	2	2
112	одно и	3	2
113	слов и	4	2
114	мы уже	2	2
115	наконец в	2	2
116	а также	2	2
117	в ее	3	2
118	социальной группы	4	2
119	и эта	5	2
120	роль в	2	2
121	мы не	4	2
122	и то	3	2
123	от этого	2	2
124	в другом	2	2
125	и стиль	2	2
