N	2gram	Nazirov_Tv_2	Myshleni
1	в этом	8	29
2	и в	20	26
3	не только	13	24
4	то что	3	24
5	таким образом	10	23
6	в том	8	18
7	и не	9	18
8	том что	4	17
9	потому что	7	16
10	как и	6	15
11	так же	5	14
12	так как	3	14
13	что в	7	12
14	вместе с	3	12
15	и его	9	12
16	в которой	2	11
17	но и	8	11
18	не может	7	11
19	что они	4	10
20	в самом	3	9
21	тем что	3	9
22	в себе	3	9
23	же как	3	8
24	то же	7	8
25	что она	4	8
26	что он	6	8
27	тем самым	4	8
28	только в	2	8
29	представление о	7	7
30	прежде всего	8	7
31	может быть	8	7
32	мы не	4	7
33	по отношению	3	6
34	именно в	6	6
35	как бы	11	6
36	в ее	2	6
37	и что	2	6
38	все эти	4	6
39	все же	5	6
40	самом деле	2	6
41	а не	6	6
42	с этой	3	5
43	если бы	4	5
44	в целом	6	5
45	и с	8	5
46	в начале	3	5
47	у нее	3	5
48	отношению к	3	5
49	в процессе	2	5
50	что этот	2	5
51	не менее	2	4
52	никогда не	11	4
53	что у	4	4
54	с другой	2	4
55	и от	4	4
56	в конце	6	4
57	в такой	2	4
58	в пользу	3	4
59	так что	2	4
60	в котором	3	4
61	в свете	3	4
62	и наконец	2	4
63	друг друга	2	4
64	в его	10	4
65	о том	5	4
66	но в	4	4
67	еще не	5	4
68	одной из	3	4
69	как в	4	4
70	приводит к	2	4
71	не в	4	4
72	и только	2	4
73	едва ли	2	4
74	я не	2	3
75	все это	6	3
76	это не	7	3
77	но это	5	3
78	такой же	2	3
79	для него	3	3
80	в основе	2	3
81	не является	3	3
82	в первой	2	3
83	и по	2	3
84	имеет в	2	3
85	он не	3	3
86	с ним	3	3
87	не означает	2	3
88	об этом	4	3
89	в то	10	3
90	но не	5	3
91	в одной	3	3
92	до сих	3	3
93	в основном	6	3
94	и потому	4	3
95	в этот	2	3
96	нет и	2	3
97	в своей	6	3
98	сих пор	3	3
99	так и	6	3
100	мы видим	4	3
101	с другими	2	3
102	в этой	5	3
103	в чем	4	3
104	уже в	2	2
105	казалось бы	3	2
106	от ее	2	2
107	его и	2	2
108	точку зрения	2	2
109	как известно	2	2
110	показывает что	4	2
111	что на	2	2
112	что его	2	2
113	ли не	2	2
114	на его	4	2
115	одним из	3	2
116	но если	2	2
117	сути дела	3	2
118	один из	3	2
119	в нем	3	2
120	в их	3	2
121	и других	2	2
122	нашему мнению	4	2
123	а в	4	2
124	в своих	3	2
125	в которых	3	2
126	и есть	2	2
127	его в	3	2
128	н м	4	2
129	о человеке	2	2
130	к этому	3	2
131	вовсе не	2	2
132	но эта	2	2
133	а затем	3	2
134	у нас	2	2
135	этот факт	2	2
136	наряду с	7	2
137	том же	2	2
138	из этого	2	2
139	в отличие	2	2
140	что не	3	2
141	и он	2	2
142	во всяком	2	2
143	могут быть	2	2
144	и ее	2	2
145	с другим	2	2
146	отличие от	2	2
147	ничего не	4	2
