N	2gram	Nazirov_Tv_1	Psycholo
1	и в	21	38
2	то что	8	35
3	в том	7	25
4	в самом	3	25
5	самом деле	2	21
6	что в	12	20
7	может быть	5	19
8	что она	2	16
9	в ней	2	15
10	то есть	12	15
11	том что	11	14
12	как бы	17	14
13	и т	3	14
14	потому что	5	14
15	в этой	5	13
16	в этом	6	13
17	не только	7	12
18	таким образом	5	12
19	не в	2	12
20	что он	6	11
21	то же	13	10
22	и не	7	10
23	и все	6	10
24	в двух	2	9
25	все же	5	8
26	перед нами	2	8
27	вовсе не	5	8
28	как и	12	8
29	так что	2	8
30	и как	4	8
31	говорит что	2	8
32	но только	2	8
33	с другой	3	7
34	а не	5	7
35	не может	4	7
36	а в	6	7
37	из них	2	6
38	к тому	2	6
39	с самого	3	6
40	один из	4	6
41	в котором	6	6
42	он не	8	6
43	так как	3	6
44	он говорит	3	6
45	и его	6	6
46	и на	7	6
47	самого начала	3	6
48	о том	6	6
49	я не	3	5
50	в своем	4	5
51	в своей	4	5
52	время в	3	5
53	вместе с	2	5
54	но и	3	5
55	и когда	2	5
56	т п	2	5
57	или в	2	5
58	о котором	2	5
59	в его	13	5
60	так сказать	2	5
61	в которой	3	5
62	никогда не	3	4
63	в свою	7	4
64	при этом	7	4
65	когда он	2	4
66	но если	3	4
67	не мог	2	4
68	в нем	3	4
69	что и	2	4
70	ее в	3	4
71	в целом	4	4
72	как в	8	4
73	при помощи	2	4
74	здесь мы	2	4
75	того что	3	4
76	и даже	3	4
77	в своих	5	4
78	сказать что	2	4
79	больше чем	2	4
80	у него	7	4
81	только в	5	4
82	как будто	5	4
83	одна из	2	4
84	в себе	2	4
85	на деле	2	4
86	не то	2	4
87	в виду	2	4
88	место в	3	3
89	та же	4	3
90	больше не	4	3
91	что все	3	3
92	к этому	2	3
93	но это	5	3
94	того же	2	3
95	тот же	2	3
96	в один	2	3
97	в основе	2	3
98	был бы	2	3
99	в стихах	2	3
100	все это	10	3
101	одновременно и	2	3
102	что не	2	3
103	не так	3	3
104	что как	2	3
105	и тем	2	3
106	где он	2	3
107	из всех	4	3
108	далеко не	3	3
109	в то	15	3
110	но в	7	3
111	одного из	2	2
112	в данном	2	2
113	он видит	3	2
114	и другие	3	2
115	и та	2	2
116	все более	2	2
117	в этих	2	2
118	отнюдь не	5	2
119	в глаза	2	2
120	так ли	2	2
121	хотя бы	5	2
122	своих героев	3	2
123	на самом	3	2
124	надо было	2	2
125	только что	2	2
126	до конца	2	2
127	уже не	3	2
128	такой же	2	2
129	для него	6	2
130	со всеми	3	2
131	в первой	2	2
132	но он	2	2
133	по преимуществу	2	2
134	по самому	2	2
135	к ней	2	2
136	с ее	3	2
137	наше время	2	2
138	дело не	3	2
139	данном случае	2	2
140	говорит о	3	2
141	не могу	2	2
142	что его	2	2
143	в наше	2	2
144	так же	3	2
145	в одной	2	2
146	по мнению	3	2
147	в виде	3	2
148	и наконец	2	2
149	и по	3	2
150	той же	3	2
151	в качестве	2	2
152	не имеют	4	2
153	героев в	2	2
154	эти слова	2	2
155	как к	2	2
156	представляет собой	3	2
157	же самая	2	2
158	в русской	5	2
159	с ним	3	2
160	себя как	2	2
