N	2gram	Vinokur_Ku_2	Literetu
1	а не	10	20
2	и в	23	19
3	может быть	15	17
4	своего рода	4	13
5	то же	6	12
6	и не	16	11
7	в том	19	10
8	как и	2	10
9	но и	7	10
10	состоит в	2	9
11	же время	3	9
12	не может	9	9
13	в этом	18	9
14	в то	4	9
15	с другой	8	8
16	не только	20	8
17	и даже	2	8
18	том что	11	7
19	то что	9	7
20	так и	4	7
21	с одной	2	7
22	слова и	5	7
23	не менее	7	6
24	при этом	2	6
25	и на	6	6
26	конечном счете	2	5
27	я не	5	5
28	у нас	12	5
29	но не	6	5
30	в качестве	8	5
31	он не	3	5
32	в конечном	2	5
33	на фоне	3	5
34	вместе с	5	5
35	так в	3	5
36	в году	2	5
37	того что	3	5
38	что в	10	4
39	в частности	2	4
40	в сфере	3	4
41	прежде всего	8	4
42	не в	8	4
43	отнюдь не	4	4
44	того же	3	4
45	в ней	3	4
46	в его	5	4
47	один из	5	4
48	ли не	2	4
49	другой стороны	7	4
50	тем что	3	4
51	точки зрения	14	4
52	в области	11	4
53	никогда не	2	3
54	что он	5	3
55	в нем	4	3
56	мы с	2	3
57	по существу	5	3
58	но это	3	3
59	в этой	6	3
60	в сущности	9	3
61	речь идет	2	3
62	данном случае	2	3
63	со стороны	4	3
64	а именно	2	3
65	в их	2	3
66	то и	3	3
67	и для	2	3
68	этом отношении	3	3
69	так как	15	3
70	всего лишь	3	3
71	тем самым	2	3
72	тем же	2	3
73	с точки	8	3
74	от слова	3	3
75	а в	3	3
76	и его	3	3
77	в глазах	2	3
78	и то	5	3
79	и с	7	3
80	в данном	4	3
81	в другом	2	3
82	в разговоре	4	3
83	ничего не	4	3
84	на этом	3	2
85	уже в	3	2
86	не было	4	2
87	же как	2	2
88	с тем	2	2
89	у него	3	2
90	в нашем	7	2
91	для этого	3	2
92	в них	4	2
93	с этой	2	2
94	по крайней	6	2
95	в конце	4	2
96	в виду	3	2
97	вовсе не	9	2
98	а также	3	2
99	крайней мере	6	2
100	для нас	4	2
101	этом случае	2	2
102	тем не	6	2
103	очевидно что	2	2
104	до конца	3	2
105	тот же	5	2
106	еще не	5	2
107	было бы	15	2
108	свое время	2	2
109	как бы	4	2
110	в свое	2	2
111	себе не	2	2
112	был бы	2	2
113	говоря уже	2	2
114	что и	3	2
115	уже о	3	2
116	все же	7	2
117	и т	39	2
118	но уже	2	2
119	же в	3	2
120	могут быть	4	2
121	по преимуществу	2	2
122	не говоря	2	2
123	и до	2	2
124	как раз	3	2
125	т п	24	2
126	быть не	2	2
127	той же	2	2
128	все равно	2	2
129	но только	4	2
130	уже не	8	2
131	и что	8	2
132	не более	2	2
133	для того	9	2
134	что не	6	2
135	из которых	3	2
136	хотя бы	9	2
137	речь в	5	2
138	не знает	3	2
139	в своих	2	2
140	в русском	10	2
141	в результате	4	2
142	потому что	25	2
143	даже и	2	2
144	он и	2	2
145	в первый	3	2
146	соответствии с	2	2
147	и еще	2	2
148	что я	4	2
149	ту же	6	2
150	к этой	3	2
151	а если	2	2
152	как это	5	2
153	но в	11	2
154	не надо	3	2
