N	2gram	Vygotskiy__5	Sotsiolo
1	все это	2	7
2	в том	27	5
3	в этом	14	5
4	не в	8	3
5	для нас	3	3
6	и только	3	3
7	в его	4	3
8	и в	30	3
9	не только	16	3
10	как только	4	2
11	по отношению	2	2
12	еще не	5	2
13	было бы	5	2
14	как будто	6	2
15	только в	5	2
16	в конце	4	2
17	по существу	2	2
18	это и	2	2
19	и мы	16	2
20	таким образом	20	2
21	том что	21	2
22	то же	7	2
23	то что	37	2
24	может быть	11	2
25	в результате	4	2
26	в частности	4	2
27	и что	23	2
28	но и	6	2
29	очевидно что	2	2
30	и заключается	4	2
31	как бы	19	2
32	должна быть	2	2
33	конце концов	2	2
34	что в	24	2
