N	2gram	Losev_Vlad_3	Mirosoze
1	может быть	8	30
2	не только	25	29
3	и в	40	28
4	не может	14	28
5	но и	18	25
6	а не	8	25
7	он не	8	24
8	в этом	16	20
9	не было	5	18
10	о свободе	2	18
11	у него	24	17
12	не в	3	16
13	потому что	11	16
14	в ней	5	15
15	в своей	9	15
16	никогда не	11	14
17	человека и	3	14
18	он был	2	14
19	до конца	4	14
20	в нем	3	13
21	и это	6	12
22	для него	8	11
23	в самом	4	11
24	и не	25	11
25	что в	17	10
26	в своем	8	10
27	в мире	2	10
28	был бы	3	10
29	прежде всего	10	10
30	и все	4	10
31	что он	5	10
32	было бы	4	10
33	и потому	10	10
34	с тем	7	9
35	в его	14	9
36	не есть	10	9
37	и его	10	9
38	но не	4	8
39	в котором	4	8
40	не был	8	7
41	того что	7	7
42	в конце	12	7
43	но в	4	7
44	нет ничего	2	7
45	бог и	2	7
46	к нему	3	7
47	в себе	9	7
48	он сам	2	6
49	должна быть	2	6
50	в том	18	6
51	в этой	8	6
52	и на	6	6
53	он уже	2	6
54	вместе с	7	6
55	о боге	4	6
56	только в	13	6
57	в которой	2	6
58	не могут	2	5
59	это не	3	5
60	если нет	3	5
61	у нас	5	5
62	как и	7	5
63	то что	28	5
64	что есть	3	5
65	уже в	3	4
66	в этих	2	4
67	с этой	2	4
68	и вместе	2	4
69	в христианском	2	4
70	смысле слова	6	4
71	мог бы	4	4
72	не к	2	4
73	ни с	3	4
74	в их	2	4
75	отношения к	5	4
76	и по	2	4
77	а в	7	4
78	точки зрения	13	4
79	и этот	2	4
80	должен был	2	4
81	не как	2	4
82	xix века	6	4
83	которых он	2	4
84	она не	2	4
85	за пределы	3	4
86	человек есть	2	4
87	что и	7	4
88	есть не	2	4
89	уже не	9	4
90	тем что	5	4
91	значит что	6	4
92	к тому	7	3
93	для нас	5	3
94	это есть	10	3
95	это значит	6	3
96	не мог	6	3
97	но если	5	3
98	только и	5	3
99	не имеет	4	3
100	не так	3	3
101	должно быть	5	3
102	самого человека	3	3
103	с этим	2	3
104	и еще	2	3
105	его в	2	3
106	так как	7	3
107	то есть	24	3
108	и с	9	3
109	с его	2	3
110	к богу	2	3
111	в жизни	2	3
112	на путях	2	3
113	том что	18	3
114	учение о	24	3
115	есть и	4	3
116	ничего не	5	3
117	бы и	4	3
118	в боге	6	3
119	хотя бы	6	3
120	он мог	3	2
121	к добру	2	2
122	и от	6	2
123	вопрос о	4	2
124	человека от	2	2
125	с их	3	2
126	для того	2	2
127	он никогда	2	2
128	он ни	2	2
129	истории в	2	2
130	в виду	3	2
131	себе и	2	2
132	отличается от	3	2
133	все эти	5	2
134	и что	8	2
135	есть только	9	2
136	время как	2	2
137	философии но	4	2
138	его творчества	2	2
139	также и	17	2
140	сказать что	12	2
141	даже и	12	2
142	в начале	2	2
143	самого себя	2	2
144	по своей	2	2
145	в истории	5	2
146	как бы	3	2
147	о том	11	2
148	в россии	3	2
149	бы в	2	2
150	не существует	2	2
151	к этой	2	2
152	если бы	3	2
153	бог есть	2	2
154	к этому	2	2
155	в то	7	2
156	чем в	4	2
157	него как	3	2
158	то время	4	2
159	и к	2	2
160	еще в	5	2
161	в этот	2	2
162	все же	4	2
163	не хочет	2	2
164	который был	2	2
165	оказывается что	2	2
166	разного рода	3	2
167	того чтобы	3	2
168	и у	3	2
169	и как	7	2
170	и для	3	2
171	конце концов	5	2
172	от этого	2	2
173	с чего	2	2
174	в каком	4	2
175	не все	3	2
