N	2gram	Nazirov_Tr_1	Hudozhes
1	том что	4	16
2	и в	18	14
3	так и	5	13
4	в том	2	12
5	не только	8	12
6	при этом	3	12
7	о том	2	12
8	прежде всего	4	11
9	в этом	9	11
10	в себе	4	11
11	в рассказе	2	11
12	для него	3	10
13	у него	6	9
14	что он	6	9
15	как и	5	9
16	то же	5	9
17	как в	3	8
18	то что	4	8
19	же время	6	8
20	в этой	4	8
21	в то	5	8
22	в его	3	8
23	ничего не	2	8
24	это не	5	7
25	к тому	2	7
26	уже не	2	7
27	не в	2	7
28	еще не	4	7
29	своего рода	3	7
30	как бы	7	7
31	не может	5	7
32	не случайно	2	7
33	никогда не	2	6
34	что в	4	6
35	в глазах	2	6
36	перед нами	2	5
37	с его	2	5
38	к жизни	5	5
39	в частности	2	5
40	об этом	4	5
41	может быть	7	5
42	и он	3	5
43	но и	4	5
44	по мнению	2	5
45	друг друга	2	5
46	и его	6	5
47	потому что	2	5
48	ни в	2	5
49	но в	6	5
50	в своем	3	4
51	столь же	2	4
52	и все	4	4
53	несмотря на	5	4
54	в самом	2	4
55	один из	3	4
56	что она	2	4
57	он не	2	4
58	как будто	3	4
59	в конце	3	4
60	и это	2	4
61	с ним	3	4
62	и с	7	4
63	отнюдь не	3	3
64	в мире	3	3
65	в ходе	2	3
66	в ее	2	3
67	еще в	2	3
68	в нем	4	3
69	все же	5	3
70	то и	2	3
71	все эти	3	3
72	и даже	4	3
73	в таком	2	3
74	ничем не	2	3
75	тем что	2	3
76	и на	7	3
77	его в	2	3
78	вопрос о	2	2
79	так что	2	2
80	одна из	2	2
81	и что	4	2
82	в целом	4	2
83	до конца	2	2
84	и личность	2	2
85	все это	4	2
86	и не	7	2
87	жизнью и	2	2
88	не имеет	2	2
89	должно быть	3	2
90	в это	2	2
91	личности и	2	2
92	с ее	3	2
93	еще раз	2	2
94	что я	4	2
