N	2gram	Vygotskiy__3	Formalny
1	и в	25	24
2	в его	15	23
3	прежде всего	4	22
4	и не	10	20
5	так и	5	18
6	не может	6	16
7	точки зрения	6	16
8	в этом	14	15
9	в нем	2	14
10	может быть	13	14
11	таким образом	17	13
12	в своем	4	11
13	не менее	6	11
14	как и	15	11
15	должно быть	2	11
16	в своей	2	11
17	и их	3	10
18	то же	2	10
19	и его	2	10
20	и потому	2	9
21	в процессе	27	9
22	все это	6	9
23	в то	4	9
24	именно в	5	8
25	в свою	3	8
26	то что	15	8
27	как в	9	8
28	и на	6	8
29	не в	6	8
30	место в	2	7
31	и от	2	7
32	не только	6	7
33	с ее	5	7
34	но и	4	7
35	отнюдь не	4	6
36	и все	4	6
37	и здесь	2	6
38	было бы	10	6
39	в том	23	6
40	в этой	5	6
41	свою очередь	2	6
42	еще не	4	6
43	как бы	10	6
44	в целом	13	6
45	или менее	3	6
46	входит в	5	6
47	а в	4	6
48	все эти	7	6
49	на основе	22	6
50	в живом	3	6
51	как это	7	6
52	по себе	7	5
53	при этом	5	5
54	в самом	3	5
55	как мы	8	5
56	того что	10	5
57	с другой	6	5
58	мы увидим	4	4
59	с его	2	4
60	независимо от	4	4
61	главным образом	2	4
62	в частности	4	4
63	никогда не	4	4
64	не как	3	4
65	с другими	2	4
66	и к	5	4
67	в мире	2	4
68	для этого	2	4
69	одной стороны	5	4
70	и может	2	4
71	если бы	5	4
72	метод в	2	4
73	всяком случае	4	4
74	оно не	2	4
75	отношению к	2	4
76	так же	17	4
77	по отношению	3	4
78	в связи	6	4
79	что в	17	4
80	с одной	5	4
81	задачи и	5	4
82	друг друга	4	4
83	как на	2	4
84	с этой	3	4
85	во всяком	4	4
86	но не	6	3
87	в отношении	6	3
88	всех этих	2	3
89	связи с	9	3
90	подходит к	2	3
91	в них	2	3
92	в жизни	3	3
93	ясно что	2	3
94	или иного	2	3
95	что он	6	3
96	с помощью	42	3
97	смысле этого	4	3
98	к тому	4	3
99	для него	5	3
100	и как	5	3
101	но это	5	3
102	зависимости от	6	3
103	для марксизма	3	3
104	ни на	2	3
105	со всеми	6	3
106	он не	4	3
107	в основном	6	3
108	один из	6	3
109	все же	6	3
110	же в	2	3
111	когда он	3	3
112	значение в	3	3
113	отличается от	3	3
114	и других	2	3
115	мы не	9	3
116	тем самым	2	3
117	не приводит	2	3
118	между ними	3	3
119	его в	3	3
120	от всех	2	3
121	в основе	16	3
122	связи со	2	3
123	как она	3	3
124	в себе	2	3
125	со всей	2	3
126	этого слова	4	3
127	бы в	2	3
128	в области	7	3
129	говорит он	4	3
130	того или	2	2
131	а как	2	2
132	проникать в	2	2
133	вступает в	2	2
134	же как	6	2
135	с тем	16	2
136	в зависимости	5	2
137	в структуру	4	2
138	сами по	3	2
139	и особенно	2	2
140	с этим	4	2
141	в одном	2	2
142	вопрос об	2	2
143	не можем	3	2
144	и заключается	2	2
145	таким же	2	2
146	остановиться на	3	2
147	все время	2	2
148	ни было	2	2
149	ни в	9	2
150	уже не	2	2
151	мы видели	6	2
152	но все	2	2
153	одна из	2	2
154	если мы	3	2
155	только в	10	2
156	все более	2	2
157	к другим	2	2
158	от того	4	2
159	в новое	2	2
160	в него	3	2
161	еще в	2	2
162	что и	10	2
163	не есть	3	2
164	не имеющие	2	2
165	вместе с	14	2
166	значения и	5	2
167	от нее	4	2
168	и что	10	2
169	приводит к	4	2
170	как их	2	2
171	или иначе	2	2
172	в результате	3	2
173	между тем	3	2
174	от этого	6	2
175	в своих	2	2
176	на его	2	2
177	является для	2	2
178	к которому	3	2
179	и это	4	2
180	бы быть	2	2
181	во всем	3	2
182	с ним	4	2
183	могло бы	4	2
184	как с	4	2
185	в эту	2	2
