N	2gram	Tiupa_Hudo_1	Tvorches
1	и в	19	21
2	как бы	9	17
3	в то	6	15
4	в его	9	13
5	то же	10	13
6	времени в	2	13
7	что в	6	12
8	как и	2	12
9	же время	5	12
10	то есть	18	12
11	с его	6	11
12	том что	8	11
13	в романе	3	10
14	все это	2	10
15	как в	2	8
16	он не	4	8
17	то что	4	8
18	в свою	3	7
19	в том	18	7
20	тем самым	4	7
21	при этом	13	7
22	не только	16	7
23	и не	15	7
24	в году	2	7
25	и на	2	7
26	но в	7	7
27	что он	3	6
28	жизни в	2	6
29	не менее	3	6
30	для него	4	6
31	а в	12	6
32	и его	12	6
33	в этом	11	6
34	о том	2	6
35	отнюдь не	2	5
36	вовсе не	2	5
37	а не	9	5
38	в повести	2	5
39	может быть	14	5
40	в этой	2	5
41	таким образом	3	5
42	потому что	3	5
43	только в	5	5
44	в русской	3	5
45	в своем	2	4
46	прежде всего	4	4
47	в мире	21	4
48	и как	3	4
49	времени и	2	4
50	в целом	3	4
51	конечном счете	5	4
52	одной из	2	4
53	в конечном	5	4
54	по сути	3	4
55	один из	2	4
56	своего рода	5	4
57	в своей	5	4
58	русской литературе	2	4
59	не может	7	4
60	это не	2	4
61	самим собой	4	4
62	не случайно	3	4
63	в момент	2	4
64	в финале	2	4
65	место в	4	3
66	и другие	2	3
67	никогда не	2	3
68	с другой	7	3
69	я не	2	3
70	с ним	2	3
71	с ее	5	3
72	но не	11	3
73	в самом	5	3
74	авторской позиции	2	3
75	даже в	3	3
76	в нем	5	3
77	но и	10	3
78	дело не	2	3
79	ее в	2	3
80	первой части	2	3
81	в их	5	3
82	во времени	4	3
83	который в	2	3
84	уже не	4	3
85	того что	4	3
86	и по	2	3
87	так же	2	3
88	в которой	2	3
89	хотя и	3	3
90	человеческих отношений	2	3
91	в рассказе	3	3
92	далеко не	2	3
93	представляет собой	10	3
94	я и	7	3
95	в основе	4	2
96	в принципе	5	2
97	личности и	3	2
98	в частности	13	2
99	однако в	4	2
100	в этих	3	2
101	в качестве	24	2
102	не столько	3	2
103	в пространстве	2	2
104	в жизни	2	2
105	личности в	4	2
106	можно сказать	5	2
107	что и	2	2
108	об этом	2	2
109	не в	7	2
110	то в	2	2
111	одна из	2	2
112	в глаза	2	2
113	того же	2	2
114	к тому	4	2
115	по преимуществу	2	2
116	и тем	2	2
117	тем не	3	2
118	не будет	2	2
119	но она	2	2
120	к жизни	2	2
121	так и	11	2
122	приводит к	5	2
123	во всей	3	2
124	говорит что	2	2
125	в отличие	7	2
126	как к	2	2
127	для автора	2	2
128	и того	2	2
129	именно в	2	2
130	в себя	2	2
131	что она	2	2
132	в одно	2	2
133	и притом	3	2
134	отличие от	7	2
135	или в	2	2
136	сказать что	4	2
137	могут быть	4	2
138	но он	3	2
139	в данном	4	2
140	в себе	9	2
141	не знает	3	2
142	героя и	5	2
143	человека с	3	2
144	в чем	2	2
145	на деле	3	2
146	жизнь на	2	2
147	в виду	5	2
148	мира в	2	2
