N	2gram	Propp_Isto_1	Narrotol
1	не только	12	31
2	но и	10	27
3	и не	9	23
4	при этом	3	19
5	может быть	25	15
6	в частности	2	14
7	в качестве	5	14
8	как и	4	13
9	а не	15	13
10	а в	7	13
11	только в	11	12
12	в этом	8	12
13	и в	28	11
14	и его	3	10
15	то что	9	9
16	то же	12	8
17	в том	9	8
18	со стороны	2	8
19	не может	15	8
20	уже не	3	8
21	представляет собой	4	8
22	если бы	8	7
23	том что	7	7
24	но в	8	7
25	к тому	6	6
26	об этом	4	6
27	не в	9	6
28	и он	3	6
29	как бы	2	6
30	один из	4	6
31	как раз	2	6
32	или в	5	6
33	в себе	2	6
34	в его	5	6
35	в этой	6	6
36	перед нами	3	5
37	точка зрения	2	5
38	так и	9	5
39	столь же	2	5
40	и на	4	5
41	потому что	4	5
42	как правило	4	5
43	никогда не	14	4
44	все же	10	4
45	для него	2	4
46	но не	5	4
47	прежде всего	10	4
48	еще не	7	4
49	в ней	7	4
50	и тем	2	4
51	в нем	2	4
52	из них	3	4
53	не по	2	4
54	по себе	3	4
55	как в	2	4
56	так в	4	4
57	того что	4	4
58	в то	3	4
59	о том	9	4
60	одна из	2	4
61	в одном	5	4
62	не существует	2	3
63	не менее	6	3
64	но они	2	3
65	что в	12	3
66	однако в	2	3
67	в своем	5	3
68	это не	7	3
69	не всегда	8	3
70	что он	10	3
71	тем не	6	3
72	и как	2	3
73	в начале	3	3
74	в целом	2	3
75	он не	2	3
76	в конечном	2	3
77	о нем	2	3
78	еще в	2	3
79	отношению к	3	3
80	в современной	3	3
81	по отношению	3	3
82	именно в	3	3
83	героя в	5	3
84	к чему	3	3
85	и конец	2	3
86	мы не	10	3
87	также и	3	3
88	их в	5	3
89	и с	4	3
90	как будто	4	3
91	в русской	2	3
92	представляют собой	6	3
93	как это	3	3
94	мы имеем	13	3
95	между тем	2	3
96	а для	2	3
97	зависит от	2	2
98	по мере	2	2
99	в зависимости	2	2
100	в этих	7	2
101	его и	2	2
102	между собой	4	2
103	большей или	2	2
104	на то	4	2
105	так называемая	3	2
106	ему в	3	2
107	как мы	3	2
108	а по	2	2
109	о смерти	6	2
110	зависимости от	2	2
111	между ними	2	2
112	до сих	5	2
113	в пределах	4	2
114	к ним	4	2
115	не вполне	2	2
116	чем это	4	2
117	героя из	2	2
118	хотя бы	4	2
119	себя в	2	2
120	вместе с	6	2
121	дело не	5	2
122	сих пор	5	2
123	в форме	3	2
124	и тогда	3	2
125	другой стороны	5	2
126	у себя	2	2
127	в отличие	2	2
128	в связи	4	2
129	и только	2	2
130	в особенности	2	2
131	ключ к	3	2
132	и вот	2	2
133	что не	2	2
134	и даже	4	2
135	с другой	6	2
136	и для	4	2
137	отличие от	2	2
138	ничего не	2	2
139	нас в	2	2
140	дело с	2	2
141	сказать что	5	2
142	и от	2	2
143	связи с	4	2
144	что мы	7	2
145	же самое	3	2
146	один и	2	2
147	прошлого и	2	2
148	от этих	2	2
149	дело в	3	2
150	здесь не	4	2
151	с ним	2	2
152	в области	2	2
153	это было	2	2
