N	2gram	Vinokur_St_1	RusskieA
1	и в	44	29
2	т е	15	24
3	что в	30	22
4	том что	29	22
5	в том	36	22
6	как бы	4	18
7	в других	2	15
8	может быть	15	13
9	так как	5	13
10	во время	3	12
11	п в	3	12
12	как и	9	11
13	в этом	21	11
14	все это	5	10
15	е в	2	10
16	и с	3	10
17	не только	18	10
18	а на	3	9
19	о том	17	9
20	а в	17	9
21	во многих	3	9
22	но и	10	8
23	его в	2	8
24	данном случае	6	7
25	как в	13	7
26	мы не	2	6
27	этом случае	2	6
28	еще не	3	6
29	для того	10	6
30	для нас	7	6
31	таким образом	7	6
32	при этом	2	6
33	того чтобы	11	6
34	в данном	14	6
35	мы имеем	2	6
36	представление о	4	5
37	потому что	6	5
38	это не	8	5
39	должна была	4	5
40	то что	18	5
41	и что	4	5
42	но не	3	5
43	для этого	2	5
44	и т	30	5
45	не может	8	5
46	или же	2	5
47	т д	21	5
48	будто бы	3	5
49	но в	10	5
50	именно в	6	4
51	и все	2	4
52	не все	3	4
53	вопрос о	4	4
54	по существу	2	4
55	так что	6	4
56	не в	12	4
57	из них	8	4
58	к нему	2	4
59	же как	3	4
60	а также	2	4
61	так же	5	4
62	то же	5	4
63	у нас	11	4
64	а не	16	4
65	в таком	3	4
66	в которых	5	4
67	их в	2	4
68	в виде	3	4
69	как это	4	4
70	что от	2	3
71	тем что	5	3
72	должен был	2	3
73	в этих	2	3
74	в качестве	4	3
75	не всегда	2	3
76	должно было	2	3
77	в ее	4	3
78	она не	2	3
79	что здесь	2	3
80	того что	9	3
81	было бы	17	3
82	что она	4	3
83	но если	4	3
84	в и	130	3
85	в котором	5	3
86	не имеет	4	3
87	во всех	8	3
88	а именно	3	3
89	что для	3	3
90	все эти	5	3
91	и по	5	3
92	между тем	3	3
93	xix в	5	3
94	но он	2	3
95	в этой	11	3
96	что это	4	3
97	не менее	5	2
98	начиная с	2	2
99	с этой	3	2
100	об этом	3	2
101	могут быть	5	2
102	никогда не	5	2
103	по этому	3	2
104	связанные с	3	2
105	о них	2	2
106	с другой	9	2
107	к числу	2	2
108	из этих	6	2
109	иногда и	2	2
110	это в	4	2
111	прежде всего	7	2
112	как можно	2	2
113	нет никаких	2	2
114	что и	6	2
115	что с	2	2
116	в г	3	2
117	говорит о	3	2
118	это и	4	2
119	чем в	3	2
120	совсем не	2	2
121	то время	2	2
122	не имели	2	2
123	одной стороны	2	2
124	на эту	4	2
125	совершенно не	5	2
126	что на	2	2
127	тем не	2	2
128	должен быть	3	2
129	также в	2	2
130	все же	8	2
131	в своей	6	2
132	все в	2	2
133	дело не	4	2
134	что при	2	2
135	вряд ли	5	2
136	этому поводу	2	2
137	а с	3	2
138	не было	4	2
139	с одной	3	2
140	на самом	6	2
141	там где	5	2
142	этот вопрос	4	2
143	и для	3	2
144	можно было	13	2
145	многих случаях	2	2
146	в своих	2	2
147	и то	5	2
148	а иногда	2	2
149	одно из	2	2
150	с этим	3	2
151	в то	9	2
152	видно что	3	2
153	в которой	4	2
154	есть в	2	2
