N	2gram	Nazirov_Vr_1	Myslijsy
1	то что	7	29
2	может быть	4	26
3	таким образом	2	24
4	в том	3	23
5	и в	8	23
6	в этом	8	23
7	и не	5	18
8	что в	7	17
9	при этом	4	15
10	для нас	4	14
11	как и	6	14
12	в себе	2	14
13	то же	5	14
14	том что	3	12
15	не было	5	12
16	что я	2	11
17	но и	7	11
18	не может	2	11
19	не только	9	10
20	тем что	3	10
21	между тем	5	9
22	в своем	3	8
23	о том	4	8
24	но в	6	8
25	это не	4	7
26	на то	3	7
27	в нем	6	7
28	и что	8	7
29	вместе с	2	6
30	уже в	4	5
31	для него	2	5
32	в его	3	5
33	как бы	4	5
34	все это	4	5
35	не менее	2	5
36	а в	2	5
37	с ним	4	5
38	тем более	2	5
39	и то	2	5
40	и все	7	4
41	что он	4	4
42	как же	2	4
43	тогда как	2	4
44	и о	3	4
45	в котором	6	4
46	в истории	4	4
47	в той	2	4
48	так же	4	4
49	точки зрения	2	4
50	в то	5	4
51	его в	3	4
52	и с	6	4
53	при помощи	2	3
54	никогда не	2	3
55	связи с	3	3
56	давно уже	3	3
57	в них	2	3
58	с нею	2	3
59	там же	2	3
60	но это	2	3
61	же время	5	3
62	еще не	2	3
63	в виду	4	3
64	так в	2	3
65	что есть	3	3
66	что у	3	3
67	уже не	2	3
68	их в	2	3
69	с точки	2	3
70	нашего времени	2	3
71	во время	2	2
72	я не	3	2
73	том же	2	2
74	и как	3	2
75	столь же	2	2
76	отношение к	2	2
77	об этом	5	2
78	в свою	2	2
79	в это	2	2
80	с которым	2	2
81	к ним	2	2
82	в ней	4	2
83	он не	3	2
84	и это	2	2
85	в мире	2	2
86	человека в	3	2
87	и у	3	2
88	и даже	6	2
89	и его	3	2
90	в глазах	2	2
91	в своих	4	2
